"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.600875000E-3,1.497043991E1,1.889704895E1,-2.815682983E1
1.862087500E-2,1.509399033E1,1.889212799E1,-2.799804688E1
2.863987500E-2,1.526004601E1,1.888595581E1,-2.800067139E1
3.865887500E-2,1.578210831E1,1.893204498E1,-2.744973755E1
4.867887500E-2,1.615365028E1,1.885644531E1,-2.711074829E1
5.869787500E-2,1.633249855E1,1.886911774E1,-2.668243408E1
6.871787500E-2,1.646650505E1,1.872234344E1,-2.662210083E1
7.873687500E-2,1.652194595E1,1.872097015E1,-2.670629883E1
8.875687500E-2,1.655002785E1,1.878938293E1,-2.680053711E1
9.877587501E-2,1.654739761E1,1.894956207E1,-2.659719849E1
1.087948750E-1,1.663337708E1,1.917392731E1,-2.664370728E1
1.188148750E-1,1.659034348E1,1.932018280E1,-2.643164062E1
1.288338750E-1,1.680530167E1,1.940971375E1,-2.614172363E1
1.388528750E-1,1.708098984E1,1.946654510E1,-2.575799561E1
1.488728750E-1,1.761589432E1,1.946131134E1,-2.568072510E1
1.588918750E-1,1.810829926E1,1.939235687E1,-2.539801025E1
1.689118750E-1,1.871693420E1,1.924464417E1,-2.483309937E1
1.789308750E-1,1.927831841E1,1.897651672E1,-2.452084351E1
1.889498750E-1,1.985053253E1,1.881676483E1,-2.430078125E1
1.989698750E-1,2.001408958E1,1.897125244E1,-2.394488525E1
2.089888750E-1,2.007915306E1,1.911905670E1,-2.392059326E1
2.190088750E-1,1.988682747E1,1.947296143E1,-2.391549683E1
2.290278750E-1,1.981462479E1,1.971186829E1,-2.372167969E1
2.390468750E-1,1.970328712E1,1.984709930E1,-2.354074097E1
2.490668750E-1,1.973227119E1,2.012841034E1,-2.316882324E1
2.590858750E-1,1.982411385E1,2.039038849E1,-2.265966797E1
2.691058750E-1,2.016048622E1,2.060115051E1,-2.283590698E1
2.791248750E-1,2.048253250E1,2.077449799E1,-2.225183105E1
2.891438750E-1,2.085034180E1,2.073066711E1,-2.183178711E1
2.991638750E-1,2.113634872E1,2.090930939E1,-2.122583008E1
3.091828750E-1,2.145173264E1,2.108490753E1,-2.097265625E1
3.192028750E-1,2.141488075E1,2.143839264E1,-2.068518066E1
3.292218750E-1,2.138953400E1,2.170406342E1,-2.033255005E1
3.392408750E-1,2.135842514E1,2.207151031E1,-1.956396484E1
3.492608750E-1,2.127395630E1,2.264418793E1,-1.897650146E1
3.592798750E-1,2.112718964E1,2.341349030E1,-1.826260376E1
3.692998750E-1,2.115756989E1,2.400063324E1,-1.746682739E1
3.793188750E-1,2.116200447E1,2.470135498E1,-1.660418701E1
3.893388750E-1,2.119077492E1,2.540927124E1,-1.553421021E1
3.993578750E-1,2.114857483E1,2.572866058E1,-1.494171143E1
4.093768750E-1,2.111090088E1,2.591266632E1,-1.441390991E1
4.193968750E-1,2.126441956E1,2.613443756E1,-1.382629395E1
4.294158750E-1,2.122803497E1,2.658058929E1,-1.337121582E1
4.394348750E-1,2.101851654E1,2.698046112E1,-1.244195557E1
4.494548750E-1,2.097345734E1,2.730783844E1,-1.165499878E1
4.594738750E-1,2.083181381E1,2.767713928E1,-1.082312012E1
4.694938750E-1,2.068341064E1,2.819947815E1,-1.044238281E1
4.795128750E-1,2.064238548E1,2.850712585E1,-9.480194092E0
4.895328750E-1,2.076346970E1,2.852897644E1,-8.827606201E0
4.995518750E-1,2.071439171E1,2.868376160E1,-8.374084473E0
5.095708750E-1,2.091817474E1,2.871399689E1,-8.000579834E0
5.195908750E-1,2.094356918E1,2.871664429E1,-7.601257324E0
5.296098750E-1,2.119535828E1,2.864630127E1,-7.243347168E0
5.396298750E-1,2.135063553E1,2.840235901E1,-7.040344238E0
5.496488750E-1,2.156471443E1,2.838256836E1,-6.443054199E0
5.596678750E-1,2.158862686E1,2.834481049E1,-6.542663574E0
5.696878750E-1,2.195507050E1,2.823347473E1,-6.527069092E0
5.797068750E-1,2.240906906E1,2.791175842E1,-6.290618896E0
