"Time (s)","X (hPa)"
-5.763345417E-1,1.020299454E3
4.253904583E-1,1.020303268E3
1.427333458E0,1.020306396E3
2.429346458E0,1.020306396E3
3.431271458E0,1.020302582E3
4.433216458E0,1.020302582E3
4.983097458E0,1.020305634E3
5.985136458E0,1.020310822E3
6.986016458E0,1.020318909E3
7.987106458E0,1.020329361E3
8.989022458E0,1.020342331E3
9.991016458E0,1.020351410E3
1.099284146E1,1.020356064E3
1.199473846E1,1.020359268E3
1.299666846E1,1.020359268E3
1.399854646E1,1.020359268E3
1.500047846E1,1.020360565E3
1.600234046E1,1.020360794E3
1.700426546E1,1.020361633E3
1.800615246E1,1.020361633E3
1.900808746E1,1.020361328E3
2.001000646E1,1.020361252E3
2.101192246E1,1.020361252E3
2.201379746E1,1.020358963E3
2.301573946E1,1.020358582E3
2.401769446E1,1.020358582E3
2.501963546E1,1.020354080E3
2.602151146E1,1.020346832E3
2.702334446E1,1.020338898E3
2.802553246E1,1.020324402E3
2.902729946E1,1.020309143E3
