"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.012158333E-2,-2.511945963E-1,1.100625377E-3,5.727107525E-1
3.014058333E-2,5.854238942E-2,-1.544635296E-1,4.401545525E-1
4.015958333E-2,1.516760588E-1,-2.148547024E-1,3.440871537E-1
5.017858333E-2,7.675359398E-2,-2.601253688E-1,3.022212684E-1
6.019858333E-2,-6.354252994E-2,-2.765368223E-1,2.878444493E-1
7.021758333E-2,-1.908909678E-1,-1.886329502E-1,2.952867448E-1
8.023658333E-2,-2.861453295E-1,-7.400330901E-2,3.281919658E-1
9.025558333E-2,-3.674600422E-1,-9.461119771E-3,3.675760031E-1
1.002745833E-1,-4.108077586E-1,2.465317398E-2,3.856074512E-1
1.102935833E-1,-4.166918993E-1,6.469258666E-2,3.687416315E-1
1.203135833E-1,-3.874488175E-1,1.155829281E-1,3.261235952E-1
1.303325833E-1,-3.145921528E-1,1.965397894E-1,2.398822457E-1
1.403515833E-1,-1.748707294E-1,2.591823936E-1,1.232914403E-1
1.503705833E-1,9.988014586E-3,2.965496778E-1,2.410442382E-2
1.603895833E-1,1.553667784E-1,2.881346345E-1,6.036473438E-3
1.704085833E-1,1.963774562E-1,2.895050347E-1,3.624168038E-2
1.804275833E-1,1.301518232E-1,2.913583517E-1,7.919554412E-2
1.904475833E-1,-1.055800728E-2,2.761767507E-1,1.086613834E-1
2.004665833E-1,-1.712678075E-1,2.574414611E-1,1.104347855E-1
2.104855833E-1,-2.941127121E-1,2.550201118E-1,9.773024172E-2
2.205045833E-1,-3.512769043E-1,3.018755019E-1,8.226766437E-2
2.305235833E-1,-3.209796548E-1,4.104278386E-1,7.027734816E-2
2.405425833E-1,-2.261631191E-1,5.457283854E-1,4.962346703E-2
2.505625833E-1,-1.148264855E-1,6.798710227E-1,1.271365024E-2
2.605815833E-1,-3.359127417E-2,8.483899832E-1,-2.712084725E-2
2.706005833E-1,1.591377147E-2,1.122081041E0,-8.847577870E-2
2.806195833E-1,3.097075224E-2,1.593526840E0,-1.612170935E-1
2.906385833E-1,5.571399629E-2,2.285128355E0,-2.235893607E-1
3.006575833E-1,1.213188320E-1,3.157439470E0,-2.976686656E-1
3.106765833E-1,2.217378616E-1,3.969319820E0,-4.301520586E-1
3.206965833E-1,2.628024817E-1,4.459315300E0,-5.811226368E-1
3.307155833E-1,1.963712573E-1,4.622333050E0,-7.308964133E-1
3.407345833E-1,1.469808072E-1,4.541936398E0,-8.578682542E-1
3.507535833E-1,2.799298763E-1,4.153282642E0,-9.778778553E-1
3.607725833E-1,4.431861937E-1,3.702114344E0,-1.091579437E0
3.707915833E-1,3.603200316E-1,3.135277987E0,-1.214416981E0
3.808105833E-1,1.773957461E-1,2.254734993E0,-1.335103273E0
3.908305833E-1,-4.972260445E-2,1.468008041E0,-1.417895436E0
4.008495833E-1,-2.234195620E-1,1.118884921E0,-1.484885216E0
4.108685833E-1,-2.153856009E-1,1.319329977E0,-1.602829099E0
4.208875833E-1,3.141326830E-2,1.996087551E0,-1.900493026E0
4.309065833E-1,4.194492400E-1,2.892981529E0,-2.257959366E0
4.409255833E-1,9.272197485E-1,3.805588961E0,-2.441871881E0
4.509455833E-1,1.518295169E0,4.690677166E0,-2.458395243E0
4.609645833E-1,2.113983631E0,5.288095951E0,-2.322340250E0
4.709835833E-1,2.615509748E0,5.457492352E0,-2.104009151E0
4.810025833E-1,2.930888653E0,5.600943089E0,-1.946280956E0
4.910215833E-1,3.122090340E0,5.914844513E0,-1.947052360E0
5.010405833E-1,3.313532591E0,6.299746037E0,-2.111278296E0
5.110605833E-1,3.597826242E0,6.622757912E0,-2.290431499E0
5.210795833E-1,3.915366411E0,6.595824242E0,-2.356522560E0
5.310985833E-1,4.129684925E0,6.300230026E0,-2.269620180E0
5.411175833E-1,3.966635227E0,5.657522202E0,-1.987306476E0
5.511365833E-1,3.190425158E0,4.898375511E0,-1.598852515E0
5.611555833E-1,2.126874924E0,4.089591026E0,-1.212880611E0
5.711745833E-1,1.398482680E0,3.531532526E0,-9.305567145E-1
5.811945833E-1,1.343466520E0,3.489630699E0,-7.077316642E-1
5.912135833E-1,1.842856050E0,3.771276474E0,-5.129537582E-1
6.012325833E-1,2.544392586E0,4.113792419E0,-4.984320998E-1
6.112515833E-1,3.040112019E0,4.104808331E0,-2.334814221E-1
6.212705833E-1,3.111645222E0,3.554163456E0,4.502529651E-2
6.312895833E-1,2.783199310E0,2.832278490E0,1.678805053E-1
6.413095833E-1,2.109837055E0,2.716567278E0,2.172778845E-1
6.513285833E-1,1.319360495E0,3.211858034E0,2.217961252E-1
6.613475833E-1,1.003501415E0,3.841392994E0,2.772162259E-1
6.713665833E-1,1.200531483E0,4.305463791E0,5.329893231E-1
6.813855833E-1,1.503036261E0,4.389981270E0,9.299417734E-1
6.914045833E-1,1.558188915E0,3.718660593E0,1.382843971E0
7.014235833E-1,1.228566766E0,2.341776609E0,1.669096470E0
7.114435833E-1,7.703455091E-1,8.753885627E-1,1.762766719E0
7.214625833E-1,4.279833734E-1,-2.257561088E-1,1.789211988E0
