"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.541833332E-3,1.358275452E0,1.754202118E0,9.353299713E0
1.456183333E-2,1.612895966E0,1.417103119E0,9.527088318E0
2.458183334E-2,1.904639282E0,1.192420349E0,9.493707733E0
3.460083333E-2,2.216440887E0,1.023421783E0,9.454638977E0
4.462083333E-2,2.431244202E0,8.936416626E-1,9.569599915E0
5.464083333E-2,2.547402649E0,9.541159058E-1,1.003453308E1
6.466083333E-2,2.852468262E0,1.406175842E0,1.057640625E1
7.468083334E-2,2.604434052E0,1.455722809E0,1.055245605E1
8.470083333E-2,1.785936127E0,1.565294952E0,1.064586182E1
9.472083333E-2,2.740501099E0,5.986051941E-1,1.061382843E1
1.047398333E-1,2.389780426E0,6.372248840E-1,9.596693573E0
1.147598333E-1,2.184108124E0,2.324516144E0,9.814041595E0
1.247798333E-1,1.710193634E0,3.334765320E0,1.072938812E1
1.347998333E-1,9.852511597E-1,3.470532990E0,1.070558762E1
1.448198333E-1,1.006357269E0,3.035537567E0,1.040366547E1
1.548398333E-1,1.045875092E0,2.805316315E0,1.017808456E1
1.648598333E-1,1.249302063E0,2.389181671E0,8.912466431E0
1.748788333E-1,2.130818939E0,-1.029858398E-1,8.146658936E0
1.848988333E-1,2.408790894E0,-1.258133698E0,7.683522034E0
1.949188333E-1,-1.956281891E0,3.143612823E0,4.816084900E0
2.049388333E-1,-9.809101868E-1,2.196083221E0,1.094538895E1
2.149588333E-1,-3.302133179E-1,-1.369651794E-1,9.502689056E0
2.249788333E-1,-7.405101013E-1,1.803749084E-1,6.720724182E0
2.349988333E-1,-3.067870331E0,1.106049957E0,6.580615540E0
2.450178333E-1,-3.318898315E0,-4.284091187E-1,7.616162109E0
2.550378333E-1,-2.778671722E0,-2.616409149E0,7.416627045E0
2.650578333E-1,-2.544109497E0,-3.738326111E0,7.002438354E0
2.750778333E-1,-9.749226379E-1,-5.376669159E0,5.717510376E0
2.850978333E-1,9.318422241E0,-8.246501312E0,5.997278595E0
2.951178333E-1,3.339106293E0,-2.282752991E0,1.514176254E1
3.051368333E-1,-3.149899750E0,3.842359772E0,1.014305740E1
3.151568333E-1,-3.136427765E0,-1.806144104E0,1.318787567E1
3.251768333E-1,-2.076781311E0,-6.362818451E0,1.108115662E1
3.351968333E-1,-1.193468170E0,-2.321971436E0,2.216291199E0
3.452168333E-1,-4.960684204E0,-3.562591553E-2,6.137985992E0
3.552368333E-1,-5.410798187E0,1.748364258E-1,7.124284973E0
3.652568333E-1,-5.618865509E0,5.426216125E-1,6.015989685E0
3.752758333E-1,-5.171296234E0,9.684860229E-1,6.579118652E0
3.852958333E-1,-5.080734558E0,1.064286804E0,7.739804993E0
3.953158333E-1,-4.549040222E0,4.837939453E-1,8.326435089E0
4.053358333E-1,-3.475023651E0,-1.298998718E0,6.787784729E0
4.153558333E-1,-2.077829132E0,-4.413721619E0,3.847748566E0
4.253758333E-1,-1.853146362E0,-5.705385590E0,3.065325623E0
4.353948333E-1,-2.530188446E0,-6.245312805E0,6.765331421E0
4.454148333E-1,-2.359393616E0,-5.434149628E0,5.935157776E0
4.554348333E-1,-2.586621094E0,-4.349505157E0,4.442012787E0
4.654548333E-1,-2.583627319E0,-4.503385162E0,6.620432739E0
4.754748333E-1,-2.566712494E0,-4.474644928E0,7.732170868E0
4.854948333E-1,-3.193908234E0,-3.806584167E0,8.139922943E0
4.955148333E-1,-4.042792969E0,-4.613256683E0,1.109687393E1
5.055338333E-1,-3.617377625E0,-5.983058167E0,6.014941864E0
5.155538333E-1,-4.154011688E0,-6.508465576E0,8.310867462E0
5.255738333E-1,-4.969964905E0,-5.512885895E0,8.321345673E0
5.355927500E-1,-5.392236786E0,-5.048551483E0,8.178243256E0
5.456127500E-1,-6.218967590E0,-4.496798859E0,9.093440094E0
5.556327500E-1,-6.972350922E0,-3.506009216E0,9.516610107E0
5.656517500E-1,-7.385641479E0,-2.397264862E0,9.747729492E0
5.756717500E-1,-7.771838379E0,-1.851948853E0,9.918224945E0
5.856917500E-1,-8.170609131E0,-1.854044495E0,1.039468414E1
5.957117500E-1,-8.761879578E0,-2.135459290E0,1.070079758E1
6.057317500E-1,-9.631720734E0,-2.733316040E0,1.064032333E1
6.157517500E-1,-1.023631348E1,-3.207080841E0,1.022284149E1
6.257717500E-1,-1.028541138E1,-3.510799255E0,9.777816925E0
