"Time (s)","X (hPa)"
-5.822769167E-1,1.020246582E3
4.197270833E-1,1.020250244E3
1.421664083E0,1.020253983E3
2.423634083E0,1.020262909E3
3.425913083E0,1.020285873E3
4.427614083E0,1.020285873E3
4.977115083E0,1.020285873E3
5.979030083E0,1.020294037E3
6.980995083E0,1.020294037E3
7.983015083E0,1.020294342E3
8.984926083E0,1.020294342E3
9.986979083E0,1.020294342E3
1.098893508E1,1.020294952E3
1.199087108E1,1.020293884E3
1.299271508E1,1.020295639E3
1.399478808E1,1.020295639E3
1.499670008E1,1.020295639E3
1.599862008E1,1.020291290E3
1.700059008E1,1.020290070E3
1.800248508E1,1.020283585E3
1.900441708E1,1.020283127E3
2.000644908E1,1.020280685E3
2.100837908E1,1.020278015E3
2.201022608E1,1.020275955E3
2.301243408E1,1.020274734E3
2.401406608E1,1.020273056E3
2.501614908E1,1.020271225E3
2.601795408E1,1.020270996E3
2.701988108E1,1.020268402E3
2.802190408E1,1.020267410E3
2.902374208E1,1.020266266E3
3.002562408E1,1.020264664E3
3.102768708E1,1.020263519E3
3.202953308E1,1.020263290E3
3.303145108E1,1.020262756E3
3.403341508E1,1.020262451E3
3.503530008E1,1.020262299E3
3.603722308E1,1.020261993E3
3.703970508E1,1.020260773E3
3.804139408E1,1.020260315E3
3.904307808E1,1.020255432E3
4.004502208E1,1.020252838E3
4.104700608E1,1.020241547E3
