"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.581383334E-2,5.925365448E0,7.912918091E0,-3.543603516E1
2.583383333E-2,5.788791656E0,7.967414856E0,-3.531646729E1
3.585283333E-2,5.815023422E0,7.991416931E0,-3.524713135E1
4.587283333E-2,5.931522369E0,7.996147156E0,-3.510287476E1
5.589283333E-2,5.964952469E0,8.130035400E0,-3.531616211E1
6.591283334E-2,6.078746796E0,8.345649719E0,-3.542068481E1
7.593283333E-2,6.130510330E0,8.282257080E0,-3.526605225E1
8.595283333E-2,6.203720093E0,8.232421875E0,-3.507727051E1
9.597283333E-2,6.407529831E0,8.125183105E0,-3.531912231E1
1.059918333E-1,6.575504303E0,8.017433167E0,-3.536474609E1
1.160118333E-1,6.488574982E0,7.839897156E0,-3.535223389E1
1.260318333E-1,6.656894684E0,7.500755310E0,-3.523760986E1
1.360518333E-1,6.812988281E0,7.344551086E0,-3.564880371E1
1.460718333E-1,7.272756577E0,6.856460571E0,-3.554562378E1
1.560918333E-1,7.680669785E0,6.454673767E0,-3.563372803E1
1.661118333E-1,8.192863464E0,6.076110840E0,-3.551626587E1
1.761308333E-1,8.611526489E0,6.182205200E0,-3.523699951E1
1.861508333E-1,9.129247665E0,6.420806885E0,-3.522113037E1
1.961708333E-1,9.832340240E0,6.850112915E0,-3.481582642E1
2.061908333E-1,1.051311111E1,7.631752014E0,-3.434887695E1
2.162108333E-1,1.121767807E1,8.461479187E0,-3.395324707E1
2.262308333E-1,1.162127495E1,9.411918640E0,-3.337414551E1
2.362508333E-1,1.197232056E1,1.062744141E1,-3.311337280E1
2.462698333E-1,1.233842850E1,1.178285217E1,-3.255358887E1
2.562898333E-1,1.249471855E1,1.292543030E1,-3.192709351E1
2.663098333E-1,1.246117210E1,1.415718079E1,-3.147351074E1
2.763298333E-1,1.222997475E1,1.563582611E1,-3.100543213E1
2.863498333E-1,1.281300926E1,1.673275757E1,-2.992160034E1
2.963698333E-1,1.355513763E1,1.749340820E1,-2.900268555E1
3.063888333E-1,1.423250961E1,1.770396423E1,-2.883273315E1
3.164088333E-1,1.479872131E1,1.735409546E1,-2.836956787E1
3.264288333E-1,1.528582382E1,1.641895294E1,-2.844195557E1
3.364488333E-1,1.559817314E1,1.577629089E1,-2.887536621E1
3.464688333E-1,1.606933784E1,1.512783813E1,-2.911669922E1
3.564888333E-1,1.639694405E1,1.490907288E1,-2.911636353E1
3.665088333E-1,1.687719917E1,1.468007660E1,-2.890731812E1
3.765278333E-1,1.735189819E1,1.472618866E1,-2.837887573E1
3.865478333E-1,1.781829262E1,1.488069916E1,-2.815853882E1
3.965678333E-1,1.807857513E1,1.503565979E1,-2.783673096E1
4.065878333E-1,1.839097214E1,1.512287903E1,-2.753085327E1
4.166078333E-1,1.894551468E1,1.529022980E1,-2.697698975E1
4.266278333E-1,1.953094482E1,1.547718048E1,-2.640481567E1
4.366468333E-1,2.032080078E1,1.527658081E1,-2.534558105E1
4.466668333E-1,2.138576126E1,1.516409302E1,-2.481982422E1
4.566868333E-1,2.241214371E1,1.478658295E1,-2.417880249E1
4.667068333E-1,2.360199165E1,1.415518188E1,-2.288488770E1
4.767268333E-1,2.474950981E1,1.345726776E1,-2.219415283E1
4.867468333E-1,2.579584885E1,1.260919952E1,-2.146923828E1
4.967668333E-1,2.675817108E1,1.211436462E1,-2.080889893E1
