"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.440624997E-3,-4.353995819E0,6.423891449E0,3.996389465E0
1.143662500E-2,-4.324956207E0,6.525380402E0,4.212539978E0
2.143162500E-2,-4.447102203E0,6.377338257E0,4.123475189E0
3.142662500E-2,-4.945865021E0,6.796167297E0,4.183949432E0
4.142262500E-2,-5.922434235E0,6.917714539E0,4.268224182E0
5.141762500E-2,-5.967640228E0,6.795269165E0,4.057612152E0
6.141362500E-2,-6.230194244E0,6.434070282E0,4.424050140E0
7.140862500E-2,-5.893843689E0,5.823340302E0,4.073628845E0
8.140362500E-2,-5.263803864E0,5.572012939E0,4.054618378E0
9.139962500E-2,-4.663552094E0,5.699547729E0,3.985462189E0
1.013946250E-1,-4.084107056E0,5.940396881E0,4.026027832E0
1.113896250E-1,-3.671265564E0,6.037993927E0,4.422553253E0
1.213856250E-1,-3.461252289E0,6.105952606E0,4.955445099E0
1.313806250E-1,-3.538341980E0,6.060746613E0,5.483397217E0
1.413756250E-1,-4.107159119E0,5.886508942E0,5.989494781E0
1.513716250E-1,-5.243745575E0,6.373895416E0,6.944508820E0
1.613666250E-1,-6.417305145E0,7.407346344E0,7.158414001E0
1.713626250E-1,-6.509962463E0,7.929161224E0,6.077811127E0
1.813576250E-1,-5.344635773E0,7.454198914E0,5.913752289E0
1.913526250E-1,-4.123475189E0,6.953789520E0,5.990243225E0
2.013486250E-1,-3.783532104E0,7.015610962E0,5.763464813E0
2.113436250E-1,-3.808979187E0,7.782316589E0,5.779032440E0
2.213386250E-1,-3.603606262E0,8.760831757E0,6.579567719E0
2.313346250E-1,-3.532354431E0,8.611143036E0,8.356073456E0
2.413296250E-1,-3.644920349E0,7.258106689E0,1.018976028E1
2.513246250E-1,-3.741918640E0,6.011648712E0,1.015009277E1
2.613206250E-1,-3.525768127E0,5.452561340E0,8.353229370E0
2.713156250E-1,-3.478466492E0,4.784799957E0,8.051307220E0
2.813116250E-1,-3.764671326E0,4.039050751E0,9.115893402E0
2.913066250E-1,-3.994144135E0,4.208348694E0,8.707841949E0
3.013016250E-1,-3.542982330E0,5.098098450E0,7.436535645E0
3.112976250E-1,-2.310146027E0,6.407575378E0,7.436685333E0
3.212926250E-1,-9.867480469E-1,7.240593109E0,8.077652435E0
3.312876250E-1,-2.225871277E-1,7.019203491E0,7.225923615E0
3.412836250E-1,1.736389160E-1,5.750890961E0,5.807323608E0
3.512786250E-1,1.856140137E-1,4.127217407E0,5.710025940E0
3.612746250E-1,-1.172062683E-1,3.527414703E0,6.085295563E0
3.712696250E-1,-5.219645691E-1,3.859124908E0,6.023324432E0
3.812646250E-1,-8.294252014E-1,4.618645477E0,7.259902954E0
3.912606250E-1,-1.026714935E0,5.055736542E0,8.518785095E0
4.012555000E-1,-8.939410400E-1,4.893473969E0,9.350156250E0
4.112505000E-1,-8.755293274E-1,4.281995544E0,1.089075256E1
4.212465000E-1,-1.456171875E0,4.124373322E0,1.093461136E1
4.312415000E-1,-1.381926270E0,4.713847504E0,1.047536636E1
4.412365000E-1,-2.875520325E-1,4.825964355E0,1.064556244E1
4.512325000E-1,1.161135406E0,5.244344330E0,1.013826736E1
4.612275000E-1,2.170636139E0,4.982987823E0,8.022417297E0
4.712235000E-1,2.584675140E0,4.847220154E0,1.131691635E1
4.812185000E-1,1.992356873E0,3.657793579E0,9.489815826E0
4.912135000E-1,3.893104248E0,3.192261658E0,8.963959351E0
5.012095000E-1,5.877527618E0,3.755989380E0,1.031939072E1
5.112045000E-1,4.619094543E0,3.773053894E0,1.450064575E1
5.211995000E-1,-2.702480164E0,1.114282837E0,1.305749680E1
5.311955000E-1,-6.199058990E0,-4.469705200E-1,6.805447998E0
5.411905000E-1,7.634124756E-1,-6.938072205E-1,1.036549484E1
5.511865000E-1,5.750890961E0,-2.939886475E0,1.645423325E1
5.611815000E-1,4.646637268E0,-2.581831055E0,1.220726486E1
5.711765000E-1,4.505181427E0,-1.472038879E0,7.855813751E0
5.811725000E-1,4.828509064E0,-8.876541138E-1,5.235363007E0
5.911675000E-1,4.046086121E0,-1.172811127E0,3.438649292E0
6.011625000E-1,2.230212250E0,-1.876647491E0,2.674188995E0
6.111585000E-1,8.505313110E-1,-2.264940033E0,2.200723572E0
6.211535000E-1,1.930984497E-2,-1.851948853E0,1.235381012E0
6.311485000E-1,-1.791175232E0,-1.571731567E0,-3.927832031E-1
6.411445000E-1,-3.315006409E0,-2.211501160E0,-1.810634766E0
6.511395000E-1,-3.796555023E0,-1.737736359E0,-3.212769012E0
6.611355000E-1,-4.044140167E0,-9.568103027E-1,-4.133654022E0
6.711305000E-1,-2.594255219E0,-1.375639343E0,-4.731660461E0
6.811255000E-1,-2.775228882E-1,-8.978329468E-1,-4.699627075E0
6.911215000E-1,1.785487061E0,1.362017670E0,-3.312910767E0
7.011165000E-1,4.659211121E0,3.501817932E0,-2.075883179E0
7.111115000E-1,7.758366394E0,6.057902527E0,-4.041595459E-3
7.211075000E-1,9.973909149E0,8.211025085E0,2.316133575E0
7.311025000E-1,1.135583542E1,9.892478485E0,5.397924957E0
7.410985000E-1,1.125449615E1,1.038255936E1,7.897876282E0
7.510935000E-1,1.157632690E1,1.048120422E1,9.773475952E0
7.610885000E-1,1.249496658E1,1.125374771E1,9.016200714E0
7.710845000E-1,1.280736694E1,1.178619049E1,5.429658966E0
7.810795000E-1,1.264106277E1,1.178678925E1,8.608598328E-1
7.910745000E-1,1.245829285E1,1.176014465E1,-3.624412994E0
8.010705000E-1,1.180011154E1,1.194890213E1,-7.087611237E0
8.110655000E-1,1.088192093E1,1.100870728E1,-1.007300308E1
8.210615000E-1,1.079959213E1,1.136062546E1,-1.429482376E1
8.310565000E-1,1.100017502E1,1.128652954E1,-1.775278290E1
8.410515000E-1,1.121916962E1,1.047536636E1,-2.136581955E1
8.510475000E-1,1.193528046E1,7.804769897E0,-1.999721558E1
8.610425000E-1,1.258582764E1,5.798641663E0,-1.666050430E1
8.710375000E-1,8.434360657E0,6.775360565E0,-1.057071808E1
8.810335000E-1,1.088536377E1,2.289039917E0,-4.226311340E0
8.910285000E-1,1.279224838E1,3.941603394E0,-1.097068634E0
9.010245000E-1,1.108699448E1,6.037095795E0,-1.368753662E0
9.110195000E-1,1.180071030E1,6.264323273E0,-1.742975464E0
9.210145000E-1,1.353859634E1,4.797822876E0,-2.384092255E0
9.310105000E-1,1.372121658E1,-3.740721130E-1,-2.699037323E0
9.410055000E-1,1.407178757E1,7.972421265E-1,-8.400531006E-1
9.510005000E-1,1.292651917E1,4.939727783E0,-4.671784973E-1
9.609965000E-1,1.531989212E1,5.235213318E0,-2.906805267E0
9.709915000E-1,1.834764587E1,8.322692871E-1,-1.030292496E1
9.809875000E-1,1.444511124E1,4.384382629E-1,-1.902094574E1
9.909825000E-1,8.534053345E0,8.297245789E-1,-2.332344864E1
1.000977500E0,4.464615784E0,-6.379733276E-1,-1.551987625E1
1.010973500E0,1.516346741E0,-6.112239532E0,-5.745801544E0
1.020968500E0,-1.276994476E0,-8.518934784E0,-1.945953369E-1
1.030963500E0,-9.382489014E-1,-9.845176849E0,9.150471497E-1
1.040959500E0,3.053799591E0,-1.051712952E1,2.656974792E0
1.050954500E0,1.153755753E1,-1.233509903E1,3.802392883E0
1.060950500E0,1.766132309E1,-8.143365784E0,4.108506317E0
1.070945500E0,1.757285706E1,-3.765719147E0,6.735094299E0
1.080940500E0,1.365520386E1,2.634521484E-2,1.262564484E1
1.090936500E0,8.443192291E0,3.257975006E0,1.109642487E1
1.100931500E0,3.356619873E0,1.172062683E-1,9.252259827E-1
1.110926500E0,1.131796417E0,-2.094145203E0,1.520687714E0
1.120922500E0,8.960965576E0,-1.183289337E0,5.179229736E-2
1.130917500E0,1.121153549E1,-3.154240723E0,-4.963378601E0
1.140913500E0,1.254017258E1,-7.786807251E-1,-6.743177490E0
1.150908500E0,1.430859512E1,2.768492889E0,-4.492607574E0
1.160903500E0,1.205398361E1,2.197280731E0,-3.052302704E0
1.170899500E0,8.563242645E0,6.376739502E-1,-3.232527924E0
1.180894500E0,6.699468384E0,-9.948312378E-1,-6.104156342E0
1.190889500E0,3.107088776E0,-3.875590668E0,-2.994373169E0
1.200885500E0,-8.240364075E-1,-4.018693085E0,6.734495544E-1
1.210880500E0,-2.280357971E0,-2.930007019E0,-3.206631775E0
1.220876500E0,-2.546803894E0,-3.782633972E-1,-5.384752350E0
1.230871500E0,-2.053729248E0,9.963430939E0,-4.161795502E0
1.240866500E0,-1.909279633E0,1.054467224E1,-5.652096405E0
1.250862500E0,4.125271454E0,1.357676697E1,-3.394341431E0
1.260857500E0,1.420486084E1,1.465572327E1,-5.161416779E0
1.270852500E0,2.378059799E1,1.893307846E1,-2.761053360E1
1.280848500E0,1.973780502E1,1.834360428E1,-3.897834412E1
1.290843500E0,1.324924805E1,1.669672897E1,-2.118364838E1
1.300839500E0,9.831255798E0,1.253268814E1,6.511459351E-2
1.310834500E0,6.142626343E0,1.080093933E1,8.546178131E0
1.320829500E0,2.735561371E0,7.735164642E0,8.288414154E0
1.330825500E0,2.002386017E0,5.456902313E0,9.486372986E0
1.340820500E0,8.301886139E0,9.171427917E0,8.558003540E0
1.350816500E0,1.373648483E1,2.569257202E0,1.082698517E0
1.360811500E0,1.248149460E1,-6.127507782E0,-1.075199112E1
1.370806500E0,1.216714828E1,-9.937235413E0,-2.290925995E1
1.380802500E0,1.104148911E1,-1.329475342E1,-1.967239105E1
1.390797500E0,7.468569031E0,-1.561582672E1,-8.644673309E0
1.400792417E0,5.580545197E0,-1.446172668E1,-8.542735291E-1
1.410788417E0,6.909032593E0,-8.040829010E0,3.324586487E-1
1.420783417E0,6.595434723E0,-3.857927399E0,-4.162693634E0
1.430779417E0,5.276677094E0,-2.166295166E0,-8.740025024E0
1.440774417E0,4.185596008E0,-2.013612671E0,-9.609267426E0
1.450769417E0,3.335214386E0,-1.970202942E0,-7.707322540E0
1.460765417E0,3.458258514E0,-1.317410431E0,-5.012925568E0
1.470760417E0,3.988156586E0,-7.580236816E-1,-4.421056366E0
1.480755417E0,4.232747955E0,1.248403931E-1,-4.976850586E0
1.490751417E0,5.047204285E0,1.157692566E0,-5.619015198E0
1.500746417E0,6.127058716E0,2.463876343E0,-6.025719452E0
1.510742417E0,5.965095520E0,3.381019135E0,-5.791905670E0
1.520737417E0,5.050048370E0,4.804409180E0,-5.696104889E0
1.530732417E0,4.478387146E0,6.131848755E0,-6.223458252E0
1.540728417E0,4.228556671E0,7.451504517E0,-7.476502533E0
1.550723417E0,4.348008270E0,7.964787140E0,-7.787555695E0
1.560718417E0,4.506977692E0,9.250164185E0,-6.807244263E0
1.570714417E0,3.914659424E0,9.119934998E0,-5.908363495E0
1.580709417E0,3.325783997E0,8.348289642E0,-5.441484375E0
1.590705417E0,3.947141876E0,8.481811981E0,-5.096002808E0
1.600700417E0,5.281916199E0,8.204139404E0,-3.240910492E0
1.610695417E0,6.918762360E0,8.615783386E0,-2.286195831E0
1.620691417E0,9.018146667E0,9.172924805E0,-4.448599091E0
1.630686417E0,1.006207581E1,9.084758148E0,-3.026107178E0
1.640682417E0,1.058299255E1,1.013287857E1,1.672023010E-1
1.650677417E0,1.157857224E1,1.093790451E1,1.539099426E0
1.660672417E0,1.202150116E1,9.404493256E0,1.820065155E0
1.670668417E0,1.144175674E1,7.245981903E0,1.779200134E0
1.680663417E0,1.121063736E1,5.448519745E0,3.823049927E-1
1.690659417E0,1.119237534E1,4.134552155E0,2.821632385E0
1.700654417E0,1.107741440E1,9.954599304E0,4.916076965E0
1.710649417E0,8.866661682E0,1.054976166E1,-1.880539398E0
1.720645417E0,8.682544556E0,3.862118683E0,-1.055125854E1
1.730640417E0,9.268875275E0,1.088386688E0,-9.054970093E0
1.740635417E0,8.166118469E0,-9.036708069E-1,-6.140381012E0
1.750631417E0,7.172634430E0,-1.337468719E0,-4.492308197E0
1.760626417E0,6.252497864E0,-6.611750793E-1,-5.190905457E0
1.770622417E0,6.113736420E0,7.096742249E-1,-4.211043091E0
1.780617417E0,6.110592957E0,3.058589630E0,-3.041225739E0
1.790612417E0,6.584956512E0,5.411546631E0,-2.371518402E0
1.800608417E0,7.780071259E0,7.099436646E0,-2.453547821E0
1.810603417E0,8.767268372E0,7.592062225E0,-2.463427277E0
1.820599417E0,9.371711426E0,7.604785767E0,-1.255888367E0
1.830594417E0,1.025861710E1,5.602250061E0,-5.530998230E-1
1.840589417E0,1.141870468E1,3.329675903E0,-2.408790894E0
1.850585417E0,1.220846237E1,1.989363098E0,-2.290087738E0
1.860580417E0,1.253208939E1,1.210532684E0,-1.711690521E0
1.870575417E0,1.301034485E1,-1.598675537E-1,2.408341827E0
1.880571417E0,1.250469635E1,-1.069525909E0,3.470682678E0
