"Time (s)","X (hPa)"
-5.336906250E-1,1.015600052E3
5.045253750E-1,1.015644302E3
1.542712375E0,1.015621414E3
2.580856375E0,1.015623322E3
3.618948375E0,1.015623322E3
4.657014375E0,1.015628433E3
4.787187375E0,1.015628433E3
5.748063375E0,1.015632324E3
6.708920375E0,1.015632324E3
7.669613375E0,1.015632324E3
8.630242375E0,1.015625153E3
9.591110375E0,1.015625153E3
1.055203237E1,1.015623016E3
1.151284737E1,1.015623016E3
1.247351737E1,1.015623016E3
1.343417837E1,1.015621338E3
1.439484637E1,1.015629120E3
1.535539437E1,1.015629120E3
1.631585037E1,1.015629120E3
1.727627737E1,1.015627441E3
