"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.016762500E-2,-3.721001372E-2,-1.165123463E0,4.531347752E-1
6.016262500E-2,-2.449801713E-1,-1.267190337E0,6.757177711E-1
7.015762500E-2,-4.705587029E-1,-1.289792299E0,7.464419603E-1
8.015362500E-2,-7.250296474E-1,-1.258054733E0,6.933021545E-1
9.014862500E-2,-9.905934334E-1,-1.161766768E0,5.828880072E-1
1.001436250E-1,-1.221240163E0,-1.070050359E0,4.662429988E-1
1.101396250E-1,-1.401776075E0,-9.570667744E-1,3.522700965E-1
1.201346250E-1,-1.506779432E0,-8.712399006E-1,2.823193669E-1
1.301296250E-1,-1.473947167E0,-7.844591737E-1,2.245071977E-1
1.401256250E-1,-1.266814113E0,-8.318303823E-1,1.437536776E-1
1.501206250E-1,-9.830732346E-1,-1.024293661E0,2.675807849E-2
1.601166250E-1,-7.393683195E-1,-9.783154130E-1,-1.478219181E-1
1.701116250E-1,-7.403779626E-1,-6.613028646E-1,-2.817690969E-1
1.801066250E-1,-1.075722218E0,-3.201161027E-1,-3.561426103E-1
1.901026250E-1,-1.603418231E0,-9.588459134E-2,-3.734307885E-1
2.000976250E-1,-2.158545017E0,1.555019617E-1,-4.187309742E-1
2.100926250E-1,-2.577353954E0,2.969318032E-1,-3.699093759E-1
2.200886250E-1,-2.817805052E0,5.577779934E-2,-1.963425875E-1
2.300836250E-1,-2.895824432E0,-8.514080644E-1,-4.405159131E-2
2.400786250E-1,-2.783290148E0,-2.215813398E0,-2.788468078E-2
2.500746250E-1,-2.497374058E0,-3.354999304E0,-6.743261963E-2
2.600696250E-1,-2.055488110E0,-4.112976551E0,-1.017786562E-1
2.700656250E-1,-1.601377487E0,-4.951059818E0,-1.920286566E-1
2.800606250E-1,-1.322416902E0,-5.756672859E0,-3.217988312E-1
2.900556250E-1,-1.245082140E0,-5.924770355E0,-3.930309415E-1
3.000516250E-1,-1.133575916E0,-5.460234165E0,-3.091996014E-1
3.100466250E-1,-9.476007819E-1,-4.863082409E0,-4.370296374E-2
3.200416250E-1,-8.306965828E-1,-4.167733192E0,2.690086961E-1
3.300376250E-1,-8.381728530E-1,-3.031313896E0,5.420511961E-1
3.400326250E-1,-9.532747269E-1,-1.743580818E0,6.799427271E-1
3.500276250E-1,-1.194179535E0,-6.662176251E-1,6.528298855E-1
3.600236250E-1,-1.436217189E0,1.262708604E-1,5.214135647E-1
3.700186250E-1,-1.585249782E0,4.893739522E-1,3.203361034E-1
3.800146250E-1,-1.577926636E0,2.334735245E-1,5.056164041E-2
3.900096250E-1,-1.394756317E0,-1.652640104E-1,-2.975843549E-1
