"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.016762500E-2,-1.197074148E0,-5.121698982E-1,-5.657561213E-2
6.016262500E-2,-1.338249615E0,-6.553413123E-1,-3.347966579E-1
7.015762500E-2,-1.711401961E0,-1.033806438E0,-5.338712543E-2
8.015362500E-2,-1.487032017E0,-1.649901239E0,-5.053204697E-1
9.014862500E-2,-9.609539321E-1,-1.889179829E0,-6.413579884E-1
1.001436250E-1,-4.530270660E-1,-1.731427798E0,-8.403214878E-1
1.101396250E-1,4.658184350E-2,-1.443310339E0,-9.392897058E-1
1.201346250E-1,3.902077970E-1,-1.285035567E0,-6.876103413E-1
1.301296250E-1,5.389890298E-1,-1.149576631E0,-2.973139590E-1
1.401256250E-1,4.061443833E-1,-1.128841819E0,9.944418132E-2
1.501206250E-1,-2.193018696E-1,-1.245354608E0,4.888412619E-1
1.601166250E-1,-1.408662663E0,-7.084784693E-1,1.343774942E0
1.701116250E-1,-2.613393740E0,3.739031285E-1,1.475365945E0
1.801066250E-1,-2.711293672E0,9.589018518E-1,3.139837861E-1
1.901026250E-1,-1.533313606E0,5.749064291E-1,4.985686898E-2
2.000976250E-1,-2.830172244E-1,2.015213639E-1,-9.051489830E-4
2.100926250E-1,9.831976175E-2,4.232939744E-1,-3.772752178E-1
2.200886250E-1,1.046917650E-1,1.369764061E0,-5.295688730E-1
2.300836250E-1,2.945698607E-1,2.536186520E0,7.617518663E-2
2.400786250E-1,2.666271865E-1,2.576228837E0,1.619333750E0
2.500746250E-1,-3.651966244E-2,1.407017257E0,3.191167059E0
2.600696250E-1,-3.957383859E-1,3.259898740E-1,2.889757125E0
2.700656250E-1,-5.054549557E-1,-9.422963440E-2,8.467709666E-1
2.800606250E-1,-8.537466949E-1,-6.444035107E-1,3.136908406E-1
2.900556250E-1,-1.582170163E0,-1.281287502E0,1.168139201E0
3.000516250E-1,-2.251583823E0,-1.008692647E0,5.849069220E-1
3.100466250E-1,-2.212792371E0,-3.083529174E-2,-8.194159377E-1
3.200416250E-1,-1.362601807E0,1.350468249E0,-9.157950085E-1
3.300376250E-1,-3.637975319E-1,2.249891639E0,-3.449915707E-1
3.400326250E-1,1.683923556E-1,2.100337989E0,-1.252755429E0
3.500276250E-1,4.308615871E-1,9.206973141E-1,-2.727263002E0
3.600236250E-1,3.928945926E-1,-5.915177840E-1,-2.888036290E0
3.700186250E-1,1.004317760E-1,-1.061142756E0,-2.582684163E0
3.800146250E-1,-2.799601538E-1,-5.913435370E-1,-2.715718260E0
3.900096250E-1,-5.791890760E-1,2.994014150E-1,-1.544505762E0
4.000045000E-1,-7.939663701E-1,8.487549269E-1,-3.402915788E-1
4.100005000E-1,-7.181082487E-1,7.759290254E-1,4.478528649E-1
4.199955000E-1,-7.943481933E-1,2.342137313E-1,1.955151039E0
4.299905000E-1,-1.502709426E0,1.318705004E-1,1.973927034E0
4.399865000E-1,-1.586543880E0,7.566542637E-1,1.501245137E0
4.499815000E-1,-6.496462704E-1,8.806038335E-1,1.671203231E0
4.599775000E-1,7.421834283E-1,1.314583010E0,1.159539117E0
4.699725000E-1,1.708184823E0,1.066516932E0,-9.599818325E-1
4.799675000E-1,2.107166660E0,9.525982609E-1,2.325809548E0
4.899635000E-1,1.506607618E0,-1.915752500E-1,4.796815985E-1
4.999585000E-1,3.360353320E0,-5.812050498E-1,-7.557760119E-2
5.099535000E-1,5.207068915E0,1.070104784E-1,1.238006412E0
5.199495000E-1,3.759189561E0,2.663979757E-1,5.379240764E0
5.299445000E-1,-3.660176612E0,-2.324474336E0,3.919998516E0
5.399395000E-1,-7.238316203E0,-3.939349877E0,-2.302753392E0
5.499355000E-1,-5.104628035E-1,-4.345600094E0,1.350077071E0
5.599305000E-1,4.139588654E0,-6.838672462E0,7.597638130E0
5.699265000E-1,2.668669224E0,-6.762345248E0,3.555846205E0
5.799215000E-1,2.135263700E0,-5.905865564E0,-5.680078840E-1
5.899165000E-1,2.033783226E0,-5.519947577E0,-2.948002410E0
5.999125000E-1,7.904385987E-1,-5.965460386E0,-4.477624084E0
6.099075000E-1,-1.527600584E0,-6.819425767E0,-4.920801516E0
6.199025000E-1,-3.454543778E0,-7.355907218E0,-4.995420173E0
6.298985000E-1,-4.870655794E0,-7.080727894E0,-5.471645483E0
6.398935000E-1,-7.290050029E0,-6.911128235E0,-6.515635432E0
6.498895000E-1,-9.432346467E0,-7.610720106E0,-7.256981685E0
