"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.272594929E-2,5.236612664E1,4.879448065E0,6.901637077E0,-1.000000000E0,-1.000000000E0,1.077028042E1,1.077028042E1
6.831830859E0,5.236606853E1,4.879591750E0,2.477442341E0,9.989260137E-2,1.388055785E1,2.945499219E1,2.945499219E1
7.835839152E0,5.236605874E1,4.879622061E0,2.404027435E0,1.533953398E-1,1.596461047E2,2.143104880E1,2.143104880E1
8.835847855E0,5.236604550E1,4.879653973E0,2.394982118E0,1.836418658E-1,1.253478492E2,1.615315105E1,1.615315105E1
9.836856842E0,5.236605373E1,4.879649392E0,2.430416647E0,1.096014604E-1,3.073007413E2,1.509979580E1,1.509979580E1
1.083686650E1,5.236606861E1,4.879625207E0,2.489906026E0,1.750385016E-1,3.546043801E2,1.150982047E1,1.150982047E1
1.178709924E1,5.236607878E1,4.879616840E0,2.479768782E0,3.952101618E-2,2.663030543E1,1.046173840E1,1.046173840E1
1.273710799E1,5.236607797E1,4.879617408E0,2.471938343E0,5.901899189E-2,9.189088297E1,9.979646412E0,9.979646412E0
1.368624794E1,5.236607783E1,4.879617585E0,2.462141134E0,6.694258749E-2,7.359142519E0,1.349095651E1,1.349095651E1
1.463623261E1,5.236607846E1,4.879612688E0,2.447161614E0,1.276117861E-1,2.845629589E2,9.658612880E0,9.658612880E0
1.558624303E1,5.236608372E1,4.879607388E0,2.436628002E0,2.336085886E-1,3.082765014E2,9.679583701E0,9.679583701E0
1.653622949E1,5.236608299E1,4.879604017E0,2.424181715E0,1.309965253E-1,3.262457929E2,9.748421397E0,9.748421397E0
1.748621726E1,5.236608299E1,4.879604017E0,2.424181785E0,1.309965253E-1,-1.000000000E0,9.748421397E0,9.748421397E0
1.843623304E1,5.236608164E1,4.879606341E0,2.423756753E0,1.097081676E-1,-1.000000000E0,1.099724275E1,1.099724275E1
1.938621902E1,5.236608457E1,4.879602515E0,2.465194843E0,2.144791186E-1,-1.000000000E0,9.890805271E0,9.890805271E0
