"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.016762500E-2,3.349245453E1,-2.162923813E1,-3.348638153E1
6.016262500E-2,3.344577789E1,-2.168670273E1,-3.349118805E1
7.015762500E-2,3.335463333E1,-2.176377869E1,-3.342056274E1
8.015362500E-2,3.297683334E1,-2.199307632E1,-3.328081131E1
9.014862500E-2,3.249645233E1,-2.217636108E1,-3.357483673E1
1.001436250E-1,3.195176697E1,-2.224813080E1,-3.401157379E1
1.101396250E-1,3.140481567E1,-2.228796577E1,-3.460312271E1
1.201346250E-1,3.087340927E1,-2.209265137E1,-3.525650024E1
1.301296250E-1,3.031087112E1,-2.179956436E1,-3.597906876E1
1.401256250E-1,2.985744476E1,-2.147678375E1,-3.670325089E1
1.501206250E-1,2.950173569E1,-2.104854202E1,-3.729161453E1
1.601166250E-1,2.914200592E1,-2.069058990E1,-3.781243134E1
1.701116250E-1,2.875791550E1,-2.028828430E1,-3.833896255E1
1.801066250E-1,2.845927429E1,-1.995685959E1,-3.887056351E1
1.901026250E-1,2.811505508E1,-1.967444229E1,-3.941063309E1
2.000976250E-1,2.782913589E1,-1.926376724E1,-3.978503418E1
2.100926250E-1,2.773504257E1,-1.880711365E1,-4.020663834E1
2.200886250E-1,2.766369247E1,-1.814678001E1,-4.062128448E1
2.300836250E-1,2.768302155E1,-1.732508278E1,-4.105416870E1
2.400786250E-1,2.776579666E1,-1.637490082E1,-4.141836548E1
2.500746250E-1,2.776725006E1,-1.541098881E1,-4.161178207E1
2.600696250E-1,2.760177612E1,-1.432614899E1,-4.196517181E1
2.700656250E-1,2.703046036E1,-1.318614006E1,-4.261769867E1
2.800606250E-1,2.597529221E1,-1.218337440E1,-4.360856628E1
2.900556250E-1,2.449048615E1,-1.115236092E1,-4.468653870E1
3.000516250E-1,2.264242935E1,-1.022272873E1,-4.582103348E1
3.100466250E-1,2.044845963E1,-9.444145203E0,-4.697192001E1
3.200416250E-1,1.803518677E1,-8.749618530E0,-4.819887543E1
3.300376250E-1,1.552036572E1,-8.116859436E0,-4.944271851E1
3.400326250E-1,1.317409039E1,-7.639604568E0,-5.019952011E1
3.500276250E-1,1.108477306E1,-7.247465134E0,-5.068249512E1
3.600236250E-1,9.309950829E0,-6.832939148E0,-5.108194733E1
3.700186250E-1,8.002854347E0,-6.354907990E0,-5.127807617E1
3.800146250E-1,7.301920891E0,-5.858585358E0,-5.134683228E1
3.900096250E-1,7.047467232E0,-5.350057602E0,-5.137634277E1
4.000045000E-1,7.016264915E0,-4.705308914E0,-5.152117920E1
4.100005000E-1,6.998772621E0,-3.866050720E0,-5.163547516E1
4.199955000E-1,7.042130470E0,-3.206192017E0,-5.174782562E1
4.299905000E-1,6.849171638E0,-2.583574295E0,-5.176975250E1
4.399865000E-1,6.391617775E0,-2.028644562E0,-5.173570251E1
4.499815000E-1,5.821009636E0,-1.536306381E0,-5.184814453E1
4.599775000E-1,5.078097343E0,-1.088613510E0,-5.185976410E1
4.699725000E-1,4.230057716E0,-8.084373474E-1,-5.205925751E1
4.799675000E-1,3.507805824E0,-6.994514465E-1,-5.210160828E1
4.899635000E-1,3.195094109E0,-6.413402557E-1,-5.211833954E1
4.999585000E-1,3.236594200E0,-7.329463959E-1,-5.203593445E1
5.099535000E-1,3.483613014E0,-6.957931519E-1,-5.203496552E1
5.199495000E-1,3.786732674E0,-5.529823303E-1,-5.206513977E1
5.299445000E-1,4.033534050E0,-4.260997772E-1,-5.213746643E1
5.399395000E-1,4.046576500E0,-1.107349396E-1,-5.210773468E1
5.499355000E-1,3.872586250E0,2.859897614E-1,-5.201757812E1
5.599305000E-1,3.825774193E0,3.371276855E-1,-5.179029083E1
5.699265000E-1,3.685193062E0,-5.438232422E-2,-5.178978729E1
5.799215000E-1,3.003321648E0,-9.345149994E-1,-5.194635773E1
5.899165000E-1,1.842872620E0,-2.360202789E0,-5.182337952E1
5.999125000E-1,2.849521637E-1,-4.055286407E0,-5.150712585E1
6.099075000E-1,-1.610437393E0,-5.572603226E0,-5.131795502E1
6.199025000E-1,-3.698873520E0,-6.858480453E0,-5.115689850E1
6.298985000E-1,-6.018087387E0,-8.011966705E0,-5.065509033E1
6.398935000E-1,-8.597680092E0,-9.194665909E0,-4.996078491E1
