"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.401750000E-3,-3.197800140E0,5.538482666E0,8.103548584E0
1.239575000E-2,-3.140619049E0,5.747597809E0,8.264763336E0
2.239075000E-2,-2.896476746E0,5.473218384E0,8.333470459E0
3.238575000E-2,-2.588117981E0,5.020410004E0,8.087531891E0
4.237975000E-2,-2.728825378E0,4.622387695E0,7.542365570E0
5.237475000E-2,-3.106939087E0,4.856201477E0,7.695796509E0
6.236975000E-2,-3.377426605E0,5.393883362E0,8.395441589E0
7.236375000E-2,-3.167263641E0,5.594316559E0,8.892108765E0
8.235875000E-2,-2.909349976E0,5.127138062E0,9.530680847E0
9.235275000E-2,-2.943179626E0,4.660258942E0,1.061816940E1
1.023477500E-1,-1.758393402E0,4.515659637E0,1.199530563E1
1.123427500E-1,2.375559998E-1,4.446802826E0,9.852511597E0
1.223410833E-1,1.479972382E0,4.241280212E0,9.281598816E0
1.323360833E-1,2.099683685E0,3.479214935E0,9.025331726E0
1.423300833E-1,1.043929138E0,1.529070282E0,8.193960571E0
1.523250833E-1,1.308429108E0,1.655557251E0,9.598040771E0
1.623200833E-1,1.318308563E0,2.499502258E0,9.952353973E0
1.723140833E-1,9.550140381E-1,3.462599487E0,1.063553329E1
1.823090833E-1,4.526586914E-1,4.211641846E0,1.085467758E1
1.923040833E-1,-2.933898926E-2,4.364623718E0,1.012554382E1
2.022980833E-1,8.517288208E-2,3.957171021E0,9.576036530E0
2.122930833E-1,5.646258545E-1,3.502566376E0,9.173523560E0
2.222870833E-1,1.674717407E0,2.251168671E0,9.244476013E0
2.322820833E-1,1.947899323E0,1.162033539E0,8.712931366E0
2.422770833E-1,1.931134186E0,4.957690430E-1,7.160958710E0
2.522710833E-1,2.058070221E0,7.439529419E-2,5.489833832E0
2.622660833E-1,2.106868744E0,-2.273771667E-1,4.401297455E0
2.722600833E-1,1.381028137E0,-1.345701599E0,1.804647217E0
2.822550833E-1,1.073567505E0,-1.226549377E0,5.251230011E0
2.922500833E-1,9.282197571E-1,-1.447489929E0,4.945565643E0
3.022440833E-1,5.044509888E-1,-1.692081299E0,5.897735596E0
3.122390833E-1,3.936813354E-2,-1.644031219E0,8.601862335E0
3.222340833E-1,-3.206332397E-1,-1.512604523E0,1.164353714E1
3.322280833E-1,-8.180488586E-1,-1.427281952E0,1.305450302E1
3.422230833E-1,-8.255332947E-1,-1.485361176E0,1.310150528E1
3.522170833E-1,-2.942880249E-1,-1.072519684E0,1.273117538E1
3.622120833E-1,1.261426849E0,4.200265503E-1,1.024574387E1
3.722070833E-1,3.830983429E0,1.618135071E-1,9.236991577E0
3.822010833E-1,4.917424164E0,-5.140310669E-1,1.061158310E1
3.921960833E-1,4.287234650E0,-6.932084656E-1,1.132455048E1
4.021910833E-1,2.490820312E0,-9.639953613E-2,8.418044586E0
4.121850833E-1,-3.503913574E0,3.367547150E0,5.368286591E0
4.221800833E-1,-3.217109985E0,4.130660248E0,5.021607513E0
4.321740833E-1,2.278561707E0,-1.927990723E0,7.761360168E0
4.421690833E-1,3.668870544E0,-1.934277649E0,1.108355164E1
4.521640833E-1,3.361110535E0,-7.035369873E-1,1.047057632E1
4.621580833E-1,2.792892151E0,-1.642983398E0,8.869505768E0
4.721530833E-1,2.224673767E0,-2.731519775E0,7.907905426E0
4.821470833E-1,2.648592224E0,-2.617456970E0,6.488856354E0
4.921420833E-1,3.095862122E0,-2.518961792E0,6.337521057E0
5.021370833E-1,3.074157257E0,-2.694846039E0,5.269791412E0
5.121310833E-1,2.965183868E0,-2.948568420E0,3.253334656E0
5.221260833E-1,3.483256531E0,-3.060385895E0,1.801952820E0
5.321210833E-1,2.014660492E0,-5.045857086E0,3.550466766E0
5.421150833E-1,1.025667114E0,-5.922434235E0,3.286415863E0
5.521100833E-1,5.529501343E-1,-6.675518188E0,3.103795624E0
5.621040833E-1,3.848497009E-1,-7.912396088E0,4.810546417E0
5.720990833E-1,1.137634277E-2,-8.840615845E0,5.531147919E0
5.820940833E-1,3.412902832E-2,-9.250313873E0,4.566553802E0
5.920880833E-1,-1.031355286E-1,-9.137149200E0,4.711901550E0
6.020830833E-1,-1.380130005E-1,-9.707163849E0,4.110152893E0
6.120780833E-1,7.628137207E-1,-9.689949646E0,3.143463135E0
6.220720833E-1,2.762056274E0,-9.286688232E0,2.388882294E0
6.320670833E-1,5.130431213E0,-9.321565704E0,2.408641205E0
6.420610833E-1,7.075935516E0,-9.546697540E0,4.134252777E0
6.520560833E-1,8.776998138E0,-8.938811646E0,6.684499512E0
6.620510833E-1,9.369915161E0,-9.250613251E0,9.756561127E0
6.720450833E-1,9.810898132E0,-9.371112671E0,1.216250793E1
6.820400833E-1,1.103355560E1,-8.500373383E0,1.212029572E1
6.920350833E-1,1.350237167E1,-7.849227448E0,1.070798264E1
7.020290833E-1,1.616174149E1,-6.163283386E0,8.088879089E0
7.120240833E-1,1.964589615E1,-4.248165894E0,5.664071503E0
7.220180833E-1,2.258069321E1,-2.825224915E0,4.113595734E0
7.320130833E-1,2.446482513E1,-9.873468018E-1,3.123704224E0
7.420080833E-1,2.598401596E1,6.324348450E-1,2.314337311E0
7.520020833E-1,2.698752914E1,2.061213684E0,1.624721375E0
7.619970833E-1,2.702794510E1,3.194656677E0,2.077679443E-1
7.719920833E-1,2.590647720E1,4.296215973E0,-3.317102051E-1
7.819860833E-1,2.421334808E1,4.639452209E0,-1.027313690E0
7.919810833E-1,2.187491089E1,4.709805908E0,-1.107397156E0
8.019760833E-1,1.943513443E1,4.698130188E0,2.284249878E-1
8.119700833E-1,1.713965790E1,4.279301147E0,9.870474243E-1
8.219650833E-1,1.528471527E1,4.028722229E0,1.803300018E0
8.319590833E-1,1.430275726E1,3.739673309E0,1.243613892E0
8.419540833E-1,1.368888382E1,3.333118744E0,-6.547384644E-1
8.519490833E-1,1.280616943E1,3.290008392E0,-2.699785767E0
8.619430833E-1,1.084614532E1,2.741548920E0,-6.588998108E0
8.719380833E-1,3.065325623E0,-2.976560211E0,-1.868639145E1
8.819330833E-1,-4.846920776E0,-1.245065872E1,-2.058639038E1
8.919270833E-1,8.720864868E-1,-3.441194000E0,5.423821106E0
9.019220833E-1,2.313289490E0,-4.890629883E0,-6.889423370E0
9.119170833E-1,3.842509460E0,-2.273921356E0,-7.078779602E0
9.219110833E-1,1.242371475E1,-2.926115112E0,-1.470691681E0
9.319060833E-1,1.268731659E1,-4.907993774E0,3.708238678E0
9.419000833E-1,9.870324554E0,-3.806733856E0,1.020263351E1
9.518950833E-1,8.628806305E0,-6.109545135E0,1.027298721E1
9.618900833E-1,9.687704315E0,-4.885690155E0,6.187383270E0
9.718840833E-1,1.359128677E1,-4.363126831E0,-2.146536255E-1
9.818790833E-1,1.543769714E1,-2.821183319E0,-4.124822388E0
9.918740833E-1,1.470856339E1,-3.619173889E0,-4.057911530E0
1.001868083E0,1.288939636E1,-5.202730865E0,-1.354982300E0
1.011863083E0,1.117022141E1,-5.556295624E0,1.277593231E0
1.021858083E0,9.799372101E0,-5.452711029E0,1.720522156E0
1.031852083E0,7.687863007E0,-5.531596985E0,2.230212250E0
1.041847083E0,6.241720276E0,-4.669689331E0,1.380728760E0
1.051841083E0,6.268963623E0,-5.716911621E0,4.535568237E-2
1.061836083E0,7.878267059E0,-6.046975250E0,-9.509724426E-1
1.071831083E0,9.819131012E0,-4.070485382E0,9.919871521E-1
1.081825083E0,9.036259003E0,-2.578837280E0,3.049608307E0
1.091820083E0,6.957980804E0,-3.186124420E0,2.780168610E0
1.101815083E0,8.888366547E0,-5.737119598E0,3.527863770E0
1.111809083E0,9.099128265E0,-2.090552673E0,3.009491730E0
1.121800500E0,9.901908875E0,-6.238726501E0,2.382745056E0
1.131795500E0,8.782087555E0,-6.380631409E0,1.472487946E0
1.141789500E0,6.107000427E0,-4.326153717E0,-6.361770630E-1
1.151784500E0,5.848188629E0,-5.176535339E0,-2.198478241E0
1.161779500E0,7.986342316E0,-5.756279755E0,-1.059047699E0
1.171773500E0,1.104133942E1,-6.480623474E0,-2.993774414E-3
1.181768500E0,1.174008636E1,-5.991291046E0,-1.052910461E0
1.191762500E0,1.152468430E1,-5.294939117E0,-1.793570251E0
1.201757500E0,1.107771378E1,-4.994513855E0,-1.949246521E0
1.211752500E0,1.025322830E1,-4.419559479E0,-1.648671570E0
1.221746500E0,9.625733185E0,-3.751049652E0,-1.502874756E0
