"Time (s)","X (hPa)"
-5.165316667E-1,1.015578842E3
5.178303333E-1,1.015586319E3
1.552173333E0,1.015593796E3
2.586545333E0,1.015598602E3
3.620738333E0,1.015622406E3
4.654725333E0,1.015628128E3
4.790224333E0,1.015635757E3
5.747398333E0,1.015635757E3
6.704622333E0,1.015635757E3
7.661827333E0,1.015642319E3
8.619101333E0,1.015642319E3
9.576307333E0,1.015628128E3
1.053350933E1,1.015622864E3
1.149077033E1,1.015621643E3
1.244787433E1,1.015621643E3
1.340511333E1,1.015623016E3
1.436247533E1,1.015623016E3
1.531995333E1,1.015609741E3
