"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.612675000E-2,-1.125763774E0,-1.616320729E0,2.797489464E-1
5.612175000E-2,-1.247345805E0,-1.829314232E0,3.106432557E-1
6.611675000E-2,-1.332165360E0,-2.108105183E0,4.142961502E-1
7.611075000E-2,-1.463538647E0,-2.386507511E0,4.864746034E-1
8.610575000E-2,-1.704169154E0,-2.589027166E0,4.758973122E-1
9.609975000E-2,-1.941787720E0,-2.957167149E0,5.267494321E-1
1.060947500E-1,-1.836040020E0,-2.932525158E0,6.083468199E-1
1.160897500E-1,-1.743626118E0,-2.699374199E0,6.999587417E-1
1.260880833E-1,-1.696401119E0,-2.388067007E0,7.630221248E-1
1.360830833E-1,-2.281145573E0,-1.433865190E0,5.753844976E-1
1.460770833E-1,-2.946613312E0,-9.555289149E-1,3.478170633E-1
1.560720833E-1,-3.439383745E0,-7.869929075E-1,2.435387522E-1
1.660670833E-1,-3.602454185E0,-1.085051537E0,3.237321377E-1
1.760610833E-1,-3.432707071E0,-1.672496200E0,5.573917627E-1
1.860560833E-1,-3.047121763E0,-2.181177855E0,8.685477376E-1
1.960510833E-1,-2.554912806E0,-2.474269629E0,1.217363596E0
2.060450833E-1,-1.980012298E0,-2.456521511E0,1.457247615E0
2.160400833E-1,-1.344265819E0,-2.293837786E0,1.553907037E0
2.260340833E-1,-7.782825828E-1,-2.075771809E0,1.704201460E0
2.360290833E-1,-3.091100156E-1,-1.711983204E0,1.789109468E0
2.460240833E-1,1.027783006E-2,-1.156718731E0,1.770997405E0
2.560180833E-1,1.364213079E-1,-5.701832175E-1,1.696594357E0
2.660130833E-1,-6.771185249E-2,1.223657131E0,1.615382075E0
2.760070833E-1,-1.828009486E-1,1.258142471E0,1.358604908E0
2.860020833E-1,1.893529203E-3,1.738556743E0,1.229400635E0
2.959970833E-1,3.642333150E-1,2.112663984E0,1.016408205E0
3.059910833E-1,9.188334346E-1,2.031213999E0,8.355270624E-1
3.159860833E-1,1.498536110E0,1.380452037E0,6.972312927E-1
3.259810833E-1,1.853931308E0,5.902671814E-1,5.362240672E-1
3.359750833E-1,1.954735756E0,-9.200803936E-2,2.418468893E-1
3.459700833E-1,1.840768218E0,-5.950599909E-1,-1.511709690E-1
3.559640833E-1,1.647600174E0,-5.415304303E-1,-2.094366103E-1
3.659590833E-1,1.296916723E0,-5.317385197E-1,-2.027326226E-1
3.759540833E-1,7.835132480E-1,-1.130719662E0,-1.935137361E-1
3.859480833E-1,1.302704513E-1,-2.101884604E0,-2.966861725E-1
3.959430833E-1,-4.364942610E-1,-2.611204147E0,-4.471216798E-1
4.059380833E-1,-7.462009788E-1,-2.186725378E0,-2.832435369E-1
4.159320833E-1,-7.237604856E-1,-1.099903226E0,5.655730143E-2
4.259270833E-1,-6.461069584E-1,-5.113685727E-1,-1.530517358E-2
4.359210833E-1,-5.782951713E-1,-8.125814199E-1,1.581912488E-2
4.459160833E-1,-3.563584685E-1,-1.220153689E0,2.096277326E-1
4.559110833E-1,-1.522408053E-2,-1.494705319E0,3.905799985E-1
4.659050833E-1,3.220607340E-1,-1.910300136E0,4.315804243E-1
4.759000833E-1,5.765973330E-1,-2.373528957E0,4.095252454E-1
4.858940833E-1,6.390497684E-1,-3.143832922E0,3.418487310E-1
4.958890833E-1,5.117812753E-1,-3.876024961E0,1.931750476E-1
5.058840833E-1,2.290433347E-1,-4.101671219E0,7.122170925E-2
5.158780833E-1,-6.472095251E-1,-3.392725468E0,2.553974390E-1
5.258730833E-1,-1.150956869E0,-3.734672546E0,4.425103366E-1
5.358680833E-1,-1.478614926E0,-4.321868420E0,7.172152400E-1
5.458620833E-1,-1.560539722E0,-4.744474888E0,9.532994032E-1
5.558570833E-1,-1.344944239E0,-5.295826912E0,1.321029305E0
5.658510833E-1,-7.954913974E-1,-5.923090458E0,1.852019906E0
5.758460833E-1,-7.229510695E-2,-6.321523666E0,2.437646627E0
5.858410833E-1,4.871966839E-1,-6.873776913E0,3.052630424E0
5.958350833E-1,7.626538277E-1,-7.519762039E0,3.556635380E0
6.058300833E-1,8.954896331E-1,-8.047405243E0,4.070837498E0
6.158250833E-1,8.058456182E-1,-7.930623055E0,4.635171890E0
6.258190833E-1,3.664597571E-1,-6.991000175E0,5.052444935E0
6.358140833E-1,-2.086667567E-1,-5.907856464E0,5.268124104E0
6.458080833E-1,-3.188065886E-1,-5.230777740E0,5.475935459E0
6.558030833E-1,1.141038164E-1,-5.130438328E0,5.508539200E0
6.657980833E-1,1.012367487E0,-5.560105801E0,5.561542511E0
6.757920833E-1,2.203022957E0,-6.046927929E0,5.642296791E0
6.857870833E-1,3.082181215E0,-6.230323792E0,5.575543880E0
6.957820833E-1,3.475833416E0,-5.832561970E0,5.438680649E0
7.057760833E-1,3.458741188E0,-5.060088158E0,5.149374962E0
7.157710833E-1,3.120419979E0,-4.094409466E0,4.641070366E0
7.257650833E-1,2.764130592E0,-3.027507067E0,4.090514183E0
7.357600833E-1,2.508213282E0,-1.980271459E0,3.472867489E0
7.457550833E-1,2.289783239E0,-1.135607839E0,2.705062866E0
7.557490833E-1,1.945284009E0,-4.435726106E-1,1.824199080E0
7.657440833E-1,1.564303160E0,-5.105303228E-2,1.070698977E0
7.757390833E-1,1.155979156E0,2.408365458E-1,4.809260368E-1
7.857330833E-1,9.068095088E-1,4.324610829E-1,1.294875592E-1
7.957280833E-1,8.945497274E-1,2.135032415E-1,-8.034462482E-2
8.057230833E-1,1.010479808E0,-2.676535249E-1,-2.417894602E-1
8.157170833E-1,1.300394773E0,-1.054768801E0,-3.847572207E-1
8.257120833E-1,1.795648932E0,-1.745593309E0,-5.490761399E-1
8.357060833E-1,2.079247713E0,-2.119191170E0,-7.973195910E-1
8.457010833E-1,2.008227825E0,-2.182212353E0,-1.044643641E0
8.556960833E-1,1.385148168E0,-1.721260548E0,-1.186228514E0
8.656900833E-1,-8.637408614E-1,2.410694063E-1,-6.890985966E-1
8.756850833E-1,-4.546090603E0,2.147671223E0,-1.357353944E-2
8.856800833E-1,-2.968339443E0,7.707460970E-2,-7.502704859E-1
8.956740833E-1,-1.925193429E0,2.631219327E-1,-7.446655631E-1
9.056690833E-1,-1.771684766E0,4.690553844E-1,-5.079363585E-1
9.156640833E-1,-1.863493204E0,9.777643532E-2,-1.174427629E0
9.256580833E-1,-1.196647763E0,-3.553657532E-1,-1.546451211E0
9.356530833E-1,4.136993885E-1,-1.537724257E0,-1.557125449E0
9.456470833E-1,1.274577618E0,-2.624255657E0,-1.132388830E0
9.556420833E-1,1.288274288E0,-3.191763401E0,-8.159167767E-1
9.656370833E-1,1.257129431E0,-2.543608904E0,-8.282027245E-1
9.756310833E-1,4.829878509E-1,-1.660434484E0,-1.013632894E0
9.856260833E-1,-5.018977448E-2,-8.463338614E-1,-1.232677817E0
9.956210833E-1,-2.627516687E-1,-2.728284299E-1,-1.364955425E0
1.005615083E0,-3.449648023E-1,-3.504095078E-1,-1.575067163E0
1.015610083E0,-1.798559725E-1,-5.964130759E-1,-1.628306508E0
1.025605083E0,1.593356729E-1,-8.151025176E-1,-1.534033537E0
1.035599083E0,3.876942694E-1,-8.899534941E-1,-1.383519650E0
1.045594083E0,4.949016869E-1,-8.500478864E-1,-1.133309364E0
1.055588083E0,4.193319380E-1,-4.758721292E-1,-8.770779967E-1
1.065583083E0,4.818376601E-1,-2.085081115E-2,-7.752531171E-1
1.075578083E0,3.587805331E-1,-2.476463467E-2,-6.984831691E-1
1.085572083E0,-2.189541757E-1,-1.995612234E-1,-3.022005856E-1
1.095567083E0,-3.391419724E-2,2.051260322E-2,-7.519602776E-2
1.105562083E0,-9.536318481E-2,1.122832671E-1,-2.078018896E-2
1.115556083E0,9.344581515E-2,3.480164409E-1,-1.899826378E-1
1.125547500E0,5.032338500E-1,7.949159145E-1,-2.124200314E-1
1.135542500E0,2.913656533E-1,1.095614672E0,1.402569115E-1
1.145536500E0,-2.007178068E-1,1.310165405E0,5.404765010E-1
1.155531500E0,-3.776730001E-1,1.353156567E0,6.971842647E-1
1.165526500E0,-2.130888253E-1,1.021270037E0,3.813352585E-1
