"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.612675000E-2,2.988634712E-1,6.064802241E-1,-5.910418206E-1
5.612175000E-2,-1.777980405E-1,5.842479408E-1,-1.020516887E0
6.611675000E-2,-7.148829246E-1,1.151266184E0,-5.262470698E-1
7.611075000E-2,-9.959886941E-1,1.722856364E0,-5.089182615E-2
8.610575000E-2,-8.601767318E-1,1.658208963E0,3.437390971E-1
9.609975000E-2,-1.144134335E0,1.296589665E0,9.829625595E-1
1.060947500E-1,-1.026944292E0,1.085955416E0,2.720620565E0
1.160897500E-1,6.117367248E-1,1.273880542E0,1.753679962E0
1.260880833E-1,1.901182701E0,1.233377756E0,1.402671021E-1
1.360830833E-1,2.926272110E0,1.096867197E0,-3.438162804E-2
1.460770833E-1,2.142241914E0,-3.082643321E-1,-1.125627605E0
1.560720833E-1,1.742591887E0,-1.009103414E0,-5.714653426E-1
1.660670833E-1,1.917889073E0,-6.056253612E-3,2.652946061E-1
1.760610833E-1,1.536248032E0,1.254334323E0,5.949103385E-1
1.860560833E-1,9.161197483E-1,2.493733980E0,1.171979653E0
1.960510833E-1,1.154739028E-1,3.226645625E0,8.276429701E-1
2.060450833E-1,-2.889620885E-1,3.251606511E0,3.240293026E-2
2.160400833E-1,-3.633735722E-1,3.057806980E0,-4.396533144E-1
2.260340833E-1,3.781929383E-1,2.313687685E0,-5.602117914E-1
2.360290833E-1,9.410665284E-1,1.072831340E0,-6.425318170E-1
2.460240833E-1,8.082984804E-1,2.713836772E-1,-1.686622923E0
2.560180833E-1,7.493597891E-1,-2.698602948E-1,-3.480786667E0
2.660130833E-1,9.525406659E-1,-5.563641042E-1,-4.770244483E0
2.760070833E-1,7.501203657E-1,-1.183814490E0,-6.632631201E0
2.860020833E-1,1.640249240E-1,-1.934618395E0,-6.723646036E0
2.959970833E-1,2.552183186E-1,-1.646874720E0,-4.077911346E0
3.059910833E-1,2.214693593E-1,-2.166886027E0,-4.848243417E0
3.159860833E-1,-1.881827686E-1,-2.302536314E0,-2.590985456E0
3.259810833E-1,-4.025396479E-1,-2.370176174E0,3.444928032E-1
3.359750833E-1,-8.627490681E-1,-2.456384890E0,2.979344655E0
3.459700833E-1,-1.239627114E0,-2.549019112E0,3.211345215E0
3.559640833E-1,-1.000990914E0,-2.836573191E0,3.553167595E0
3.659590833E-1,-1.455258321E-1,-1.738559647E0,1.820517730E0
3.759540833E-1,2.098273337E0,-1.056106257E0,-2.316444647E-1
3.859480833E-1,3.987780025E0,-1.880948411E0,4.136144936E-2
3.959430833E-1,3.841550225E0,-2.258368347E0,1.691665562E0
4.059380833E-1,2.681110345E0,-2.168720006E0,8.106117851E-1
4.159320833E-1,-1.603977646E0,-1.863174337E-1,-3.349883296E0
4.259270833E-1,-6.087046219E0,3.477049419E0,-4.494268184E0
4.359210833E-1,-1.566265883E0,-3.557454774E-1,-3.771438308E0
4.459160833E-1,1.908217632E0,-4.059988753E0,2.437242275E-1
4.559110833E-1,1.947752265E0,-2.287429740E0,1.582179957E0
4.659050833E-1,1.321540319E0,-2.315485412E0,2.262697041E-2
4.759000833E-1,4.254118359E-1,-3.640543708E0,-1.108760726E0
4.858940833E-1,6.140716642E-2,-4.170490896E0,-2.285184263E0
4.958890833E-1,3.361368397E-1,-3.933820750E0,-3.035654511E0
5.058840833E-1,1.565866810E-1,-4.073356950E0,-3.194336250E0
5.158780833E-1,-3.592757338E-1,-4.255133436E0,-4.846503285E0
5.258730833E-1,-3.922628009E-1,-4.279574797E0,-6.816198104E0
5.358680833E-1,-1.091517872E0,-5.175452435E0,-6.235727465E0
5.458620833E-1,-3.004112584E0,-6.655151167E0,-5.006453869E0
5.558570833E-1,-4.191468952E0,-7.133304888E0,-5.439129701E0
5.658510833E-1,-4.779363216E0,-7.894787782E0,-4.493636684E0
5.758460833E-1,-5.734836261E0,-9.030971950E0,-2.243640965E0
5.858410833E-1,-6.332291892E0,-9.498405971E0,-2.554526896E0
5.958350833E-1,-6.914468164E0,-9.394463527E0,-2.300991626E0
6.058300833E-1,-7.605542981E0,-9.349934056E0,-1.937835680E0
6.158250833E-1,-7.745965034E0,-9.563839238E0,-2.125482185E0
6.258190833E-1,-6.649018022E0,-8.803783064E0,-2.534343477E0
6.358140833E-1,-4.577538382E0,-8.140961409E0,-2.348273381E0
6.458080833E-1,-2.631872111E0,-7.972716549E0,-1.164272145E0
6.558030833E-1,-8.007744294E-1,-7.185799436E0,1.691132296E0
6.657980833E-1,2.505853504E-1,-6.477716823E0,4.870776247E0
6.757920833E-1,6.510851240E-1,-6.458444985E0,8.471788684E0
6.857870833E-1,1.308964713E0,-5.556223118E0,1.008852393E1
6.957820833E-1,3.398283623E0,-4.377984021E0,9.630536672E0
7.057760833E-1,6.049531653E0,-2.925820705E0,7.960468971E0
7.157710833E-1,9.262346274E0,-5.114758337E-1,5.443241463E0
7.257650833E-1,1.290186263E1,1.378088157E0,3.646124876E0
7.357600833E-1,1.536094425E1,3.309070315E0,2.509355401E0
7.457550833E-1,1.716491319E1,5.312294823E0,1.615844132E0
7.557490833E-1,1.863634045E1,6.975908368E0,8.667117262E-1
7.657440833E-1,1.924257159E1,8.382827976E0,-1.886997356E-1
7.757390833E-1,1.873889945E1,9.508478969E0,-1.515325232E0
7.857330833E-1,1.731931243E1,1.033069338E1,-1.965646645E0
7.957280833E-1,1.528993099E1,1.039681019E1,-2.769650638E0
8.057230833E-1,1.281461515E1,1.046739778E1,-2.022714593E0
8.157170833E-1,1.041017926E1,1.020103138E1,-8.044986673E-1
8.257120833E-1,8.220156097E0,9.732794534E0,-2.064113903E-1
8.357060833E-1,6.706834121E0,9.471732143E0,4.402508998E-1
8.457010833E-1,5.976425670E0,8.905694185E0,-1.152361221E0
8.556960833E-1,5.142009870E0,8.654648075E0,-2.823790593E0
8.656900833E-1,3.938451160E0,8.330513522E0,-5.710235270E0
8.756850833E-1,-1.200105929E-1,6.824726853E0,-1.159212725E1
8.856800833E-1,-1.106123398E1,-5.298209465E0,-2.849037583E1
8.956740833E-1,-1.039133486E1,-2.073279998E0,-4.023947393E0
9.056690833E-1,-6.178172736E0,1.278133514E0,-3.113326585E-1
9.156640833E-1,-5.810040225E0,1.186685400E0,-9.566530711E0
9.256580833E-1,-5.270077926E-1,3.173297968E0,-6.178358678E0
9.356530833E-1,5.487390865E0,-5.434226811E-2,1.088025915E0
9.456470833E-1,2.404900156E0,1.387398679E0,6.155433499E0
9.556420833E-1,5.392886996E-1,-8.076992869E-1,1.099259937E1
9.656370833E-1,2.761698425E-2,-9.215518847E-1,8.312977722E0
9.756310833E-1,2.858092114E0,-2.730708182E-2,3.002985533E0
9.856260833E-1,6.249510521E0,6.851781920E-1,-2.617232437E0
9.956210833E-1,6.483967497E0,1.731587427E0,-4.396302763E0
1.005615083E0,4.969445087E0,-5.083426031E-1,-2.798602542E0
1.015610083E0,3.038057717E0,-1.417353964E0,3.856227028E-1
1.025605083E0,1.545059493E0,-1.532621881E0,2.025194836E0
1.035599083E0,-2.783438373E-1,-1.862645749E0,2.272936685E0
1.045594083E0,-2.251263396E0,-1.304928380E0,2.375022054E0
1.055588083E0,-3.123556874E0,-1.372007053E0,1.237400640E0
1.065583083E0,-2.173121790E0,-2.812538503E0,-3.661093382E-1
1.075578083E0,-3.254460829E-1,-1.627266375E0,1.738096913E-1
1.085572083E0,8.700785530E-1,-9.739210099E-2,2.852035568E0
1.095567083E0,-1.715954311E0,1.418688007E0,3.408986367E0
1.105562083E0,-1.347934651E0,-2.005402011E0,3.509356163E0
1.115556083E0,-6.529995024E-2,-1.754421973E-1,3.874312466E0
1.125547500E0,2.675077772E-1,-3.149877530E-1,3.082366748E0
1.135542500E0,5.116570973E-1,-3.898473454E0,2.255769260E0
1.145536500E0,-1.869661238E0,-1.588072489E0,8.037114859E-1
1.155531500E0,-3.565896399E0,-1.218835438E0,-1.803157346E0
1.165526500E0,-2.541929655E0,-1.936542860E0,-1.840689454E0
1.175520500E0,5.150408810E-1,-2.759273292E0,-4.859351957E-1
1.185515500E0,2.509147825E0,-2.846528075E0,-5.304178888E-1
1.195509500E0,2.439070700E0,-2.142298485E0,-1.808010535E0
1.205504500E0,2.181860454E0,-1.699956037E0,-2.211570157E0
1.215499500E0,1.482330564E0,-1.386647896E0,-2.120433699E0
1.225493500E0,6.698944473E-1,-6.406089601E-1,-1.894238255E0
1.235488500E0,2.686509079E-1,-8.720420480E-2,-1.973180344E0
1.245483500E0,-4.059563953E-1,2.817591959E-1,-2.338526073E0
1.255477500E0,-1.130020618E0,8.706916335E-1,-2.268119164E0
1.265472500E0,-6.167549515E-1,2.117368004E0,-3.092094761E0
1.275467500E0,5.379952955E-1,1.452747746E0,-2.229258130E0
1.285461500E0,-3.225669140E-1,-2.055775774E-1,-1.065890403E-1
1.295456500E0,-1.262399826E0,-6.444546738E-1,1.694601449E0
1.305451500E0,-1.116218265E0,1.410573533E0,3.757634786E0
1.315445500E0,-1.961488252E0,2.283459334E0,4.307080100E0
1.325440500E0,-2.571000257E0,3.046200842E0,4.166943390E0
1.335435500E0,-3.176492887E0,3.624879602E0,3.131082825E0
1.345429500E0,-3.684720592E0,3.793659482E0,2.284535222E0
1.355424500E0,-2.800584748E0,3.692176961E0,2.647652284E0
1.365418500E0,-6.471949714E-1,4.088760855E0,3.228530767E0
1.375413500E0,7.826954234E-1,5.577053239E0,3.038766984E0
1.385408500E0,1.262219732E0,7.251164875E0,3.084578750E0
1.395402500E0,1.926586221E0,8.879153089E0,1.893756444E0
1.405397500E0,6.869063365E-1,8.261262608E0,1.065805911E0
1.415392500E0,-2.053560264E0,5.614214634E0,2.835866847E0
1.425386500E0,-5.180067058E0,1.915734374E0,4.578425404E0
1.435381500E0,-4.810896081E0,3.253017737E0,-2.287037830E0
1.445376500E0,-5.293386682E0,3.023068964E0,-4.821743835E0
1.455370500E0,-4.720284703E0,2.978430151E0,-4.243756508E0
1.465365500E0,-2.599631149E0,2.380251803E0,-5.463445932E0
1.475360500E0,-1.044674951E0,3.282118744E0,-5.481983360E0
1.485354500E0,-1.674929076E0,4.354597498E0,-2.791512208E0
1.495349500E0,-1.986656276E0,4.746272653E0,-1.397776993E-1
1.505344500E0,-1.279614467E0,5.386307709E0,1.666947627E-1
1.515338500E0,-8.639511826E-1,5.734987704E0,7.953511369E-1
1.525333500E0,-5.831641959E-1,6.216847390E0,1.839945104E0
1.535328500E0,-4.529430123E-1,6.623632336E0,2.407136716E0
1.545322500E0,-4.085781406E-1,6.844627851E0,2.895541776E0
1.555317500E0,-5.479026715E-1,6.896254672E0,3.266468087E0
1.565311500E0,-4.432990533E-1,6.811882274E0,3.145044222E0
1.575306500E0,-1.797679675E-1,3.036365533E0,3.330158299E0
1.585301500E0,-1.904931789E0,-1.607251999E1,7.599004624E0
1.595295500E0,-8.190822955E0,-4.971578269E1,1.514356115E1
1.605290500E0,-7.296870221E0,-3.611594494E1,-1.369385161E0
1.615285500E0,-3.354181584E0,-1.937671139E1,-1.174238783E1
1.625279500E0,-1.019368055E0,-1.107076494E1,-4.693585147E0
1.635274500E0,-6.660687603E-1,-4.847779732E0,-4.368589300E-1
1.645269500E0,-9.624458492E-1,-2.023303846E0,1.337825400E-1
1.655263500E0,-1.804101818E0,9.363146424E-3,-1.539658420E0
1.665258500E0,-2.294182543E0,2.522550228E0,-2.176831849E0
1.675253500E0,-2.368159177E0,3.929400839E0,-2.235158994E0
1.685247500E0,-2.352939605E0,4.264703574E0,-2.549594185E0
1.695242500E0,-2.238628732E0,4.524991209E0,-1.976944782E0
1.705237500E0,-1.841981396E0,4.750573865E0,-1.018642269E0
1.715231500E0,-1.637067770E0,4.303477630E0,-3.155825610E-1
1.725226500E0,-1.362376396E0,3.153976429E0,3.924765167E-1
1.735221500E0,-1.026160839E0,1.493202876E0,8.643719628E-2
1.745215500E0,-9.621128502E-1,-1.325780135E-1,-2.306906669E0
1.755210500E0,-9.965272958E-1,-1.265553229E0,-4.402649039E0
1.765205500E0,-1.939814524E-1,-2.193883499E0,-4.729488806E0
1.775199500E0,4.451951592E-1,-3.255989292E0,-8.958413851E-1
1.785194500E0,1.788458616E0,-3.493676269E0,3.389049700E0
1.795188500E0,2.395682606E0,-1.084578397E0,4.587177224E0
1.805183500E0,2.279625607E0,2.166940114E0,5.954757643E0
