"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.122523785E-1,5.236606780E1,4.879553612E0,2.609712283E0,1.631332040E-1,1.349973514E2,1.851687657E1,1.851687657E1
1.161681294E0,5.236606667E1,4.879546549E0,2.603290024E0,1.176323667E-1,1.551932291E2,8.279591457E0,8.279591457E0
2.111691952E0,5.236606568E1,4.879547240E0,2.654228510E0,2.498982996E-1,1.425172371E2,1.205786011E1,1.205786011E1
3.061720490E0,5.236606992E1,4.879543698E0,2.766855276E0,1.131603643E-1,2.703486656E2,8.750363748E0,8.750363748E0
4.011728287E0,5.236606773E1,4.879538304E0,2.793851674E0,2.498982996E-1,2.097522406E2,1.066646579E1,1.066646579E1
4.961733341E0,5.236606773E1,4.879538304E0,2.793851740E0,2.498982996E-1,-1.000000000E0,1.066646579E1,1.066646579E1
5.911760807E0,5.236606793E1,4.879517808E0,2.856666365E0,2.945273817E-1,2.435205382E2,1.281220881E1,1.281220881E1
6.861764431E0,5.236606943E1,4.879507258E0,2.850895060E0,5.486299992E-1,2.499965492E2,7.316776248E0,7.316776248E0
7.811788440E0,5.236606529E1,4.879507654E0,2.842537898E0,5.486299992E-1,2.249451279E2,1.056089902E1,1.056089902E1
8.783793449E0,5.236606431E1,4.879503385E0,2.792765338E0,3.744561076E-1,2.210198132E2,8.356238346E0,8.356238346E0
9.783797145E0,5.236606720E1,4.879507414E0,2.800973954E0,1.390161365E-1,-1.000000000E0,1.233599981E1,1.233599981E1
1.078382277E1,5.236606784E1,4.879498987E0,2.739162921E0,3.744561076E-1,2.582291228E2,1.315835805E1,1.315835805E1
1.178383088E1,5.236606982E1,4.879503510E0,2.682338470E0,2.536778748E-1,-1.000000000E0,9.123073038E0,9.123073038E0
1.278385580E1,5.236606857E1,4.879502037E0,2.687729214E0,2.328539342E-1,-1.000000000E0,9.150437042E0,9.150437042E0
1.378387988E1,5.236606983E1,4.879501469E0,2.594725197E0,4.421051964E-2,-1.000000000E0,9.544057508E0,9.544057508E0
1.478390300E1,5.236606787E1,4.879499421E0,2.583008802E0,4.503484815E-2,-1.000000000E0,8.532773261E0,8.532773261E0
1.578392410E1,5.236608273E1,4.879506654E0,2.693342335E0,1.465518922E-1,5.051287771E1,1.700999120E1,1.700999120E1
1.678394556E1,5.236609917E1,4.879529043E0,2.808270733E0,3.118417859E-1,8.578837747E1,9.885945115E0,9.885945115E0
1.778396571E1,5.236609896E1,4.879524477E0,2.808270725E0,0.000000000E0,-1.000000000E0,1.429213238E1,1.429213238E1
