"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.612675000E-2,9.432601929E-2,-1.570005989E1,-5.000418854E1
5.612175000E-2,-2.277488708E-1,-1.544821358E1,-5.003530121E1
6.611675000E-2,-5.922889709E-1,-1.520443344E1,-5.007257462E1
7.611075000E-2,-1.641567230E0,-1.455178070E1,-5.004090881E1
8.610575000E-2,-2.556857109E0,-1.396511841E1,-4.987096405E1
9.609975000E-2,-3.582131386E0,-1.335142326E1,-4.978470612E1
1.060947500E-1,-4.800429344E0,-1.249160576E1,-4.998260117E1
1.160897500E-1,-6.112327576E0,-1.158419418E1,-5.004929352E1
1.260880833E-1,-7.592238426E0,-1.053320694E1,-5.014390182E1
1.360830833E-1,-8.991486549E0,-9.525724411E0,-5.006684494E1
1.460770833E-1,-1.026277542E1,-8.707780838E0,-4.980181122E1
1.560720833E-1,-1.139630318E1,-7.645393372E0,-4.966902924E1
1.660670833E-1,-1.222980595E1,-6.484167099E0,-4.949344635E1
1.760610833E-1,-1.278137684E1,-5.132263184E0,-4.942738342E1
1.860560833E-1,-1.332524395E1,-3.531555176E0,-4.950625610E1
1.960510833E-1,-1.394748878E1,-1.756660461E0,-4.961402512E1
2.060450833E-1,-1.472418976E1,-1.371822357E-1,-4.932174683E1
2.160400833E-1,-1.571671295E1,1.457025528E0,-4.902627945E1
2.260340833E-1,-1.677119446E1,2.954648972E0,-4.889435196E1
2.360290833E-1,-1.786387634E1,4.289041519E0,-4.852150726E1
2.460240833E-1,-1.890609360E1,5.320516586E0,-4.813517761E1
2.560180833E-1,-1.983275795E1,6.138936996E0,-4.764827347E1
2.660130833E-1,-2.051155472E1,6.712491989E0,-4.718587494E1
2.760070833E-1,-2.093384933E1,7.227193832E0,-4.703078079E1
2.860020833E-1,-2.100786591E1,7.589338303E0,-4.704270554E1
2.959970833E-1,-2.069056702E1,7.930627823E0,-4.713088226E1
3.059910833E-1,-2.008414268E1,8.197843552E0,-4.719845200E1
3.159860833E-1,-1.934115601E1,8.324522018E0,-4.750624847E1
3.259810833E-1,-1.846268272E1,8.401872635E0,-4.811883163E1
