"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.652916658E-4,-3.756288757E0,1.069316345E1,4.832999725E0
1.086029167E-2,-3.258274384E0,9.668843536E0,5.381309509E0
2.085529167E-2,-2.826572113E0,9.304201813E0,5.870641937E0
3.085129167E-2,-2.763852539E0,9.347611542E0,6.218518524E0
4.084629167E-2,-2.787653046E0,9.335337067E0,6.874753876E0
5.084129167E-2,-2.162103882E0,8.772507477E0,6.676566010E0
6.083729166E-2,-1.106648712E0,8.211773529E0,6.400839386E0
7.083229167E-2,5.373825073E-2,7.779472504E0,7.162305908E0
8.082829167E-2,-7.592211914E-1,8.352031860E0,5.798941040E0
9.082329167E-2,-1.039139099E0,9.290131073E0,3.355122986E0
1.008182917E-1,-5.025050354E-1,8.725205841E0,3.550915833E0
1.108142917E-1,5.096900940E-1,7.398215332E0,3.677253113E0
1.208092917E-1,7.598199463E-1,5.447172546E0,4.361031189E0
1.308042917E-1,2.797083435E0,4.199816437E0,4.840783539E0
1.408002917E-1,4.822371826E0,3.670666809E0,2.059866486E0
1.507952917E-1,5.660778351E0,2.534379730E0,3.093018036E0
1.607912917E-1,5.572911072E0,1.582658844E0,6.402036896E0
1.707862917E-1,4.754562836E0,1.356628876E0,7.387437744E0
1.807812917E-1,3.941304016E0,3.511996765E0,5.982459412E0
1.907772917E-1,3.103047180E0,5.976621552E0,5.120701447E0
2.007722917E-1,2.461780701E0,6.334527283E0,4.991220703E0
2.107682917E-1,2.356549530E0,6.474785614E0,4.739444275E0
2.207632917E-1,2.502795410E0,6.355783081E0,4.988077240E0
2.307582917E-1,2.569257202E0,6.317911835E0,5.068759460E0
2.407542917E-1,2.115550690E0,6.324947205E0,5.978118439E0
2.507492917E-1,1.749412079E0,6.894512787E0,7.389832764E0
2.607452917E-1,1.845811615E0,7.000791779E0,6.827452240E0
2.707402917E-1,2.944826202E0,6.770420837E0,5.495671692E0
2.807352917E-1,4.196223907E0,6.720424805E0,6.317612457E0
2.907312917E-1,4.191284180E0,6.604565735E0,7.316485291E0
3.007262917E-1,3.738475800E0,7.247628479E0,7.940088501E0
3.107212917E-1,3.611390076E0,8.930878143E0,7.627688141E0
3.207172917E-1,3.293900299E0,9.837991791E0,6.780749359E0
3.307122917E-1,3.847299500E0,9.626781006E0,7.313940582E0
3.407082917E-1,3.352428589E0,6.486311646E0,6.658603363E0
3.507032917E-1,1.884131927E0,3.261417847E0,5.422922974E0
3.606982917E-1,7.042854309E-1,2.123035126E0,6.258036346E0
3.706942917E-1,2.704875183E-1,2.505040741E0,9.267677765E0
3.806892917E-1,7.336244202E-1,3.657943268E0,1.076905563E1
3.906852917E-1,2.023192749E0,3.746858368E0,8.625213776E0
4.006802917E-1,4.439767456E0,3.893852692E0,7.857759705E0
4.106752917E-1,3.169658661E0,4.464466095E0,9.887239380E0
4.206712917E-1,1.353335724E0,4.523144073E0,8.477021942E0
4.306662917E-1,-1.022224274E0,2.616858215E0,1.101125198E1
4.406612917E-1,9.029223633E-1,2.782863007E0,1.214484467E1
4.506572917E-1,2.410287781E0,3.751947784E0,9.669891357E0
4.606522917E-1,1.771416321E0,4.374802551E0,8.657546539E0
4.706482917E-1,1.170416107E0,5.106630707E0,7.733817444E0
4.806432917E-1,1.535506897E0,4.390220490E0,7.193141785E0
4.906382917E-1,5.656736755E-1,3.542233887E0,8.539591827E0
5.006342917E-1,1.046324158E0,2.466870117E0,9.349108429E0
5.106292917E-1,8.003855896E-1,2.359243927E0,7.475903778E0
5.206252917E-1,8.234376526E-1,3.481909332E0,5.490282898E0
5.306202917E-1,1.257385254E0,4.277055817E0,4.203708344E0
5.406152917E-1,4.396357727E-1,4.299209747E0,3.065774689E0
5.506112917E-1,-9.993218994E-1,3.035537567E0,3.024011536E0
5.606062917E-1,-2.327360229E0,1.634750519E0,4.015699310E0
5.706012917E-1,-3.592229919E0,1.217268677E0,3.745511169E0
5.805972917E-1,-5.821394348E0,9.050180054E-1,2.519410858E0
5.905922917E-1,-7.960895233E0,-4.580474854E-2,-3.260220337E-1
6.005882917E-1,-7.901917877E0,-8.955876160E-1,-1.803599396E0
6.105832917E-1,-6.202352142E0,-1.196911011E0,-1.858086090E0
6.205782917E-1,-3.453618164E0,-5.926176453E-1,-2.680625610E0
6.305742917E-1,6.503974915E-1,8.235873413E-1,-6.316864014E0
6.405692917E-1,2.794987793E0,1.257085876E0,-7.401508484E0
6.505652917E-1,6.353088684E0,2.281854858E0,-7.534731445E0
6.605602917E-1,9.295070801E0,2.189047852E0,-6.990762634E0
6.705552917E-1,9.905950470E0,3.580254822E0,-4.584516449E0
6.805512917E-1,9.003626862E0,3.304677887E0,-7.054829407E-1
6.905462917E-1,8.035440216E0,2.202070770E0,3.369642792E0
