"Time (s)","X (hPa)"
-5.527325833E-1,1.015569000E3
4.475564167E-1,1.015598297E3
1.447760417E0,1.015627594E3
2.447826417E0,1.015627594E3
3.486259417E0,1.015563507E3
4.524533417E0,1.015545349E3
4.807800417E0,1.015563507E3
5.768975417E0,1.015545349E3
6.730271417E0,1.015633621E3
7.691480417E0,1.015593109E3
8.652521417E0,1.015633621E3
9.613425417E0,1.015632019E3
1.057427842E1,1.015661316E3
1.153503242E1,1.015632019E3
1.249573442E1,1.015591354E3
1.345629842E1,1.015585022E3
1.441691142E1,1.015551300E3
1.537746142E1,1.015548935E3
1.633808442E1,1.015548935E3
1.729863142E1,1.015604935E3
1.825931342E1,1.015607758E3
1.921999242E1,1.015604935E3
2.018073342E1,1.015589447E3
2.114148742E1,1.015580673E3
2.210234042E1,1.015567856E3
