"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.459329167E-2,-2.037567139E0,-3.957663774E0,5.964958072E-1
5.458829167E-2,-2.564906597E0,-4.287264347E0,6.385427713E-1
6.458429167E-2,-3.048426867E0,-4.827842236E0,7.293009162E-1
7.457929167E-2,-3.342533827E0,-4.985912323E0,1.008715987E0
8.457529166E-2,-3.168956757E0,-4.676848412E0,1.358744740E0
9.457029167E-2,-2.810419083E0,-4.263586521E0,1.685418963E0
1.045652917E-1,-2.185811043E0,-3.917464733E0,1.925483704E0
1.145612917E-1,-1.525356054E0,-3.532621861E0,1.922255039E0
1.245562917E-1,-9.628967643E-1,-3.098007679E0,1.873790860E0
1.345512917E-1,-7.058316469E-1,-2.141978264E0,1.625182509E0
1.445472917E-1,-3.395862579E-1,-1.376325607E0,1.405226707E0
1.545422917E-1,-1.647046208E-1,-1.220903993E0,9.797278047E-1
1.645382917E-1,-4.098736346E-1,-1.393108249E0,4.376893342E-1
1.745332917E-1,-8.194515109E-1,-1.548612714E0,1.464757621E-1
1.845282917E-1,-1.172156572E0,-1.648430467E0,1.592229754E-1
1.945242917E-1,-1.431897879E0,-1.677420139E0,1.954048425E-1
2.045192917E-1,-1.681463480E0,-1.589904308E0,1.301661879E-1
2.145152917E-1,-1.790773749E0,-1.542435884E0,1.092737168E-1
2.245102917E-1,-1.739540577E0,-1.392554760E0,1.023487002E-1
2.345052917E-1,-1.593111157E0,-1.202094078E0,3.857624158E-2
2.445012917E-1,-1.218848825E0,-1.043096185E0,-1.224904060E-1
2.544962917E-1,-6.866692305E-1,-5.839069486E-1,-4.370472133E-1
2.644922917E-1,-1.838183403E-1,1.899696141E-1,-7.519564629E-1
2.744872917E-1,-1.374423653E-1,7.409954071E-1,-9.477136731E-1
2.844822917E-1,-4.617645144E-1,9.666836262E-1,-1.011800528E0
2.944782917E-1,-9.571333528E-1,9.607629776E-1,-8.277419806E-1
3.044732917E-1,-1.538031101E0,9.827378392E-1,-2.876795232E-1
3.144682917E-1,-2.202865124E0,1.184120774E0,3.209901154E-1
3.244642917E-1,-2.735671282E0,7.995392680E-1,5.966179371E-1
3.344592917E-1,-2.882363796E0,5.776911378E-1,5.274042487E-1
3.444552917E-1,-2.349937677E0,6.635455489E-1,2.038807869E-1
3.544502917E-1,-1.667342305E0,7.164158821E-1,-2.651555836E-1
3.644452917E-1,-1.855756164E0,7.979221940E-1,-7.621576190E-1
3.744412917E-1,-1.485663772E0,1.343367249E-1,-1.140637279E0
3.844362917E-1,-8.124712706E-1,2.089276016E-1,-1.171846032E0
3.944322917E-1,-3.957462907E-1,1.275947213E0,-8.487164974E-1
4.044272917E-1,1.879124157E-2,1.301658511E0,-7.518101931E-1
4.144222917E-1,5.108321309E-1,1.524919987E0,-7.546701431E-1
4.244182917E-1,1.012245893E0,5.108136535E-1,-1.042352557E0
4.344132917E-1,1.381031513E0,-9.524998665E-1,-1.186156631E0
4.444082917E-1,1.606855631E0,-1.554572105E0,-9.895744324E-1
4.544042917E-1,1.726479530E0,-1.649830699E0,-4.066055715E-1
4.643992917E-1,1.834567189E0,-1.477166176E0,5.164692402E-1
4.743952917E-1,1.866890192E0,-1.247853875E0,1.509290457E0
4.843902917E-1,1.844895363E0,-1.713089466E0,2.221818686E0
4.943852917E-1,2.083172560E0,-2.945565939E0,2.452589750E0
5.043812917E-1,2.325224400E0,-3.648238182E0,2.074552774E0
5.143762917E-1,2.674981594E0,-4.021596432E0,1.653564334E0
5.243722917E-1,2.994548798E0,-4.297991753E0,1.746007204E0
5.343672917E-1,3.116471767E0,-4.432282448E0,2.177308559E0
5.443622917E-1,3.083409071E0,-4.744906425E0,2.494078398E0
5.543582917E-1,3.018464088E0,-5.611366749E0,2.574838638E0
5.643532917E-1,2.983146191E0,-6.629896164E0,2.586460352E0
5.743482917E-1,2.994725466E0,-7.441648960E0,2.630626917E0
5.843442917E-1,3.127815485E0,-7.617108345E0,2.668422937E0
5.943392917E-1,3.478430271E0,-7.542385578E0,2.919713974E0
6.043352917E-1,3.991827965E0,-7.637320042E0,3.347024679E0
6.143302917E-1,4.246854782E0,-7.695897579E0,3.941343546E0
6.243252917E-1,3.905902386E0,-6.641224861E0,4.844318390E0
6.343212917E-1,3.485517502E0,-5.810109138E0,5.201678276E0
6.443162917E-1,2.493838310E0,-4.959722996E0,5.042532444E0
6.543122917E-1,1.343525529E0,-4.273079872E0,4.368666649E0
6.643072917E-1,5.642734170E-1,-3.723005295E0,3.817401886E0
