"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.459329167E-2,-9.313388081E-1,6.268484151E-1,2.757421479E0
5.458829167E-2,-5.346264222E-1,1.513428980E-1,2.287608811E0
6.458429167E-2,2.576306605E-1,-2.925730366E-1,1.704996629E0
7.457929167E-2,1.104867431E0,-5.764693898E-1,2.131453947E0
8.457529166E-2,-5.729357712E-2,1.547132331E-1,4.559676307E-1
9.457029167E-2,-7.059545186E-1,1.249409652E0,-2.254858848E0
1.045652917E-1,-5.490194897E-1,8.255841655E-1,-2.265433538E0
1.145612917E-1,9.422444500E-2,-3.883527678E-1,-2.275296621E0
1.245562917E-1,-3.818524182E-3,-2.253720396E0,-1.667998956E0
1.345512917E-1,1.739213365E0,-3.435071381E0,-1.227618833E0
1.445472917E-1,3.543488699E0,-3.914272923E0,-4.028586574E0
1.545422917E-1,4.213652996E0,-5.020514084E0,-2.995126875E0
1.645382917E-1,3.993835402E0,-5.945352396E0,3.133850312E-1
1.745332917E-1,3.065420932E0,-6.129454320E0,1.276671710E0
1.845282917E-1,2.143524793E0,-3.910183380E0,-1.750831783E-1
1.945242917E-1,1.188067097E0,-1.361453413E0,-1.101967431E0
2.045192917E-1,4.323441486E-1,-9.024551708E-1,-1.313029697E0
2.145152917E-1,2.196797459E-1,-6.488813084E-1,-1.657684468E0
2.245102917E-1,2.626297376E-1,-6.514996916E-1,-1.501587784E0
2.345052917E-1,2.395289965E-1,-5.781533879E-1,-1.507923242E0
2.445012917E-1,-2.863581772E-1,-4.780069560E-1,-6.691927814E-1
2.544962917E-1,-6.910755475E-1,1.489332604E-1,6.982499349E-1
2.644922917E-1,-5.678558564E-1,2.686140704E-1,1.126852012E-1
2.744872917E-1,6.217879423E-1,2.670657277E-2,-1.239453598E0
2.844822917E-1,1.998740570E0,-2.629434407E-2,-4.565260398E-1
2.944782917E-1,2.123512697E0,-1.144750339E-1,4.743430907E-1
3.044732917E-1,1.776523279E0,6.025304300E-1,9.953411150E-1
3.144682917E-1,1.723986777E0,2.417200944E0,5.392594635E-1
3.244642917E-1,1.449438660E0,3.512098507E0,-4.867906433E-1
3.344592917E-1,2.017122170E0,3.521169877E0,-1.431410086E-1
3.444552917E-1,1.544637763E0,5.867049408E-1,-9.678393209E-1
3.544502917E-1,1.319897836E-1,-2.484945615E0,-2.332423918E0
3.644452917E-1,-9.590350221E-1,-3.498416022E0,-1.607633471E0
3.744412917E-1,-1.299402907E0,-2.994065605E0,1.297020605E0
3.844362917E-1,-7.653837182E-1,-1.768775718E0,2.735388878E0
3.944322917E-1,6.419424176E-1,-1.646193520E0,5.478846914E-1
4.044272917E-1,3.208740281E0,-1.493592886E0,-2.475535691E-1
4.144222917E-1,2.093443975E0,-9.526833379E-1,1.779689546E0
4.244182917E-1,4.149369876E-1,-9.651016545E-1,4.002237850E-1
4.344132917E-1,-1.917344697E0,-2.978433074E0,3.003282571E0
4.444082917E-1,-3.760000862E-2,-2.942676181E0,4.234742441E0
4.544042917E-1,1.385218398E0,-2.111771049E0,1.872318798E0
4.643992917E-1,6.216472437E-1,-1.626079683E0,9.826818931E-1
4.743952917E-1,-1.433325049E-1,-1.023035867E0,1.881329942E-1
4.843902917E-1,-2.621014416E-4,-1.850556046E0,-2.183508199E-1
4.943852917E-1,-1.291719081E0,-2.801807985E0,1.291190346E0
5.043812917E-1,-1.195143690E0,-3.987601100E0,2.309809227E0
5.143762917E-1,-1.826915753E0,-4.222806519E0,6.928359979E-1
5.243722917E-1,-2.190112045E0,-3.241785235E0,-9.863323098E-1
5.343672917E-1,-2.165201152E0,-2.576765612E0,-1.923863758E0
5.443622917E-1,-3.415088229E0,-2.653643049E0,-2.681837738E0
5.543582917E-1,-5.316824661E0,-3.982346207E0,-2.299951406E0
5.643532917E-1,-7.137110256E0,-5.417835896E0,-8.178740269E-1
5.743482917E-1,-8.907543075E0,-5.839114335E0,-5.195809516E-1
5.843442917E-1,-1.162157734E1,-6.124817478E0,-1.110381575E0
5.943392917E-1,-1.420424805E1,-7.016510264E0,-3.269817957E0
6.043352917E-1,-1.455631124E1,-7.760599446E0,-4.000591274E0
6.143302917E-1,-1.324143383E1,-7.887381699E0,-3.245539148E0
6.243252917E-1,-1.085158324E1,-7.007272248E0,-3.279310911E0
6.343212917E-1,-7.078010108E0,-5.217667578E0,-6.211684299E0
6.443162917E-1,-5.212370585E0,-4.366431677E0,-6.698390157E0
6.543122917E-1,-1.867097234E0,-2.940089958E0,-6.353232526E0
6.643072917E-1,9.242658699E-1,-2.683145176E0,-5.432734601E0
6.743022917E-1,1.423589435E0,-9.737441316E-1,-2.701236168E0
6.842982917E-1,4.420272839E-1,-9.355603516E-1,1.520612138E0
6.942932917E-1,-5.698152584E-1,-1.709724687E0,5.993291963E0
7.042892917E-1,1.236532913E0,-2.031481470E0,7.661071064E0
7.142842917E-1,4.006518597E0,-1.593424737E-1,5.559972353E0
7.242792917E-1,8.573801547E0,3.339786032E0,2.054593759E0
7.342752917E-1,1.188124517E1,7.629187367E0,-2.293478831E0
7.442702917E-1,1.273190278E1,1.084552552E1,-3.515158355E0
7.542662917E-1,1.020946540E1,1.236629743E1,3.339110970E-2
