"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.380002499E-2,5.236612664E1,4.879448065E0,7.066340923E0,-1.000000000E0,-1.000000000E0,1.077028042E1,1.077028042E1
1.504517078E0,5.236612664E1,4.879448065E0,5.761888146E0,-1.000000000E0,-1.000000000E0,1.077028042E1,1.077028042E1
3.837683678E0,5.236623227E1,4.879865444E0,5.030622893E0,4.526834190E-1,5.379789640E1,2.522991730E1,2.522991730E1
4.847693801E0,5.236620541E1,4.879836534E0,2.417600326E0,5.523720980E-1,2.272806170E2,2.460390848E1,2.460390848E1
5.839704037E0,5.236610912E1,4.879702033E0,2.436120510E0,5.523720980E-1,9.851599234E1,1.863785642E1,1.863785642E1
6.840714216E0,5.236610862E1,4.879713549E0,2.445210870E0,1.872537285E-1,1.506837232E2,1.555809782E1,1.555809782E1
7.837724686E0,5.236607577E1,4.879669616E0,2.503283493E0,2.338417619E-1,1.543774428E2,1.238096791E1,1.238096791E1
8.836734056E0,5.236608465E1,4.879643938E0,2.503290578E0,1.091118231E-1,1.737563241E2,1.058782349E1,1.058782349E1
9.831743717E0,5.236608495E1,4.879600082E0,2.563487319E0,2.187192589E-1,1.749203042E2,8.852379331E0,8.852379331E0
1.078178298E1,5.236608041E1,4.879614989E0,2.573178058E0,2.255664021E-1,1.864163196E2,8.167699555E0,8.167699555E0
1.173179436E1,5.236607806E1,4.879615086E0,2.599263335E0,8.266273886E-2,1.352502662E2,7.488302239E0,7.488302239E0
1.268131399E1,5.236607375E1,4.879615485E0,2.580477351E0,4.398073256E-2,2.933312601E2,7.192165451E0,7.192165451E0
1.363130736E1,5.236607046E1,4.879614680E0,2.563357925E0,2.505399585E-1,1.756260438E2,7.215284803E0,7.215284803E0
1.458132517E1,5.236606801E1,4.879612513E0,2.545562058E0,1.781841516E-1,2.116777996E2,7.026626744E0,7.026626744E0
1.553132367E1,5.236607092E1,4.879612383E0,2.529212578E0,1.747329682E-1,1.293343486E1,6.854072946E0,6.854072946E0
1.648132062E1,5.236607092E1,4.879612383E0,2.529212646E0,1.747329682E-1,-1.000000000E0,6.854072946E0,6.854072946E0
1.743134248E1,5.236607135E1,4.879612927E0,2.533432203E0,1.155761331E-1,-1.000000000E0,8.123816373E0,8.123816373E0
1.838133776E1,5.236607928E1,4.879616071E0,2.525493572E0,2.856727242E-1,9.672878503E0,8.155403936E0,8.155403936E0
1.933135593E1,5.236608088E1,4.879614719E0,2.523284993E0,2.856727242E-1,3.445195658E2,6.772114960E0,6.772114960E0
2.028135633E1,5.236608020E1,4.879621736E0,2.523955219E0,2.687554061E-1,-1.000000000E0,6.671182611E0,6.671182611E0
2.123135638E1,5.236608079E1,4.879619698E0,2.520892523E0,4.640730470E-2,-1.000000000E0,6.702841230E0,6.702841230E0
2.218138158E1,5.236607923E1,4.879620800E0,2.512998963E0,1.133760661E-1,-1.000000000E0,7.678539904E0,7.678539904E0
2.313138270E1,5.236608049E1,4.879617357E0,2.498037889E0,1.320509911E-1,-1.000000000E0,8.070294665E0,8.070294665E0
2.408141243E1,5.236607885E1,4.879621747E0,2.496968633E0,4.086573049E-2,-1.000000000E0,6.664265116E0,6.664265116E0
