"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.459329167E-2,2.872995758E1,-4.210624695E1,-1.111030674E1
5.458829167E-2,2.847771454E1,-4.213558960E1,-1.179348087E1
6.458429167E-2,2.813517761E1,-4.217146683E1,-1.250600910E1
7.457929167E-2,2.712356567E1,-4.215118408E1,-1.457556438E1
8.457529166E-2,2.612029266E1,-4.202597809E1,-1.645291519E1
9.457029167E-2,2.488761520E1,-4.166413879E1,-1.885618973E1
1.045652917E-1,2.339994812E1,-4.113388443E1,-2.150802994E1
1.145612917E-1,2.176946640E1,-4.077482224E1,-2.389668655E1
1.245562917E-1,2.009111786E1,-4.047430801E1,-2.577820969E1
1.345512917E-1,1.838962173E1,-4.027976990E1,-2.702170944E1
1.445472917E-1,1.672935486E1,-4.020192719E1,-2.804932022E1
1.545422917E-1,1.518993282E1,-4.015275574E1,-2.897308350E1
1.645382917E-1,1.396141338E1,-4.020866776E1,-2.967896652E1
1.745332917E-1,1.298045063E1,-4.026461029E1,-3.010190964E1
1.845282917E-1,1.220925426E1,-4.019779968E1,-3.055623627E1
1.945242917E-1,1.153748226E1,-4.012968445E1,-3.101226807E1
2.045192917E-1,1.095898914E1,-3.992065430E1,-3.142689133E1
2.145152917E-1,1.031750202E1,-3.955926895E1,-3.205764008E1
2.245102917E-1,9.748806953E0,-3.911481094E1,-3.276299286E1
2.345052917E-1,9.160965919E0,-3.859677887E1,-3.340733719E1
2.445012917E-1,8.539696693E0,-3.804732895E1,-3.389428711E1
2.544962917E-1,7.977030754E0,-3.744136429E1,-3.460204697E1
2.644922917E-1,7.564709663E0,-3.689670944E1,-3.545362854E1
2.744872917E-1,7.299479485E0,-3.658277893E1,-3.606672668E1
2.844822917E-1,7.209464073E0,-3.632663345E1,-3.635817337E1
2.944782917E-1,7.439398766E0,-3.614048004E1,-3.645375061E1
3.044732917E-1,7.927233696E0,-3.594377899E1,-3.654152679E1
3.144682917E-1,8.493185997E0,-3.564837646E1,-3.683553314E1
3.244642917E-1,9.015887260E0,-3.524724579E1,-3.699908066E1
3.344592917E-1,9.375321388E0,-3.455060196E1,-3.751000595E1
3.444552917E-1,9.604277611E0,-3.378295517E1,-3.809043503E1
3.544502917E-1,9.753275871E0,-3.288493347E1,-3.879872131E1
3.644452917E-1,9.772953987E0,-3.192928123E1,-3.954450226E1
3.744412917E-1,9.975949287E0,-3.106033134E1,-4.021651840E1
3.844362917E-1,1.022396755E1,-3.023290062E1,-4.075144958E1
3.944322917E-1,1.057659245E1,-2.943975067E1,-4.115725327E1
4.044272917E-1,1.096736240E1,-2.878818130E1,-4.148197556E1
4.144222917E-1,1.143535709E1,-2.838100052E1,-4.149299240E1
4.244182917E-1,1.210684109E1,-2.809791374E1,-4.125322723E1
4.344132917E-1,1.275000668E1,-2.788484573E1,-4.135604858E1
4.444082917E-1,1.335775471E1,-2.784232521E1,-4.137895966E1
4.544042917E-1,1.379152012E1,-2.811538124E1,-4.094131088E1
4.643992917E-1,1.383385563E1,-2.848931313E1,-4.063166046E1
4.743952917E-1,1.353945065E1,-2.889026260E1,-4.067859268E1
4.843902917E-1,1.307354450E1,-2.960744095E1,-4.050665283E1
4.943852917E-1,1.243446445E1,-3.038870621E1,-4.019800186E1
5.043812917E-1,1.153370190E1,-3.125041199E1,-3.975325012E1
5.143762917E-1,1.030300808E1,-3.220565033E1,-3.923100662E1
5.243722917E-1,8.694039345E0,-3.326552200E1,-3.864748001E1
5.343672917E-1,6.843241692E0,-3.430945969E1,-3.811962509E1
5.443622917E-1,4.935603142E0,-3.540615845E1,-3.724649048E1
5.543582917E-1,2.925574303E0,-3.653238297E1,-3.631258392E1
5.643532917E-1,7.466764450E-1,-3.759617615E1,-3.536177444E1
5.743482917E-1,-1.629012108E0,-3.863617706E1,-3.410584259E1
5.843442917E-1,-4.278657913E0,-3.957402039E1,-3.270397186E1
5.943392917E-1,-7.129330635E0,-4.036019135E1,-3.110160828E1
6.043352917E-1,-1.017114544E1,-4.105761719E1,-2.916918182E1
6.143302917E-1,-1.321918869E1,-4.155179596E1,-2.694088364E1
6.243252917E-1,-1.623357201E1,-4.187950897E1,-2.429891968E1
6.343212917E-1,-1.918299866E1,-4.216028595E1,-2.114746094E1
6.443162917E-1,-2.213868332E1,-4.217091370E1,-1.774958420E1
6.543122917E-1,-2.499996948E1,-4.164850616E1,-1.439868450E1
6.643072917E-1,-2.773164749E1,-4.079447937E1,-1.124659252E1
6.743022917E-1,-3.008007431E1,-3.963763428E1,-8.513733864E0
6.842982917E-1,-3.205134583E1,-3.832426453E1,-6.486689568E0
6.942932917E-1,-3.381057358E1,-3.693104553E1,-4.842766762E0
7.042892917E-1,-3.520185852E1,-3.569744110E1,-3.101561546E0
7.142842917E-1,-3.643107986E1,-3.439717865E1,-1.240538597E0
7.242792917E-1,-3.753303146E1,-3.311839676E1,6.383314133E-1
7.342752917E-1,-3.845589828E1,-3.181604004E1,2.795290947E0
7.442702917E-1,-3.915840530E1,-3.068263245E1,4.921832085E0
7.542662917E-1,-3.970520020E1,-2.982958031E1,6.429196358E0
7.642612917E-1,-4.017278290E1,-2.905908203E1,7.081853867E0
7.742562917E-1,-4.049905014E1,-2.847061157E1,7.468242645E0
7.842522917E-1,-4.067632294E1,-2.797340965E1,8.232898712E0
7.942472917E-1,-4.058631134E1,-2.754703903E1,9.876658440E0
8.042422917E-1,-3.999003601E1,-2.726261520E1,1.259559441E1
8.142382917E-1,-3.880532837E1,-2.715636063E1,1.638893509E1
8.242332917E-1,-3.704623413E1,-2.707263184E1,2.070129395E1
8.342292917E-1,-3.489347458E1,-2.695323181E1,2.488135529E1
8.442242917E-1,-3.274905777E1,-2.679850769E1,2.844411087E1
8.542192917E-1,-3.096978760E1,-2.695190048E1,3.106740570E1
8.642152917E-1,-2.979584503E1,-2.730039597E1,3.241572189E1
8.742102917E-1,-2.919608688E1,-2.782353592E1,3.261209106E1
8.842062917E-1,-2.865629959E1,-2.844197845E1,3.254642105E1
8.942012917E-1,-2.796800613E1,-2.905505943E1,3.267393875E1
9.041962917E-1,-2.700292587E1,-2.954756355E1,3.292972946E1
9.141922917E-1,-2.590706635E1,-2.997985649E1,3.335409164E1
9.241872917E-1,-2.459637451E1,-3.036167717E1,3.412352753E1
9.341832917E-1,-2.311597443E1,-3.080379868E1,3.494815826E1
9.441782917E-1,-2.160022354E1,-3.136718750E1,3.567850876E1
9.541732917E-1,-2.113940239E1,-3.157963562E1,3.579652405E1
9.641692917E-1,-1.990861893E1,-3.259949875E1,3.577856445E1
9.741642917E-1,-1.888158989E1,-3.385269165E1,3.513089371E1
9.841602917E-1,-1.798352051E1,-3.537129211E1,3.402001572E1
9.941552917E-1,-1.736908531E1,-3.686073685E1,3.260741425E1
1.004150292E0,-1.673369408E1,-3.827631378E1,3.121625137E1
1.014146292E0,-1.567518806E1,-3.965727997E1,2.996275330E1
1.024141292E0,-1.413396835E1,-4.085826492E1,2.913134384E1
1.034137292E0,-1.211649132E1,-4.167469788E1,2.891403580E1
1.044132292E0,-9.957562447E0,-4.222612000E1,2.914050865E1
1.054127292E0,-8.184170723E0,-4.274504471E1,2.913459015E1
1.064123292E0,-7.161067963E0,-4.339755630E1,2.849505234E1
1.074118292E0,-6.846086502E0,-4.411871719E1,2.746829987E1
1.084113292E0,-6.850687981E0,-4.474152756E1,2.630213928E1
1.094109292E0,-7.078766823E0,-4.518772125E1,2.529305649E1
1.104104292E0,-7.344894409E0,-4.559494781E1,2.433151627E1
1.114100292E0,-7.836241722E0,-4.591809082E1,2.332587814E1
1.124095292E0,-8.673746109E0,-4.633491516E1,2.221862984E1
1.134090292E0,-9.855806351E0,-4.674979019E1,2.076465225E1
1.144086292E0,-1.146004868E1,-4.704675674E1,1.893530655E1
1.154081292E0,-1.338438416E1,-4.716539001E1,1.695626831E1
1.164077292E0,-1.547515297E1,-4.707062912E1,1.504341793E1
1.174072292E0,-1.756926727E1,-4.679553986E1,1.319425678E1
1.184067292E0,-1.929314423E1,-4.639858246E1,1.146074677E1
1.194063292E0,-2.064133644E1,-4.605876160E1,1.036119747E1
1.204058292E0,-2.173130989E1,-4.553139877E1,9.970751762E0
1.214054292E0,-2.274863243E1,-4.474574280E1,1.024991798E1
1.224049292E0,-2.365457535E1,-4.390206909E1,1.132326126E1
1.234044292E0,-2.447741699E1,-4.304911423E1,1.275149822E1
1.244040292E0,-2.518514061E1,-4.218920898E1,1.438930130E1
1.254035292E0,-2.585557175E1,-4.121388626E1,1.592594433E1
1.264031292E0,-2.641413116E1,-4.049369049E1,1.750789642E1
1.274026292E0,-2.706666946E1,-3.976020813E1,1.877709579E1
1.284021292E0,-2.797729683E1,-3.878773499E1,1.919685364E1
1.294017292E0,-2.891896057E1,-3.780555725E1,1.921467018E1
1.304012292E0,-2.971933937E1,-3.690844727E1,1.929724503E1
1.314008292E0,-3.021342087E1,-3.628736115E1,1.948372269E1
1.324003292E0,-3.060290146E1,-3.582978821E1,1.936808777E1
1.333998292E0,-3.094410324E1,-3.549352264E1,1.892004395E1
1.343994292E0,-3.132515717E1,-3.538909531E1,1.822052765E1
1.353989292E0,-3.176334763E1,-3.542187881E1,1.717806816E1
1.363985292E0,-3.224712372E1,-3.557109833E1,1.602945900E1
1.373980292E0,-3.265352631E1,-3.572122955E1,1.474333191E1
1.383975292E0,-3.307235336E1,-3.581624985E1,1.336819172E1
1.393971292E0,-3.360010910E1,-3.572652435E1,1.196501064E1
1.403966292E0,-3.427127838E1,-3.542321777E1,1.088387108E1
1.413962292E0,-3.508557129E1,-3.482191086E1,1.029554081E1
1.423957292E0,-3.589087296E1,-3.392274094E1,1.028033066E1
1.433952292E0,-3.651245499E1,-3.311935806E1,1.061862183E1
1.443948292E0,-3.691411209E1,-3.247496414E1,1.115465355E1
1.453943292E0,-3.706307602E1,-3.213892365E1,1.153420067E1
1.463938292E0,-3.720858765E1,-3.203227997E1,1.147858143E1
1.473934292E0,-3.736877441E1,-3.199021530E1,1.094503975E1
1.483929292E0,-3.763718414E1,-3.197365761E1,1.007968616E1
1.493925292E0,-3.784487534E1,-3.199734879E1,8.998619080E0
1.503920292E0,-3.805092621E1,-3.200284958E1,7.973855019E0
1.513916292E0,-3.833873749E1,-3.184411240E1,7.362457275E0
1.523911292E0,-3.856922913E1,-3.150018501E1,7.303218365E0
1.533906292E0,-3.890988159E1,-3.094281387E1,7.707573891E0
