"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.341666666E-3,-3.971990204E0,6.292913818E0,7.904462585E0
8.653333334E-3,-4.740342407E0,6.110143890E0,8.746611328E0
1.864933333E-2,-4.580923920E0,5.604196014E0,9.228908386E0
2.864433334E-2,-4.129013672E0,4.706961823E0,9.116641846E0
3.863933334E-2,-3.588188324E0,4.361330566E0,8.407566376E0
4.863533333E-2,-2.998414764E0,4.095782776E0,7.975265350E0
5.863033333E-2,-2.717449036E0,3.983665924E0,8.030201111E0
6.862533333E-2,-3.151097260E0,4.749623108E0,8.072862396E0
7.862133333E-2,-3.999383240E0,5.770649872E0,8.462951202E0
8.861633333E-2,-4.605472870E0,6.321803741E0,9.282646637E0
9.861133333E-2,-4.524491272E0,5.734724579E0,9.879754944E0
1.086073333E-1,-3.872746582E0,4.747527466E0,9.794432373E0
1.186023333E-1,-3.178190918E0,3.909120941E0,9.616901550E0
1.285973333E-1,-2.621947632E0,3.172502747E0,9.829908600E0
1.385933333E-1,-2.664459229E0,3.133433990E0,1.006716522E1
1.485883333E-1,-3.478466492E0,3.311862946E0,1.074690170E1
1.585833333E-1,-4.150718536E0,3.638483734E0,1.062131287E1
1.685793333E-1,-4.264032898E0,3.475921783E0,9.959838409E0
1.785743333E-1,-4.257296906E0,2.921624451E0,9.966873779E0
1.885693333E-1,-4.105362854E0,2.742297363E0,9.948611755E0
1.985653333E-1,-2.092947693E0,2.265838165E0,1.070753357E1
2.085603333E-1,-1.677411804E0,2.253114624E0,1.098460739E1
2.185553333E-1,-1.005608826E0,2.056872711E0,9.664203186E0
2.285513333E-1,1.166075134E-1,1.704505463E0,8.680299225E0
2.385463333E-1,3.399430847E-1,1.340163116E0,8.355474701E0
2.485423333E-1,-2.411485291E-1,1.048868866E0,8.294252014E0
2.585373333E-1,-1.154100037E0,6.694079590E-1,8.955127716E0
2.685323333E-1,-1.821412354E0,2.148033142E-1,1.072908875E1
2.785283333E-1,-1.889969788E0,1.466949463E-2,1.255139923E1
2.885233333E-1,-1.198557587E0,2.841091919E-1,1.226459564E1
2.985183333E-1,-2.312690735E-1,1.622625732E-1,1.023556503E1
3.085143333E-1,6.101312256E-1,-5.086422729E-1,8.896749115E0
3.185093333E-1,1.022074585E0,-1.472188568E0,8.147407379E0
3.285043333E-1,7.095245361E-1,-2.112407227E0,7.177424469E0
3.385003333E-1,-2.234852600E-1,-1.968406677E0,5.752986603E0
3.484953333E-1,-9.737251282E-1,-1.336271210E0,4.864134979E0
3.584903333E-1,-1.141526184E0,-1.287921753E0,4.980293427E0
3.684863333E-1,-1.211879883E0,-1.987716522E0,6.916966095E0
3.784813333E-1,-1.199006653E0,-3.741619263E0,1.294223648E1
3.884763333E-1,-2.161505127E-1,-3.694018250E0,1.362870895E1
3.984723333E-1,1.425485687E0,-2.137255554E0,5.904022522E0
4.084673333E-1,3.026705933E-1,-3.143163757E0,3.529510345E0
4.184623333E-1,-1.030307465E0,-4.979994049E0,5.953719177E0
4.284583333E-1,9.205856323E-2,-1.509461060E0,9.164841614E0
4.384533333E-1,3.993395691E0,-1.174607391E0,9.775870972E0
4.484483333E-1,5.825435944E0,-2.373015289E0,8.355624390E0
4.584443333E-1,4.764591980E0,-2.548899536E0,7.551496582E0
4.684393333E-1,4.477039948E0,-3.102448425E0,6.333329773E0
4.784343333E-1,4.638404388E0,-3.999233551E0,4.770729218E0
4.884344583E-1,3.386258240E0,-4.377796326E0,3.909570007E0
4.984294583E-1,1.882784729E0,-5.404810638E0,3.815715179E0
5.084244583E-1,4.578977966E-1,-6.410269775E0,3.342249756E0
5.184204583E-1,-9.014254761E-1,-7.067852325E0,2.064057770E0
5.284154583E-1,-1.802252197E0,-7.441325684E0,1.038839722E-1
5.384104583E-1,-1.313368835E0,-7.905660095E0,-2.668201447E0
5.484064583E-1,1.050665131E0,-8.546926575E0,-5.643713837E0
5.584014583E-1,2.746937714E0,-8.878636780E0,-6.229745178E0
5.683964583E-1,3.372786255E0,-8.836873627E0,-6.903943176E0
5.783924583E-1,2.981649628E0,-8.361013184E0,-6.742279358E0
5.883874583E-1,3.067720642E0,-8.566386108E0,-5.504503326E0
5.983824583E-1,3.870800629E0,-8.724008331E0,-3.794309692E0
6.083784583E-1,5.430407410E0,-9.096433868E0,-1.405427399E0
6.183734583E-1,8.647068329E0,-9.141639862E0,1.008602600E0
6.283684583E-1,1.250589386E1,-8.531059570E0,2.394121399E0
6.383644583E-1,1.606953323E1,-7.095095673E0,2.820584564E0
6.483594583E-1,1.877904877E1,-5.608087921E0,2.618504791E0
6.583544583E-1,2.137075928E1,-3.686384125E0,8.713380432E-1
6.683504583E-1,2.359857651E1,-1.788630524E0,-7.653584290E-1
6.783454583E-1,2.590842316E1,-1.986369324E-1,-5.399272156E-1
6.883404583E-1,2.645104477E1,1.564845886E0,1.257984009E0
6.983364583E-1,2.579391129E1,2.874921570E0,4.244573364E0
7.083314583E-1,2.539214676E1,2.936443634E0,6.042484589E0
7.183264583E-1,2.462618958E1,3.216960297E0,6.052064667E0
7.283224583E-1,2.345861755E1,3.677552490E0,4.634362793E0
7.383174583E-1,2.190574677E1,4.431534576E0,2.423310699E0
7.483124583E-1,1.986489075E1,4.991520081E0,-1.483415222E-1
7.583084583E-1,1.805141190E1,5.193450165E0,-2.277962952E0
7.683034583E-1,1.671169785E1,4.787344666E0,-5.210814056E0
7.782984583E-1,1.542437485E1,5.173242188E0,-7.420518951E0
7.882944583E-1,1.325837906E1,4.492757263E0,-8.864416351E0
7.982894583E-1,1.111214218E1,2.898572388E0,-1.037402710E1
8.082844583E-1,1.011746063E1,1.596280518E0,-9.256301422E0
8.182804583E-1,8.540489960E0,8.876541138E-2,-7.527696075E0
8.282754583E-1,6.966812439E0,-1.006806335E0,-5.948330383E0
8.382704583E-1,6.242917786E0,-2.101030884E0,-5.240901489E0
8.482664583E-1,6.265969849E0,-3.308120728E0,-3.123255157E0
8.582614583E-1,6.820267181E0,-5.366340637E0,-5.125341797E-1
8.682564583E-1,7.388934631E0,-5.845045166E0,1.852098541E0
8.782524583E-1,6.321803741E0,-7.040309601E0,2.516866150E0
8.882474583E-1,4.369862823E0,-7.757617950E0,1.307980042E0
8.982434583E-1,3.637435913E-1,2.229014740E0,-2.656675415E0
9.082384583E-1,4.722978516E0,-4.649331665E-1,-1.018212616E1
9.182334583E-1,9.596843262E0,-5.975873108E0,-4.555925903E0
9.282294583E-1,7.198829956E0,-4.034709778E0,-1.931882629E0
9.382244583E-1,8.393795013E0,-5.851781158E0,-4.192032623E0
9.482194583E-1,9.476194153E0,-6.501430206E0,-4.591252441E0
9.582154583E-1,9.895621948E0,-7.318281555E0,-4.363875275E0
9.682104583E-1,9.856253815E0,-4.095633087E0,-3.161575470E0
9.782054583E-1,1.001477417E1,-4.314927063E0,-1.328786774E0
9.882014583E-1,1.037522461E1,-8.089477844E0,9.095086670E-1
9.981964583E-1,1.084479813E1,-1.168949158E1,3.446283417E0
1.008191458E0,1.076441528E1,-1.390638153E1,5.265899506E0
1.018187458E0,1.014485367E1,-1.645722702E1,5.937852173E0
1.028182458E0,7.962092743E0,-1.445873291E1,8.765472107E0
1.038177458E0,6.150110779E0,-1.208077789E1,1.044872177E1
1.048173458E0,5.625152435E0,-1.300271072E1,5.465284882E0
1.058168458E0,7.190297699E0,-1.288984543E1,-4.089495850E0
1.068163458E0,8.509803772E0,-1.152962402E1,-1.777059586E1
1.078159458E0,8.598120117E0,-7.871082001E0,-1.888727371E1
1.088154458E0,8.306526489E0,-1.031430130E1,-8.417146454E0
1.098149458E0,7.193590851E0,-1.229378494E1,-4.431534576E0
1.108145458E0,6.005960541E0,-1.281110916E1,-1.563498688E0
1.118140458E0,4.508624268E0,-1.284284317E1,-6.475534058E-1
1.128136458E0,3.480562134E0,-1.290107208E1,-9.135502625E-1
1.138131458E0,2.590363312E0,-1.258328293E1,-6.092330933E-1
1.148126458E0,1.862427063E0,-1.214020432E1,5.677693176E-1
1.158122458E0,1.852846985E0,-1.159279266E1,1.709744568E0
1.168117458E0,2.242935791E0,-1.117815491E1,3.287912750E0
1.178112458E0,2.793041840E0,-1.117920273E1,4.383634186E0
1.188108458E0,3.187770996E0,-1.041444305E1,4.626129913E0
1.198103458E0,2.849474487E0,-9.857002258E0,3.505709839E0
1.208098458E0,2.871329041E0,-9.234596558E0,9.616003418E-1
1.218094458E0,3.718267822E0,-9.076674957E0,-2.978805542E-2
1.228089458E0,5.037923584E0,-9.135053558E0,1.142124939E0
1.238085458E0,7.781867523E0,-8.017926636E0,9.020242310E-1
1.248080458E0,1.134820129E1,-7.132218475E0,1.111438751E0
1.258075458E0,1.550760178E1,-5.560486908E0,2.386786652E0
1.268071458E0,1.897678757E1,-4.510121155E0,2.015858002E0
1.278066458E0,1.910102921E1,-2.325264587E0,1.469045105E0
1.288061458E0,1.729967514E1,-7.955955505E-1,-2.308050385E0
1.298057458E0,1.509461060E1,2.845582581E-1,-1.134490814E0
1.308052458E0,1.447519867E1,1.029708710E0,-7.550299072E-1
1.318047458E0,1.490645187E1,1.457968140E0,-6.081852722E-1
1.328043458E0,1.487337067E1,2.414329376E0,-1.187929688E0
1.338038458E0,1.165685944E1,3.575315094E0,-5.918392639E0
1.348034458E0,4.726571045E0,2.775528259E0,-1.333397186E1
1.358029458E0,-3.227288818E-1,6.182144165E-1,-1.480765732E1
1.368024458E0,2.880310364E0,1.139131165E-1,-1.043495041E1
1.378020458E0,1.217807556E1,3.426374817E0,-1.062670166E1
1.388015458E0,2.121283768E1,3.975283356E0,-1.687590637E0
1.398010458E0,1.315644104E1,-2.665357361E0,-5.514532471E0
1.408006458E0,1.278940430E0,-2.526446228E0,-7.875872040E0
1.418001458E0,4.192481689E0,6.315367126E-1,-3.839216309E0
1.427996458E0,8.378676453E0,-8.761280823E-1,8.487350464E-1
1.437992458E0,8.081095276E0,-3.484154663E0,5.588478699E0
1.447987458E0,8.528664551E0,-6.416407013E0,1.456800568E1
1.457983458E0,9.942624207E0,-1.150282974E1,2.149709656E1
1.467978458E0,8.093818817E0,-1.347467926E1,1.689087524E1
1.477973458E0,1.811083832E0,-1.554876617E1,-1.315015411E0
1.487965375E0,-2.690355377E0,-1.619317612E1,-2.193014603E1
1.497960375E0,4.529580688E-1,-1.117501144E1,-8.153095551E0
1.507955375E0,2.485581207E0,-1.801698349E1,-3.538791046E0
1.517951375E0,3.286116486E0,-1.898546951E1,-3.817810822E0
1.527946375E0,4.336033173E0,-1.306752594E1,-4.735402679E0
1.537941375E0,5.867947540E0,-1.268971161E1,-4.651277618E0
1.547937375E0,6.801705780E0,-1.088850723E1,-3.501069489E0
1.557932375E0,8.274792480E0,-1.061218185E1,-3.872147827E0
1.567928375E0,8.925489349E0,-6.135291595E0,-3.325035553E0
1.577923375E0,8.499026184E0,-1.506167908E0,-3.068020020E0
1.587918375E0,6.633455658E0,1.787133636E0,-2.897823944E0
1.597914375E0,1.149953659E1,-4.085454254E0,-1.846260681E0
1.607909375E0,1.649809204E1,-5.800437927E0,4.155358887E-1
1.617904375E0,2.153047714E1,-4.851411438E0,4.148473206E0
1.627900375E0,2.511297729E1,-5.541177063E0,2.087708588E0
1.637895375E0,1.968870712E1,-4.361480255E0,1.416504364E0
1.647890375E0,1.359951965E1,-7.629334717E0,2.359842682E0
1.657886375E0,1.290586212E1,-8.057145081E0,5.927673340E-2
1.667881375E0,1.184950882E1,-5.196743317E0,-2.339934082E0
1.677877375E0,8.420439606E0,-4.382137299E0,-3.028053131E0
1.687872375E0,7.162904663E0,-5.470224609E0,-4.379143524E0
1.697867375E0,5.312303009E0,-2.419718170E0,-6.302044830E0
1.707863375E0,6.754254456E0,-7.006330261E0,-7.931855621E0
1.717858375E0,7.951315155E0,-5.492079163E0,-3.288062439E0
1.727853375E0,8.423433380E0,-2.524649963E0,-7.125183105E-2
1.737849375E0,6.599775696E0,-5.655688934E0,-1.140328674E0
1.747844375E0,4.016896820E0,-4.184847565E0,-9.068142700E-1
1.757839375E0,2.788102112E0,-1.841470642E0,-1.262175293E0
1.767835375E0,2.679128723E0,-1.854044495E0,-1.620081024E0
1.777830375E0,3.427572327E0,-7.137158203E-1,-1.484313354E0
1.787826375E0,4.413571930E0,6.959028625E-1,-2.544558563E0
1.797821375E0,4.716990967E0,2.346969452E0,-2.672542419E0
1.807816375E0,5.360652466E0,3.622766418E0,-2.053280182E0
1.817812375E0,4.734205170E0,5.189408569E0,-2.602937164E0
1.827807375E0,4.075874176E0,5.933810577E0,-2.991379395E0
1.837802375E0,3.786226501E0,6.143973541E0,-3.329825592E0
1.847798375E0,3.379372559E0,6.021079102E0,-3.681145020E0
1.857793375E0,2.388133850E0,4.992418213E0,-4.144880676E0
1.867788375E0,2.218087463E0,3.417842560E0,-4.219275970E0
1.877784375E0,9.473799133E-1,3.773502960E0,-4.856800232E0
1.887779375E0,2.454745331E0,3.284619598E0,-2.044448547E0
1.897774375E0,2.456242218E0,3.459306335E-1,-6.337820435E-1
1.907770375E0,2.754272461E0,-4.200714569E0,1.252744904E0
1.917765375E0,4.618196411E0,-4.831353149E0,2.900817719E0
1.927761375E0,6.989116058E0,-5.672903137E0,3.098406830E0
1.937756375E0,9.689799957E0,-8.949289856E0,-5.149441681E0
1.947751375E0,1.063029419E1,-1.055844360E1,-6.460864563E0
1.957747375E0,1.249047592E1,-8.499475250E0,1.052311707E0
1.967742375E0,1.167976181E1,-9.725276184E0,1.998194733E0
1.977737375E0,1.097353043E1,-8.566685486E0,9.148974609E-1
1.987733375E0,1.215622101E1,-7.773185577E0,9.767189026E-1
1.997728375E0,1.290571243E1,-8.538394318E0,7.664062500E-1
2.007723375E0,1.313323929E1,-9.853409729E0,-6.869215393E-1
2.017719375E0,1.169383255E1,-1.025532394E1,-1.918111267E0
2.027714375E0,7.848928070E0,-1.107052872E1,-1.359922028E0
2.037709375E0,3.461851044E0,-1.302321808E1,3.891906738E-2
2.047705375E0,3.612288208E0,-1.108145599E1,1.269659729E0
2.057700375E0,4.127367096E0,-8.334518280E0,4.149371338E-1
2.067695375E0,3.104544067E0,-6.633156281E0,4.486170959E-1
2.077691375E0,1.708996124E0,-6.527925110E0,-3.218307495E-1
2.087686375E0,6.893165588E-1,-7.115603027E0,-1.002465363E0
2.097682375E0,1.679507446E-1,-8.372090149E0,-1.653162231E0
2.107677375E0,3.326083374E-1,-9.538614349E0,-2.655777283E0
2.117672375E0,7.355703735E-1,-1.030951126E1,-3.369493103E0
2.127668375E0,8.647517395E-1,-1.045695465E1,-2.570454712E0
2.137663375E0,9.119036865E-1,-1.020592667E1,-1.599723358E0
2.147658375E0,9.777667236E-1,-9.539063416E0,-9.472302246E-1
2.157654375E0,7.929011536E-1,-8.656648407E0,-7.812254333E-1
2.167649375E0,8.671467590E-1,-8.061935120E0,-8.866062927E-1
2.177644375E0,1.396296387E0,-6.905889130E0,-1.061891785E0
2.187640375E0,1.376836853E0,-5.858816528E0,2.359094238E-1
2.197635375E0,1.159788208E0,-5.558840332E0,1.527872772E0
2.207630375E0,9.027726746E-1,-5.279820557E0,1.977388000E0
2.217626375E0,6.614744568E-1,-5.112917633E0,1.793121185E0
2.227621375E0,8.827143860E-1,-6.431525574E0,1.257385254E-2
2.237616375E0,1.934726715E0,-9.368867340E0,-1.326691132E0
2.247612375E0,3.474574585E0,-1.362811020E1,-7.388635254E-1
2.257607375E0,5.163213043E0,-1.817759949E1,-1.066532135E0
2.267602375E0,6.910080414E0,-2.240031830E1,-2.526895294E0
2.277598375E0,8.202193451E0,-2.322300751E1,-3.824846191E0
2.287593375E0,8.464597778E0,-1.831201996E1,-1.629810791E0
2.297588375E0,8.033793640E0,-1.398002838E1,1.579365692E0
2.307584375E0,8.050259399E0,-1.035262161E1,2.629432068E0
2.317579375E0,7.631879425E0,-7.096293182E0,2.940634918E0
2.327574375E0,6.753056946E0,-5.300327911E0,1.988764343E0
2.337570375E0,6.314319305E0,-4.945116577E0,-3.083587646E-2
2.347565375E0,6.093378754E0,-5.539231110E0,-8.533753967E-1
2.357560375E0,5.941444702E0,-6.006858673E0,-8.574169922E-1
2.367556375E0,5.827531586E0,-6.186185760E0,-1.375190277E0
2.377551375E0,5.784121857E0,-6.435567169E0,-1.372346191E0
2.387546375E0,5.816304932E0,-6.919211426E0,-5.528004456E-1
2.397542375E0,5.822442169E0,-7.346872101E0,-5.888754272E-1
2.407537375E0,5.752687225E0,-7.723339233E0,-1.065184937E0
2.417533375E0,5.654042358E0,-7.896828461E0,-6.256988525E-1
2.427528375E0,5.633984070E0,-7.780670013E0,3.849993896E-1
2.437523375E0,5.427713013E0,-7.593858490E0,5.423222351E-1
2.447518375E0,4.925956421E0,-7.517367554E0,-9.032217407E-1
2.457514375E0,4.509073334E0,-7.574997711E0,-1.990261230E0
2.467509375E0,4.356989594E0,-7.511978760E0,-1.991458740E0
2.477505375E0,4.527185669E0,-7.326364746E0,-1.674717407E0
2.487500833E0,4.931494904E0,-7.049290924E0,-1.302441559E0
2.497495833E0,5.366939392E0,-6.720424805E0,-5.878276062E-1
2.507491833E0,5.672304382E0,-6.451883240E0,2.559677124E-1
2.517486833E0,5.740412750E0,-6.224655762E0,3.234773254E-1
2.527481833E0,5.617817688E0,-6.018833771E0,-5.131329346E-1
2.537477833E0,5.607339478E0,-5.993237000E0,-1.390009460E0
2.547472833E0,5.564229126E0,-6.046975250E0,-1.569635925E0
2.557467833E0,5.366041260E0,-6.099665680E0,-1.957180023E0
2.567463833E0,5.181325378E0,-6.138884125E0,-2.058369598E0
2.577458833E0,5.045108643E0,-6.115532684E0,-1.707499237E0
2.587453833E0,5.044360199E0,-6.173162842E0,-2.038610687E0
2.597449833E0,5.128934326E0,-6.361920319E0,-2.274969177E0
2.607444833E0,5.136418762E0,-6.445596313E0,-2.566413116E0
2.617439833E0,5.135969696E0,-6.326743469E0,-2.314337311E0
2.627435833E0,5.157524872E0,-6.003116455E0,-1.938169556E0
2.637430833E0,5.059179382E0,-5.634732513E0,-2.730621643E0
2.647425833E0,4.853357391E0,-5.429658966E0,-3.876189423E0
2.657421833E0,4.657714233E0,-5.269042969E0,-4.343966675E0
2.667416833E0,4.499642944E0,-5.160818024E0,-4.600982208E0
2.677411833E0,4.327201538E0,-5.153483276E0,-4.472549286E0
2.687407833E0,4.042343903E0,-5.163512421E0,-3.906127167E0
2.697402833E0,3.805087280E0,-5.101541290E0,-3.174897766E0
2.707397833E0,3.747457123E0,-5.186265106E0,-9.226812744E-1
2.717393833E0,3.709136810E0,-5.410349121E0,1.740730133E0
2.727388833E0,3.944297791E0,-6.092480621E0,3.067570953E0
2.737383833E0,4.889132996E0,-7.058421936E0,2.899919586E0
2.747379833E0,5.749843140E0,-7.941286011E0,1.442699890E0
2.757374833E0,5.744454346E0,-8.927734680E0,-1.601519623E0
2.767369833E0,5.212909698E0,-9.282047882E0,-2.544259186E0
2.777365833E0,5.271737366E0,-9.347312164E0,-1.586700439E-1
2.787360833E0,5.715414734E0,-9.196425934E0,9.021739197E-1
2.797355833E0,4.847968597E0,-9.295070801E0,-1.609004059E0
2.807351833E0,2.772833862E0,-9.867630157E0,-4.219575348E0
2.817346833E0,1.805395660E0,-1.170311325E1,-3.563339996E0
2.827341833E0,1.815275116E0,-1.353081253E1,-3.427722015E0
2.837337833E0,1.395547943E0,-1.399065628E1,-3.056344299E0
2.847332833E0,1.004561005E0,-1.402553375E1,-2.991978149E0
2.857327833E0,9.758207703E-1,-1.434601730E1,-3.471431122E0
2.867323833E0,1.821112976E0,-1.514340912E1,-3.753444672E0
2.877318833E0,3.837569733E0,-1.517110153E1,-2.899470520E0
2.887313833E0,5.862858124E0,-1.376312943E1,-3.226390686E0
2.897309833E0,7.477700043E0,-1.247296234E1,-3.381468201E0
2.907304833E0,8.505163422E0,-1.122994720E1,-2.228715363E0
2.917299833E0,8.681347046E0,-1.051278854E1,-2.618953857E0
2.927295833E0,8.147706757E0,-1.047491730E1,-3.418740692E0
2.937290833E0,7.030729523E0,-1.082908081E1,-2.922821960E0
2.947285833E0,6.002667389E0,-1.115450409E1,-2.655178528E0
2.957281833E0,5.397625580E0,-1.115121094E1,-2.563868408E0
2.967276833E0,5.093907166E0,-1.076576248E1,-3.070115662E0
2.977271833E0,5.072351990E0,-1.033271301E1,-3.551813965E0
2.987267833E0,5.281916199E0,-9.989177399E0,-2.911445618E0
2.997262833E0,5.509143677E0,-9.722282410E0,-2.499053192E0
3.007257833E0,5.711073761E0,-9.659113770E0,-3.064726868E0
3.017253833E0,5.950426025E0,-9.897418213E0,-3.127147064E0
3.027248833E0,6.160888367E0,-1.021131546E1,-2.811752930E0
3.037244833E0,6.258934479E0,-1.044812302E1,-3.266656952E0
3.047239833E0,6.175557861E0,-1.066517166E1,-3.485501862E0
3.057234833E0,6.009104004E0,-1.073836945E1,-3.119363251E0
3.067230833E0,5.814508667E0,-1.066382446E1,-3.315605164E0
3.077225833E0,5.704487457E0,-1.072834030E1,-3.408112793E0
3.087220833E0,5.621410217E0,-1.060230240E1,-2.526595917E0
3.097216833E0,5.578000488E0,-1.018122803E1,-1.817520447E0
3.107211833E0,5.598358154E0,-9.567803650E0,-1.255738678E0
3.117206833E0,5.675447845E0,-8.826844482E0,-1.165476379E0
