"Time (s)","X (hPa)"
-5.269102917E-1,1.015535736E3
5.113817083E-1,1.015535583E3
1.549699708E0,1.015535736E3
2.587926708E0,1.015564041E3
3.625985708E0,1.015569077E3
4.663883708E0,1.015564041E3
4.793814708E0,1.015592346E3
5.754329708E0,1.015590057E3
6.714985708E0,1.015592346E3
7.675799708E0,1.015591278E3
8.636472708E0,1.015603180E3
9.596927708E0,1.015596466E3
1.055734971E1,1.015598602E3
1.151765771E1,1.015596466E3
1.247780871E1,1.015596085E3
1.343776371E1,1.015591431E3
1.439765771E1,1.015585022E3
1.535753171E1,1.015585022E3
1.631715471E1,1.015579300E3
