"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.238233334E-2,-5.559015870E-1,-1.154661655E0,-7.184530497E-1
6.237733334E-2,-7.370290160E-1,-8.535790443E-1,-9.967679977E-1
7.237233334E-2,-8.715072870E-1,-4.607282877E-1,-1.248199105E0
8.236833333E-2,-9.747875929E-1,-1.429827809E-1,-1.427882075E0
9.236333333E-2,-1.048825979E0,7.156640291E-2,-1.524171710E0
1.023583333E-1,-1.028908253E0,1.426376551E-1,-1.536375165E0
1.123543333E-1,-1.010718703E0,1.510192156E-1,-1.424731970E0
1.223493333E-1,-1.202894807E0,2.005771846E-1,-1.207822323E0
1.323443333E-1,-1.237020016E0,7.412905246E-2,-8.813492656E-1
1.423403333E-1,-1.418937683E0,-1.412826031E-1,-5.272852182E-1
1.523353333E-1,-1.699142218E0,-3.370922506E-1,-1.568731517E-1
1.623303333E-1,-2.065139771E0,-4.242109060E-1,1.779128164E-1
1.723263333E-1,-2.475796938E0,-5.852308869E-1,3.632463813E-1
1.823213333E-1,-2.900543213E0,-7.682398558E-1,4.423281550E-1
1.923163333E-1,-3.329081297E0,-1.286498308E0,5.552504063E-1
2.023123333E-1,-3.643996716E0,-1.679755926E0,6.162195206E-1
2.123073333E-1,-3.746451139E0,-1.588263035E0,6.238525510E-1
2.223023333E-1,-3.642377377E0,-1.387747526E0,6.775234938E-1
2.322983333E-1,-3.426792622E0,-1.248487115E0,7.417386770E-1
2.422933333E-1,-3.268723249E0,-1.205421329E0,8.486110568E-1
2.522893333E-1,-3.228552818E0,-1.350225568E0,9.903506637E-1
2.622843333E-1,-3.195225716E0,-1.774238586E0,1.112741828E0
2.722793333E-1,-2.971131086E0,-2.331400871E0,1.213513851E0
2.822753333E-1,-2.467523813E0,-2.565922976E0,1.302960396E0
2.922703333E-1,-1.843319058E0,-2.176395178E0,1.346785545E0
3.022653333E-1,-1.224933267E0,-1.570242643E0,1.320665479E0
3.122613333E-1,-5.917602777E-1,-1.220350862E0,1.205458760E0
3.222563333E-1,8.836867660E-2,-1.236668587E0,1.049362898E0
3.322513333E-1,7.486761212E-1,-1.373778701E0,9.937250018E-1
3.422473333E-1,1.402495742E0,-1.478608489E0,1.067154169E0
3.522423333E-1,2.006745577E0,-1.501668453E0,1.153509498E0
3.622373333E-1,2.454725027E0,-1.586832404E0,1.167394638E0
3.722333333E-1,2.173185825E0,-2.303216696E0,1.004687905E0
3.822283333E-1,1.527973652E0,-3.358846426E0,8.905602098E-1
3.922233333E-1,1.184972167E0,-2.736947775E0,1.036917806E0
4.022193333E-1,1.170289040E0,-1.654944062E0,1.301982522E0
4.122143333E-1,1.268791437E0,-1.474272370E0,1.450847507E0
4.222093333E-1,1.131694674E0,-2.111245394E0,1.769380450E0
4.322053333E-1,1.084631920E0,-2.897914886E0,1.917058706E0
4.422003333E-1,1.251711965E0,-3.281993866E0,1.568160415E0
4.521953333E-1,1.307836175E0,-3.431804180E0,9.220716357E-1
4.621913333E-1,1.152790904E0,-3.474132776E0,4.535550475E-1
4.721863333E-1,9.207460880E-1,-3.436593294E0,4.568737745E-1
4.821813333E-1,8.398365378E-1,-3.514603615E0,7.635349631E-1
4.921814583E-1,1.013247848E0,-4.138435841E0,1.094886541E0
5.021764583E-1,1.393430352E0,-5.340698719E0,1.404915214E0
5.121714583E-1,1.903975487E0,-6.821867943E0,1.767477393E0
5.221674583E-1,2.469589472E0,-8.210966110E0,2.309519291E0
5.321624583E-1,2.884804726E0,-9.095565796E0,3.016652822E0
5.421574583E-1,2.866539001E0,-9.131674767E0,3.581842422E0
5.521534583E-1,2.548325300E0,-8.911806107E0,3.843333960E0
5.621484583E-1,2.203070879E0,-8.556595802E0,3.939035654E0
5.721434583E-1,1.823470950E0,-8.160322189E0,4.119674683E0
5.821394583E-1,1.507694840E0,-7.886803627E0,4.545206070E0
5.921344583E-1,1.389142513E0,-7.735433578E0,5.046396732E0
6.021294583E-1,1.454965711E0,-7.765011787E0,5.341048241E0
6.121254583E-1,1.631612420E0,-7.773171902E0,5.447269440E0
6.221204583E-1,1.934416056E0,-7.337529659E0,5.402994633E0
6.321154583E-1,2.355266333E0,-6.361325741E0,5.356120586E0
6.421114583E-1,2.676506758E0,-5.110652924E0,5.249885559E0
6.521064583E-1,2.698438644E0,-3.713040829E0,5.122868538E0
6.621014583E-1,2.249034643E0,-2.249418974E0,4.879291058E0
6.720974583E-1,1.471476197E0,-1.195255041E0,4.495827198E0
6.820924583E-1,7.046078444E-1,-7.814559340E-1,3.973146439E0
6.920874583E-1,5.547285676E-1,-1.025844932E0,3.416913509E0
7.020834583E-1,1.021615863E0,-1.472156048E0,2.906360865E0
7.120784583E-1,1.691391706E0,-1.823366642E0,2.404187679E0
7.220734583E-1,2.282250404E0,-1.976819873E0,1.909837127E0
7.320694583E-1,2.684584141E0,-1.941982985E0,1.508211493E0
7.420644583E-1,2.785372019E0,-1.846052289E0,1.079469442E0
7.520594583E-1,2.562254667E0,-1.959219098E0,6.354088783E-1
7.620554583E-1,2.171986818E0,-1.767182231E0,1.991149485E-1
7.720504583E-1,1.425555706E0,-1.492352247E0,-1.734914631E-1
7.820454583E-1,6.383321285E-1,-1.110938072E0,-3.199221492E-1
7.920414583E-1,-1.910149753E-1,-6.687817574E-1,-3.797256052E-1
8.020364583E-1,-5.248635411E-1,-3.260619640E-1,-4.788543284E-1
8.120314583E-1,-4.663682878E-1,-1.976588964E-1,-4.711812139E-1
8.220274583E-1,-3.853104711E-1,-3.483155072E-1,-5.239797235E-1
8.320224583E-1,-3.560450375E-1,-5.225254297E-1,-5.292618275E-1
8.420174583E-1,-2.761313021E-1,-7.384944558E-1,-5.687061548E-1
8.520134583E-1,-9.391280264E-2,-9.418820143E-1,-6.743809581E-1
8.620084583E-1,1.712871790E-1,-1.401984334E0,-7.643694282E-1
8.720034583E-1,4.436329901E-1,-1.940248370E0,-7.464311719E-1
8.819994583E-1,1.364581287E-1,-2.681199312E0,-7.587783933E-1
8.919944583E-1,-1.187060952E0,-4.420027733E0,-6.073036790E-1
9.019904583E-1,1.035703123E-1,-3.008002520E0,-4.444799125E-1
9.119854583E-1,2.337821275E-1,-1.652639985E0,3.917242959E-2
9.219804583E-1,-3.652059436E-1,-1.139916539E0,-1.077116374E-2
9.319764583E-1,-7.011986375E-1,-4.373507798E-1,2.397287786E-1
9.419714583E-1,-8.763515353E-1,3.721303344E-1,9.316604137E-1
9.519664583E-1,-1.335651994E0,1.268009901E0,1.462416291E0
9.619624583E-1,-1.937606454E0,2.112399817E0,2.033210993E0
9.719574583E-1,-2.438137293E0,2.776136398E0,2.535498857E0
9.819524583E-1,-2.522817373E0,3.092144489E0,2.722255945E0
9.919484583E-1,-2.197777033E0,3.073571682E0,2.580103874E0
1.001943458E0,-1.508402824E0,2.814114571E0,2.108000040E0
1.011938458E0,-4.793414772E-1,2.575520039E0,1.465095758E0
1.021934458E0,9.837397933E-1,1.829814911E0,1.025494099E0
1.031929458E0,2.479428768E0,4.107352495E-1,9.566628933E-1
1.041924458E0,3.799770832E0,-9.425239563E-1,8.892502785E-1
1.051920458E0,3.944310665E0,-1.648824096E0,7.019715905E-1
1.061915458E0,1.928024769E0,-1.837109327E0,2.538460195E-1
1.071910458E0,8.056802154E-1,-3.225219846E-1,2.174418569E-1
1.081906458E0,-1.727280021E-2,4.642580748E-1,1.955317557E-1
1.091901458E0,-5.826439857E-1,1.143577218E0,5.592229217E-2
1.101896458E0,-7.198516726E-1,1.529308558E0,3.761439025E-2
1.111892458E0,-6.599720120E-1,1.654199958E0,2.492208034E-1
1.121887458E0,-6.848800182E-1,1.639217496E0,5.023249984E-1
1.131883458E0,-7.092577219E-1,1.580743551E0,7.293572426E-1
1.141878458E0,-6.222594380E-1,1.342563748E0,8.956159949E-1
1.151873458E0,-4.659152329E-1,7.852683663E-1,9.732598066E-1
1.161869458E0,-1.937937140E-1,-1.133292913E-1,9.894191027E-1
1.171864458E0,2.051585615E-1,-1.161260724E0,9.118843675E-1
1.181859458E0,6.801047921E-1,-2.091285229E0,9.346847534E-1
1.191855458E0,1.270522952E0,-2.623586655E0,1.089887381E0
1.201850458E0,1.756569505E0,-2.477216721E0,1.466271400E0
1.211845458E0,1.715820432E0,-1.762781858E0,1.885551453E0
1.221841458E0,1.424309134E0,-9.632281661E-1,2.027025223E0
1.231836458E0,1.221891284E0,-8.671635389E-2,2.223705530E0
1.241832458E0,1.242478013E0,6.674791574E-1,2.178581715E0
1.251827458E0,1.496610284E0,1.024826050E0,1.727997184E0
1.261822458E0,1.525747180E0,6.920307875E-1,7.336820364E-1
1.271818458E0,1.656474590E0,7.117339969E-2,-3.349403739E-1
1.281813458E0,1.185906768E0,-1.668796390E-1,-1.090369463E0
1.291808458E0,5.293642282E-1,-7.412416339E-1,-1.415620089E0
1.301804458E0,3.505268097E-1,-1.125027657E0,-1.546464205E0
1.311799458E0,5.707838535E-1,-1.380247235E0,-1.700248599E0
1.321794458E0,7.873324156E-1,-1.730043530E0,-1.979318261E0
