"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.238233334E-2,-3.487659484E-1,-9.539586157E-2,-4.893365210E-1
6.237733334E-2,-1.178833759E-1,-1.298295298E-1,-4.878688699E-1
7.237233334E-2,-5.618554437E-1,7.341918924E-1,-4.949983799E-1
8.236833333E-2,-1.382444040E0,1.869472958E0,-1.491653949E-1
9.236333333E-2,-1.933744968E0,2.547538597E0,6.308900106E-1
1.023583333E-1,-1.786217085E0,2.092427583E0,1.192313930E0
1.123543333E-1,-1.068358220E0,1.234899201E0,1.074744549E0
1.223493333E-1,-3.108868083E-1,5.318466559E-1,8.642629123E-1
1.323443333E-1,2.924856207E-1,-6.802095205E-2,1.041211937E0
1.423403333E-1,2.696700776E-1,2.978893250E-2,1.235722489E0
1.523353333E-1,-5.555056599E-1,3.559173855E-1,1.861251188E0
1.623303333E-1,-1.262650672E0,8.494060144E-1,1.670547173E0
1.723263333E-1,-1.427940056E0,8.828664136E-1,9.338342535E-1
1.823213333E-1,-1.492507058E0,5.609160885E-1,8.553926861E-1
1.923163333E-1,-1.444735598E0,6.533151059E-1,7.402826446E-1
2.023123333E-1,4.178978714E-1,4.857586098E-1,1.392863486E0
2.123073333E-1,6.674352546E-1,8.050589767E-1,1.569676271E0
2.223023333E-1,1.191085868E0,9.446045324E-1,1.682308263E-1
2.322983333E-1,2.181166243E0,9.138706168E-1,-8.773466420E-1
2.422933333E-1,2.283038335E0,8.536687808E-1,-1.247847860E0
2.522893333E-1,1.577255871E0,8.570531492E-1,-1.343834583E0
2.622843333E-1,5.144310164E-1,7.694262638E-1,-7.114178646E-1
2.722793333E-1,-3.488421084E-1,5.967170916E-1,1.037763834E0
2.822753333E-1,-6.521731447E-1,6.446331601E-1,2.840214252E0
2.922703333E-1,-1.844781920E-1,1.108602705E0,2.542046599E0
3.022653333E-1,6.128121009E-1,1.123360712E0,5.093158722E-1
3.122613333E-1,1.333942556E0,5.312479741E-1,-8.310887343E-1
3.222563333E-1,1.639650924E0,-4.153190301E-1,-1.585923344E0
3.322513333E-1,1.210664978E0,-1.101849902E0,-2.567509469E0
3.422473333E-1,1.480140051E-1,-1.067325456E0,-4.008475660E0
3.522423333E-1,-7.391595407E-1,-6.054406623E-1,-4.915791621E0
3.622373333E-1,-1.047845969E0,-7.793071812E-1,-4.816065019E0
3.722333333E-1,-1.304343366E0,-1.711900144E0,-2.888719829E0
3.822283333E-1,-1.574595387E0,-3.643746521E0,3.139917383E0
3.922233333E-1,-8.887868656E-1,-3.718052937E0,3.841825336E0
4.022193333E-1,5.357758386E-1,-2.266969602E0,-3.864687365E0
4.122143333E-1,-7.347649927E-1,-3.378603942E0,-6.222638472E0
4.222093333E-1,-2.240812667E0,-5.315897292E0,-3.775512648E0
4.322053333E-1,-1.372321633E0,-1.926061434E0,-5.262956017E-1
4.422003333E-1,2.220399014E0,-1.675354315E0,1.404238075E-1
4.521953333E-1,3.722834205E0,-2.973848565E0,-1.207543003E0
4.621913333E-1,2.328495174E0,-3.252849337E0,-1.925105706E0
4.721863333E-1,1.711864476E0,-3.892952805E0,-3.045636293E0
4.821813333E-1,1.546448792E0,-4.852674437E0,-4.500061020E0
4.921814583E-1,-6.226992309E-2,-5.284625798E0,-5.229435099E0
5.021764583E-1,-2.003604577E0,-6.373653342E0,-5.139363420E0
5.121714583E-1,-3.980380374E0,-7.458241094E0,-5.343344707E0
5.221674583E-1,-6.001572205E0,-8.205030520E0,-6.238437649E0
5.321624583E-1,-7.635096563E0,-8.649886102E0,-7.690563251E0
5.421574583E-1,-7.871942711E0,-9.126180993E0,-9.860666124E0
5.521534583E-1,-6.172478133E0,-9.696735340E0,-1.218131726E1
5.621484583E-1,-5.060035999E0,-9.882968574E0,-1.208453648E1
5.721434583E-1,-4.930729503E0,-9.628662055E0,-1.206735269E1
5.821394583E-1,-5.736086395E0,-8.864884129E0,-1.121254706E1
5.921344583E-1,-5.986949489E0,-8.702344397E0,-9.276847368E0
6.021294583E-1,-5.444282268E0,-8.429838420E0,-6.856792399E0
6.121254583E-1,-4.066413966E0,-8.334804794E0,-3.743461720E0
6.221204583E-1,-9.459713191E-1,-7.896877577E0,-6.224279201E-1
6.321154583E-1,2.902491192E0,-6.797578231E0,1.391222173E0
6.421114583E-1,6.527851435E0,-4.872643847E0,2.317470834E0
6.521064583E-1,9.351036841E0,-2.901276725E0,2.470609412E0
6.621014583E-1,1.208865058E1,-5.122160912E-1,9.281133378E-1
6.720974583E-1,1.447764047E1,1.820027148E0,-6.163152409E-1
6.820924583E-1,1.695008415E1,3.794709934E0,-3.464217997E-1
6.920874583E-1,1.764833408E1,5.887714053E0,1.505350467E0
7.020834583E-1,1.713555783E1,7.475485117E0,4.566812249E0
7.120784583E-1,1.686508902E1,7.770146195E0,6.443379049E0
7.220734583E-1,1.621356302E1,8.241754543E0,6.516024857E0
7.320694583E-1,1.514240691E1,8.856825496E0,5.136230482E0
7.420644583E-1,1.366721638E1,9.732527901E0,2.935351374E0
7.520594583E-1,1.168194750E1,1.037660572E1,3.773815640E-1
7.620554583E-1,9.901089095E0,1.062539305E1,-1.728110672E0
7.720504583E-1,8.570518920E0,1.022945937E1,-4.627116923E0
7.820454583E-1,7.277266846E0,1.060082890E1,-6.786464428E0
7.920414583E-1,5.098209547E0,9.893170795E0,-8.169233866E0
8.020364583E-1,2.932492670E0,8.261216415E0,-9.618059299E0
8.120314583E-1,1.914507043E0,6.916290742E0,-8.453085780E0
