"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.202200890E-2,5.236612664E1,4.879448065E0,7.253063679E0,-1.000000000E0,-1.000000000E0,1.077028042E1,1.077028042E1
6.370689869E-1,5.236612664E1,4.879448065E0,5.015775919E0,-1.000000000E0,-1.000000000E0,1.077028042E1,1.077028042E1
3.430665016E0,5.236612664E1,4.879448065E0,4.541585326E0,-1.000000000E0,-1.000000000E0,1.077028042E1,1.077028042E1
5.868437409E0,5.236610380E1,4.879627167E0,2.429483673E0,5.473938957E-2,2.037804180E2,1.960627429E1,1.960627429E1
6.867448926E0,5.236611558E1,4.879643486E0,2.392284455E0,2.801268399E-1,4.178510654E1,1.694382127E1,1.694382127E1
7.865459085E0,5.236611566E1,4.879628544E0,2.375597697E0,1.216269806E-1,5.244220016E1,1.617443681E1,1.617443681E1
8.868468642E0,5.236610149E1,4.879631311E0,2.379712511E0,1.468364447E-1,1.377224639E2,1.279499665E1,1.279499665E1
9.870479822E0,5.236609347E1,4.879620500E0,2.472886056E0,1.468364447E-1,2.141841959E2,1.515281419E1,1.515281419E1
1.086849046E1,5.236609943E1,4.879589720E0,2.519021563E0,2.892609239E-1,1.043465704E2,9.408088740E0,9.408088740E0
1.181826425E1,5.236610120E1,4.879598125E0,2.492074278E0,1.538085490E-1,1.269632605E2,1.073782789E1,1.073782789E1
1.276750767E1,5.236609707E1,4.879600665E0,2.487564444E0,1.847447902E-1,1.039243697E2,9.597676031E0,9.597676031E0
1.371751845E1,5.236608959E1,4.879589169E0,2.489344183E0,1.847447902E-1,2.294182203E2,9.203338915E0,9.203338915E0
1.466751206E1,5.236608959E1,4.879589169E0,2.489344251E0,1.847447902E-1,-1.000000000E0,9.203338915E0,9.203338915E0
1.561750090E1,5.236608627E1,4.879581295E0,2.478991554E0,1.918310821E-1,-1.000000000E0,9.974751292E0,9.974751292E0
1.656751609E1,5.236609280E1,4.879576272E0,2.471827541E0,1.091761515E-1,-1.000000000E0,7.806470033E0,7.806470033E0
1.751751840E1,5.236608800E1,4.879575334E0,2.471703403E0,3.847314417E-1,2.844252159E2,9.209531089E0,9.209531089E0
1.846751440E1,5.236609585E1,4.879607007E0,2.566856493E0,3.847314417E-1,2.783450924E1,7.088485911E0,7.088485911E0
