"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.238233334E-2,2.926753616E1,-1.693910217E1,-3.634983444E1
6.237733334E-2,2.903167343E1,-1.684194183E1,-3.649504471E1
7.237233334E-2,2.880159378E1,-1.674060440E1,-3.653948593E1
8.236833333E-2,2.825083923E1,-1.636703491E1,-3.668155670E1
9.236333333E-2,2.793123245E1,-1.581141090E1,-3.714792252E1
1.023583333E-1,2.775970840E1,-1.513062859E1,-3.763754272E1
1.123543333E-1,2.773321533E1,-1.441901588E1,-3.795294571E1
1.223493333E-1,2.780807877E1,-1.369701385E1,-3.806917191E1
1.323443333E-1,2.792744446E1,-1.289217186E1,-3.825460815E1
1.423403333E-1,2.806765366E1,-1.209653473E1,-3.838415527E1
1.523353333E-1,2.821338654E1,-1.130301285E1,-3.837431717E1
1.623303333E-1,2.839021301E1,-1.055779648E1,-3.837331772E1
1.723263333E-1,2.846826553E1,-9.902631760E0,-3.835516357E1
1.823213333E-1,2.841168976E1,-9.153457642E0,-3.875485992E1
1.923163333E-1,2.826441956E1,-8.356317520E0,-3.905866623E1
2.023123333E-1,2.803697586E1,-7.482135773E0,-3.935594177E1
2.123073333E-1,2.764334488E1,-6.523065567E0,-3.977369308E1
2.223023333E-1,2.713676834E1,-5.382577896E0,-4.035084152E1
2.322983333E-1,2.656909180E1,-4.203676224E0,-4.088768005E1
2.422933333E-1,2.592281342E1,-2.945476532E0,-4.124958420E1
2.522893333E-1,2.530874252E1,-1.743606567E0,-4.155522156E1
2.622843333E-1,2.480185318E1,-5.087890625E-1,-4.174930573E1
2.722793333E-1,2.428345108E1,7.785339355E-1,-4.199518967E1
2.822753333E-1,2.374533463E1,1.829154968E0,-4.219320679E1
2.922703333E-1,2.303335190E1,2.890468597E0,-4.240117645E1
3.022653333E-1,2.223117447E1,4.006336212E0,-4.284982681E1
3.122613333E-1,2.136174774E1,4.951179504E0,-4.315114594E1
3.222563333E-1,2.051165009E1,5.633140564E0,-4.350119019E1
3.322513333E-1,1.971681976E1,6.152221680E0,-4.383272934E1
3.422473333E-1,1.914215469E1,6.436614990E0,-4.421850204E1
3.522423333E-1,1.868495941E1,6.331035614E0,-4.421314240E1
3.622373333E-1,1.822183609E1,5.988441467E0,-4.442821121E1
3.722333333E-1,1.766626740E1,5.465484619E0,-4.491839981E1
3.822283333E-1,1.719664764E1,4.432800293E0,-4.514753342E1
3.922233333E-1,1.666309357E1,3.261512756E0,-4.529191971E1
4.022193333E-1,1.592967892E1,2.104652405E0,-4.590027237E1
4.122143333E-1,1.482917118E1,1.108135223E0,-4.643991089E1
4.222093333E-1,1.365883160E1,2.682838440E-1,-4.675124359E1
4.322053333E-1,1.263906193E1,-4.474792480E-1,-4.718755722E1
4.422003333E-1,1.179472828E1,-1.171024323E0,-4.751727295E1
4.521953333E-1,1.096440411E1,-1.923383713E0,-4.777288055E1
4.621913333E-1,9.982151985E0,-2.723331451E0,-4.791503143E1
4.721863333E-1,8.737259865E0,-3.541231155E0,-4.817527008E1
4.821813333E-1,7.256224632E0,-4.343326569E0,-4.848856354E1
4.921814583E-1,5.643040657E0,-4.958112717E0,-4.871779251E1
5.021764583E-1,4.046860695E0,-5.432271957E0,-4.884877777E1
5.121714583E-1,2.449755669E0,-5.926521301E0,-4.888526154E1
5.221674583E-1,6.350717545E-1,-6.426904678E0,-4.891027451E1
5.321624583E-1,-1.562457085E0,-6.922866821E0,-4.893231201E1
5.421574583E-1,-4.267161369E0,-7.635648727E0,-4.892666626E1
5.521534583E-1,-7.563288689E0,-8.529386520E0,-4.829591751E1
5.621484583E-1,-1.127615547E1,-9.595628738E0,-4.718918228E1
5.721434583E-1,-1.534408188E1,-1.051166534E1,-4.579404831E1
5.821394583E-1,-1.949907875E1,-1.107518768E1,-4.420865250E1
5.921344583E-1,-2.347454071E1,-1.130739784E1,-4.216696548E1
6.021294583E-1,-2.721236420E1,-1.121931076E1,-3.983713913E1
6.121254583E-1,-3.066117477E1,-1.080476761E1,-3.721501923E1
6.221204583E-1,-3.386569595E1,-9.957672119E0,-3.444868088E1
6.321154583E-1,-3.956356812E1,-7.155815125E0,-2.848014832E1
6.421114583E-1,-4.184094620E1,-5.504329681E0,-2.512316132E1
6.521064583E-1,-4.375733948E1,-3.758745193E0,-2.177270889E1
6.621014583E-1,-4.514888382E1,-1.965389252E0,-1.868087006E1
6.720974583E-1,-4.612083817E1,-1.919364929E-1,-1.608809662E1
6.820924583E-1,-4.670244598E1,1.628662109E0,-1.422492504E1
6.920874583E-1,-4.715374756E1,3.654594421E0,-1.369711590E1
7.020834583E-1,-4.727795792E1,5.542377472E0,-1.337789631E1
7.120784583E-1,-4.728486252E1,7.250160217E0,-1.282007885E1
7.220734583E-1,-4.721796799E1,8.788131714E0,-1.243336010E1
7.320694583E-1,-4.716156387E1,1.002117920E1,-1.197560978E1
7.420644583E-1,-4.711805725E1,1.090550613E1,-1.133910084E1
7.520594583E-1,-4.714938354E1,1.153832626E1,-1.094989681E1
7.620554583E-1,-4.725480652E1,1.194298553E1,-1.069190121E1
7.720504583E-1,-4.739352417E1,1.211857605E1,-1.016793728E1
7.820454583E-1,-4.753013611E1,1.214126968E1,-9.584115028E0
7.920414583E-1,-4.769947433E1,1.208399200E1,-9.176274300E0
8.020364583E-1,-4.779674530E1,1.196244812E1,-8.575562477E0
8.120314583E-1,-4.793778229E1,1.185173798E1,-8.224141121E0
8.220274583E-1,-4.808532715E1,1.169783783E1,-7.964291573E0
8.320224583E-1,-4.817929840E1,1.149662781E1,-7.775542259E0
8.420174583E-1,-4.817708588E1,1.123357391E1,-7.450877190E0
8.520134583E-1,-4.825426483E1,1.099319839E1,-7.059060097E0
8.620084583E-1,-4.830259323E1,1.068785477E1,-6.453280449E0
8.720034583E-1,-4.838746643E1,1.038391876E1,-5.490323067E0
8.819994583E-1,-4.854148865E1,9.991329193E0,-4.854783058E0
8.919944583E-1,-4.867570877E1,9.651527405E0,-4.242688179E0
9.019904583E-1,-4.893779755E1,9.349281311E0,-3.925927162E0
9.119854583E-1,-4.919930267E1,9.113075256E0,-3.136004448E0
9.219804583E-1,-4.942645645E1,8.932640076E0,-1.735697746E0
9.319764583E-1,-4.952752304E1,8.824184418E0,-3.276233673E-1
9.419714583E-1,-4.960810471E1,8.815193176E0,5.709514618E-1
9.519664583E-1,-4.963099670E1,8.938430786E0,1.108458519E0
9.619624583E-1,-4.957730865E1,9.122592926E0,1.222784042E0
9.719574583E-1,-4.951472855E1,9.532363892E0,1.049108505E0
9.819524583E-1,-4.938360977E1,1.024600601E1,6.456947327E-1
9.919484583E-1,-4.920699310E1,1.122484970E1,-1.582365036E-1
1.001943458E0,-4.893274307E1,1.244539261E1,-1.222804070E0
1.011938458E0,-4.854473877E1,1.376597214E1,-2.308018684E0
1.021934458E0,-4.815933609E1,1.505490112E1,-3.512604713E0
1.031929458E0,-4.775226212E1,1.605698776E1,-4.704922676E0
1.041924458E0,-4.744566727E1,1.680506516E1,-5.784687996E0
1.051920458E0,-4.719612122E1,1.729935455E1,-6.504527092E0
1.061915458E0,-4.699217606E1,1.752894592E1,-7.243781090E0
1.071910458E0,-4.696467209E1,1.771313095E1,-7.685118675E0
1.081906458E0,-4.695730209E1,1.767745972E1,-7.565609932E0
1.091901458E0,-4.694678879E1,1.760338211E1,-7.400069237E0
1.101896458E0,-4.694131851E1,1.759086990E1,-7.343403816E0
1.111892458E0,-4.694481659E1,1.773071289E1,-7.602663994E0
1.121887458E0,-4.685367966E1,1.776954269E1,-7.948271751E0
1.131883458E0,-4.667381668E1,1.790780640E1,-8.491591454E0
1.141878458E0,-4.648511505E1,1.814526367E1,-9.079318047E0
1.151873458E0,-4.620791626E1,1.838512039E1,-9.561789513E0
1.161869458E0,-4.592164230E1,1.869440079E1,-1.000134754E1
1.171864458E0,-4.566128540E1,1.914337158E1,-1.048013973E1
1.181859458E0,-4.546753311E1,1.967624664E1,-1.093778515E1
1.191855458E0,-4.533761597E1,2.016263580E1,-1.097765255E1
1.201850458E0,-4.529930878E1,2.059868240E1,-1.065451145E1
1.211845458E0,-4.518748856E1,2.105355072E1,-9.998763084E0
1.221841458E0,-4.515701675E1,2.141180801E1,-9.291930199E0
1.231836458E0,-4.504700851E1,2.190153885E1,-8.608380318E0
1.241832458E0,-4.486443710E1,2.246902466E1,-8.040486336E0
1.251827458E0,-4.455041504E1,2.313126373E1,-7.786105156E0
1.261822458E0,-4.410456848E1,2.393657303E1,-7.903874397E0
1.271818458E0,-4.355829620E1,2.472462845E1,-8.028332710E0
1.281813458E0,-4.298104095E1,2.512749100E1,-8.140089989E0
1.291808458E0,-4.269228363E1,2.525754166E1,-8.405686378E0
1.301804458E0,-4.273643875E1,2.519420624E1,-9.138409615E0
1.311799458E0,-4.289525986E1,2.481250000E1,-9.756146431E0
1.321794458E0,-4.323897171E1,2.427273560E1,-9.865721703E0
1.331790458E0,-4.365386200E1,2.367918015E1,-9.573214531E0
1.341785458E0,-4.411129761E1,2.282581329E1,-8.996605873E0
1.351781458E0,-4.453047943E1,2.190312195E1,-8.144473076E0
1.361776458E0,-4.495299530E1,2.101992035E1,-7.268132210E0
1.371771458E0,-4.530194855E1,2.052388000E1,-7.009963036E0
1.381767458E0,-4.558150864E1,2.041475296E1,-7.125737190E0
1.391762458E0,-4.587724304E1,2.017453384E1,-7.062550545E0
1.401757458E0,-4.635486984E1,1.955119705E1,-6.644953728E0
1.411753458E0,-4.691126633E1,1.831058121E1,-6.025832176E0
1.421748458E0,-4.750205994E1,1.672286987E1,-5.050671577E0
1.431743458E0,-4.794654465E1,1.540071487E1,-4.313492775E0
1.441739458E0,-4.831087494E1,1.433399200E1,-3.810645103E0
1.451734458E0,-4.859215927E1,1.350215530E1,-3.480320930E0
1.461730458E0,-4.875841141E1,1.278829193E1,-3.172352791E0
1.471725458E0,-4.898606873E1,1.208214188E1,-2.680985451E0
1.481720458E0,-4.922592163E1,1.133097839E1,-2.107653618E0
1.491712375E0,-4.934670258E1,1.046792603E1,-1.096381187E0
1.501707375E0,-4.951368713E1,9.715160370E0,-2.005758286E-1
1.511702375E0,-4.959589386E1,9.092952728E0,2.669906616E-1
1.521698375E0,-4.967821503E1,8.639907837E0,2.460508347E-1
1.531693375E0,-4.976400757E1,8.322830200E0,-1.158809662E-2
1.541688375E0,-4.987916946E1,7.898654938E0,-2.659025192E-1
1.551684375E0,-4.994437790E1,7.454719543E0,-4.728984833E-1
1.561679375E0,-5.006408310E1,7.089782715E0,-5.342235565E-1
1.571675375E0,-5.013138199E1,6.686828613E0,-3.783645630E-1
1.581670375E0,-5.016935349E1,6.279365540E0,-3.460130692E-1
1.591665375E0,-5.018220139E1,6.064872742E0,-4.173440933E-1
1.601661375E0,-5.017953873E1,6.148777008E0,-7.484235764E-1
1.611656375E0,-5.007908249E1,6.794170380E0,-1.186549187E0
1.621651375E0,-4.990355301E1,7.868480682E0,-1.896035194E0
1.631647375E0,-4.964602661E1,9.033515930E0,-2.857987404E0
1.641642375E0,-4.940582657E1,1.010614777E1,-4.101731300E0
1.651637375E0,-4.919141006E1,1.074803543E1,-5.345812798E0
1.661633375E0,-4.907284546E1,1.092819214E1,-6.258614540E0
1.671628375E0,-4.907189178E1,1.051959610E1,-6.719195366E0
1.681624375E0,-4.921487045E1,9.696846008E0,-6.795929909E0
1.691619375E0,-4.939862061E1,8.612621307E0,-6.581013680E0
1.701614375E0,-4.959511566E1,7.440410614E0,-5.936352730E0
1.711610375E0,-4.975717545E1,6.182991028E0,-5.151143074E0
1.721605375E0,-4.989981842E1,4.920681000E0,-4.243319511E0
1.731600375E0,-5.002199173E1,3.651973724E0,-3.205454826E0
1.741596375E0,-5.006795502E1,2.389858246E0,-2.304308891E0
1.751591375E0,-5.012676239E1,1.129360199E0,-1.472113609E0
1.761586375E0,-5.012247467E1,-1.332244873E-1,-6.083240509E-1
1.771582375E0,-5.005147934E1,-1.309040070E0,3.291664124E-1
1.781577375E0,-5.004332352E1,-2.327302933E0,1.246315956E0
1.791573375E0,-4.994986725E1,-3.070112228E0,2.238095284E0
1.801568375E0,-4.983089828E1,-3.555799484E0,2.967473030E0
1.811563375E0,-4.978565216E1,-3.887144089E0,3.410267830E0
1.821559375E0,-4.985421753E1,-3.883226395E0,2.831599236E0
1.831554375E0,-4.984657288E1,-3.914520264E0,2.509037018E0
1.841549375E0,-4.989426041E1,-3.931821823E0,1.919266701E0
1.851545375E0,-5.003290939E1,-3.772951126E0,9.834070206E-1
1.861540375E0,-5.013614273E1,-3.465740204E0,-3.607158661E-1
1.871535375E0,-5.022667313E1,-2.903491974E0,-1.926384926E0
1.881531375E0,-5.026729584E1,-2.067815781E0,-3.782574654E0
1.891526375E0,-5.023481369E1,-1.005084991E0,-5.661620140E0
1.901521375E0,-5.014789963E1,2.615966797E-1,-7.496279716E0
1.911517375E0,-4.991448212E1,1.980983734E0,-9.426604271E0
1.921512375E0,-4.964003372E1,3.998008728E0,-1.125100422E1
1.931508375E0,-4.919319153E1,6.005027771E0,-1.261084270E1
1.941503375E0,-4.877396011E1,8.001251221E0,-1.356301785E1
1.951498375E0,-4.837908936E1,9.889160156E0,-1.390372562E1
1.961494375E0,-4.801720047E1,1.171778488E1,-1.408471584E1
1.971489375E0,-4.763689423E1,1.343865967E1,-1.423679638E1
1.981484375E0,-4.732027817E1,1.504632187E1,-1.427048397E1
1.991480375E0,-4.701366806E1,1.655319977E1,-1.392390537E1
2.001475375E0,-4.670767975E1,1.786369324E1,-1.347487354E1
2.011470375E0,-4.639064789E1,1.919220352E1,-1.287063503E1
2.021466375E0,-4.599946594E1,2.072032928E1,-1.237538624E1
2.031461375E0,-4.540840530E1,2.243532562E1,-1.187959766E1
2.041456375E0,-4.448540878E1,2.440922546E1,-1.163238811E1
2.051452375E0,-4.324544907E1,2.649817657E1,-1.159961414E1
2.061447375E0,-4.184962082E1,2.861642075E1,-1.194957447E1
2.071442375E0,-4.050053406E1,3.056730652E1,-1.206714535E1
2.081438375E0,-3.914115143E1,3.240835571E1,-1.182647419E1
2.091433375E0,-3.784836197E1,3.417810822E1,-1.118941593E1
2.101429375E0,-3.650231552E1,3.588816833E1,-1.025045872E1
2.111424375E0,-3.521812439E1,3.732504272E1,-9.169390678E0
2.121419375E0,-3.392171478E1,3.861485291E1,-8.293128014E0
2.131415375E0,-3.280403900E1,3.979417419E1,-7.686673164E0
2.141410375E0,-3.179485703E1,4.066087341E1,-7.229260445E0
2.151405375E0,-3.098449707E1,4.132734680E1,-6.964503288E0
