"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.507249999E-3,-5.711672516E0,5.313051453E0,7.935897217E0
8.486750001E-3,-5.350323944E0,6.054609375E0,8.847501526E0
1.848175000E-2,-4.743186493E0,6.693929901E0,8.679700470E0
2.847675000E-2,-3.676804047E0,5.842350769E0,7.842192078E0
3.847175000E-2,-4.155059509E0,4.523742828E0,8.688382416E0
4.846675000E-2,-3.258274384E0,5.026397552E0,1.041758652E1
5.846175000E-2,-2.747985535E0,5.076243896E0,1.175939621E1
6.845675000E-2,-2.073188782E0,3.511248322E0,1.256262589E1
7.845175000E-2,-9.883946228E-1,1.950893097E0,1.304791672E1
8.844675000E-2,8.696914673E-2,1.014290771E0,1.254735764E1
9.844075000E-2,1.576371918E0,1.361269226E0,1.070349197E1
1.084357500E-1,1.116378479E0,1.808988190E0,9.037007446E0
1.184307500E-1,2.383792877E0,3.990102539E0,7.474556580E0
1.284257500E-1,3.879332886E0,4.055217133E0,3.295696564E0
1.384207500E-1,3.987108765E0,3.085982666E0,4.255051575E0
1.484157500E-1,5.037025452E0,2.781665497E0,4.524341583E0
1.584107500E-1,4.683610382E0,1.849254456E0,3.867507477E0
1.684057500E-1,4.169579315E0,1.327888641E0,3.393443298E0
1.784007500E-1,3.415746918E0,9.846524048E-1,3.349883881E0
1.883947500E-1,2.064357147E0,5.926176453E-1,3.266207886E0
1.983897500E-1,2.520758057E-1,5.054988098E-1,2.756517792E0
2.083847500E-1,-1.467248840E0,5.730084229E-1,5.201383667E0
2.183797500E-1,-2.214045868E0,4.207749939E-1,1.400487671E1
2.283747500E-1,-1.653611298E0,1.035845947E-1,1.454255859E1
2.383697500E-1,-4.763095093E-1,-1.243913269E-1,1.051473450E1
2.483647500E-1,4.456233215E-1,-1.160087585E0,1.261337036E1
2.583597500E-1,8.437953186E-1,-1.943558350E0,1.455737778E1
2.683547500E-1,8.493338013E-1,-2.430795135E0,1.194605804E1
2.783497500E-1,2.699636078E0,-1.851948853E0,1.089374634E1
2.883437500E-1,5.848338318E0,8.946894836E-1,1.684626801E1
2.983387500E-1,5.801336060E0,9.277706909E-1,1.365280884E1
3.083337500E-1,4.086951141E0,-4.662803650E-1,1.115076187E1
3.183287500E-1,-9.041198730E-2,-1.567689972E0,1.042566971E1
3.283237500E-1,-3.290756836E0,-1.155297546E0,8.234825592E0
3.383187500E-1,-1.768123169E0,1.566342773E0,7.651189270E0
