"Time (s)","X (hPa)"
-5.222511250E-1,1.015555725E3
5.144308750E-1,1.015587616E3
1.551025875E0,1.015619354E3
2.587855875E0,1.015623322E3
3.624673875E0,1.015666962E3
4.661288875E0,1.015683746E3
4.793924875E0,1.015689240E3
5.753928875E0,1.015693130E3
6.713686875E0,1.015698318E3
7.673368875E0,1.015698318E3
8.633212875E0,1.015697250E3
9.593053875E0,1.015697250E3
1.055283987E1,1.015697250E3
1.151267587E1,1.015695572E3
1.247276987E1,1.015691452E3
1.343283187E1,1.015691452E3
1.439290687E1,1.015691452E3
1.535309387E1,1.015674667E3
1.631302287E1,1.015654221E3
1.727300487E1,1.015631485E3
1.823299687E1,1.015605774E3
