"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.721675000E-2,-2.139486790E0,-3.818754911E0,1.152594447E0
5.721075000E-2,-2.428341389E0,-4.605947018E0,1.221192479E0
6.720575000E-2,-2.638615608E0,-5.334460258E0,9.964228272E-1
7.720075000E-2,-2.799742937E0,-5.974130630E0,6.375810504E-1
8.719575000E-2,-3.065557480E0,-6.275425911E0,2.722946107E-1
9.719075000E-2,-3.186228991E0,-6.353185654E0,4.086086527E-2
1.071857500E-1,-4.045526981E0,-5.786812782E0,-4.527844191E-1
1.171807500E-1,-3.583312035E0,-5.025263786E0,-1.754089892E-1
1.271757500E-1,-2.745143414E0,-3.890839815E0,3.876273334E-1
1.371707500E-1,-2.216636419E0,-3.047996521E0,9.125124216E-1
1.471647500E-1,-2.027470112E0,-2.131280422E0,1.270721674E0
1.571597500E-1,-2.147346258E0,-1.038983583E0,1.496215224E0
1.671547500E-1,-2.424152136E0,1.998341680E-1,1.663939238E0
1.771497500E-1,-2.792044878E0,1.425347924E0,1.805176258E0
1.871447500E-1,-3.194366217E0,2.816705227E0,1.874625683E0
1.971397500E-1,-3.482316971E0,4.236629009E0,1.811667800E0
2.071347500E-1,-3.599690914E0,4.109681129E0,1.673102021E0
2.171297500E-1,-3.728562593E0,2.413520336E0,1.322627664E0
2.271247500E-1,-3.117798328E0,1.741003036E0,9.815850854E-1
2.371197500E-1,-1.909641147E0,1.234438419E0,6.652492285E-1
2.471137500E-1,-6.085278988E-1,2.141359150E-1,2.536635697E-1
2.571087500E-1,7.417533398E-1,-6.981120706E-1,-1.964751035E-1
2.671037500E-1,1.975474000E0,-1.236417890E0,-6.183811426E-1
2.770987500E-1,2.784788370E0,-8.324086666E-1,-4.446722269E-1
2.870937500E-1,3.215088844E0,-2.077351809E0,1.378239542E-1
2.970887500E-1,3.064363241E0,-2.073755741E0,6.952968240E-1
3.070837500E-1,2.471698523E0,-1.711675167E0,7.633197904E-1
3.170787500E-1,1.575631738E0,-1.020738602E0,2.633472681E-1
3.270737500E-1,6.155464053E-1,-1.094112471E-1,-4.447312355E-1
3.370687500E-1,-1.801877618E-1,1.264132559E-1,-5.921781659E-1
3.470637500E-1,-5.427697301E-1,-6.039538383E-1,-1.778173000E-1
3.570577500E-1,-2.224220783E-1,-1.543089032E0,2.276804000E-1
3.670527500E-1,6.067079306E-1,-2.216661692E0,4.235128462E-1
3.770477500E-1,1.370599389E0,-3.208715916E0,4.004072845E-1
3.870427500E-1,2.018407345E0,-3.683777809E0,3.178330362E-1
3.970377500E-1,2.494946480E0,-4.015172482E0,3.656042814E-1
4.070327500E-1,2.268287420E0,-3.778206110E0,6.906712055E-1
4.170277500E-1,2.352671146E0,-4.127948284E0,1.030283570E0
4.270227500E-1,2.559828043E0,-5.065126896E0,1.706289411E0
4.370177500E-1,2.699505806E0,-5.873676777E0,2.645447731E0
4.470127500E-1,2.746543169E0,-6.643843174E0,3.591133356E0
4.570077500E-1,2.742213249E0,-7.165463448E0,4.339039803E0
4.670027500E-1,2.657607079E0,-7.367125034E0,4.964946270E0
4.769977500E-1,2.523382902E0,-7.305670738E0,5.551201820E0
4.869917500E-1,2.269083738E0,-6.969644547E0,5.830233097E0
4.969867500E-1,1.864099503E0,-6.839392662E0,5.868088722E0
5.069817500E-1,1.462173700E0,-6.556431293E0,5.768610477E0
5.169767500E-1,1.122582316E0,-5.719624043E0,5.552610874E0
5.269717500E-1,7.512856126E-1,-5.004775524E0,5.387991905E0
5.369667500E-1,3.769002855E-1,-4.095534325E0,5.303971767E0
5.469617500E-1,6.252677739E-2,-2.668461800E0,5.155279160E0
5.569567500E-1,-3.055503070E-1,-1.664299846E0,4.985632896E0
5.669517500E-1,-5.028211474E-1,-1.314832211E0,4.811899662E0
