"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.721675000E-2,-5.961043400E-1,1.434573430E-1,1.470254309E0
5.721075000E-2,-1.221989134E-1,9.655445811E-1,2.814436802E0
6.720575000E-2,-1.414330369E-1,2.472655937E-1,3.617606835E0
7.720075000E-2,2.349998894E-1,-1.257581720E0,4.066628559E0
8.719575000E-2,8.314556471E-1,-2.298410372E0,3.957566877E0
9.719075000E-2,1.437542061E0,-2.336695894E0,2.609856759E0
1.071857500E-1,1.884879348E0,-1.536604127E0,1.005498898E-1
1.171807500E-1,5.144026574E-1,-8.706007093E-2,-2.674042815E-1
1.271757500E-1,2.938677563E0,2.220851735E0,-4.735607332E0
1.371707500E-1,2.500142821E0,1.168775378E0,-5.995444323E0
1.471647500E-1,3.233638895E0,1.099462484E0,-4.870288004E0
1.571597500E-1,3.351511745E0,5.765493505E-1,-5.331078418E0
1.671547500E-1,2.756975044E0,6.214713156E-2,-5.961259162E0
1.771497500E-1,2.231897417E0,-5.385512196E-2,-6.279103280E0
1.871447500E-1,1.382174191E0,-9.839146324E-2,-6.293995553E0
1.971397500E-1,8.868647397E-2,-5.302620605E-2,-6.757055857E0
2.071347500E-1,-1.347736576E0,3.986383856E-1,-6.603134921E0
2.171297500E-1,-2.356519125E0,6.883986191E-1,-4.806171530E-1
2.271247500E-1,-2.291741915E0,8.044767402E-1,6.300775985E0
2.371197500E-1,-1.033748478E0,8.075922098E-1,1.991662808E0
2.471137500E-1,6.220838571E-2,3.550110671E-1,1.377420990E0
2.571087500E-1,7.857898430E-1,-7.501115218E-1,4.282114828E0
2.671037500E-1,7.853734481E-1,-1.428520977E0,3.789727814E0
2.770987500E-1,9.317179269E-1,-1.955644837E0,1.309412609E0
2.870937500E-1,4.572095501E0,-2.364265735E-1,3.187891449E0
2.970887500E-1,5.365348365E0,1.297329484E0,7.075805123E0
3.070837500E-1,4.636489133E0,-1.633125870E-1,1.736568085E0
3.170787500E-1,1.292621453E0,-1.596160942E0,1.291221921E0
3.270737500E-1,-3.002806316E0,-2.372013077E0,-3.937415618E-1
3.370687500E-1,-4.028881273E0,-5.610034313E-1,-2.173641608E0
3.470637500E-1,-8.038180514E-1,1.993186885E0,-1.348813487E0
3.570577500E-1,9.996130177E-1,2.072641775E0,5.681277519E-1
3.670527500E-1,-1.008510945E-1,6.601784214E-1,5.268446553E-1
3.770477500E-1,-1.350832531E-1,-6.924413840E-1,-6.995456779E-1
3.870427500E-1,1.710997188E0,-3.468865364E0,2.924215937E-1
3.970377500E-1,1.903607980E0,-4.717493827E0,-2.157419677E0
4.070327500E-1,1.863964296E0,-5.216220977E0,-3.949241611E0
4.170277500E-1,2.072576578E0,-4.694545260E0,-6.430694684E0
4.270227500E-1,-6.903307584E-1,-6.468484654E0,-7.516404517E0
4.370177500E-1,-2.805361046E0,-7.086424252E0,-7.419065334E0
4.470127500E-1,-3.743366411E0,-6.889177787E0,-8.180833572E0
4.570077500E-1,-3.837273864E0,-7.348238010E0,-8.304170646E0
4.670027500E-1,-3.500238599E0,-8.438384126E0,-9.240441434E0
4.769977500E-1,-3.370256749E0,-9.421181209E0,-1.013398252E1
4.869917500E-1,-3.476661456E0,-9.780774447E0,-1.042105158E1
4.969867500E-1,-3.664639499E0,-1.065779832E1,-9.753008943E0
5.069817500E-1,-2.645356960E0,-1.160012390E1,-6.880215760E0
5.169767500E-1,-8.855935550E-1,-1.075524685E1,-4.514035866E0
5.269717500E-1,4.786232525E-1,-8.281169454E0,-3.353531374E0
5.369667500E-1,1.479799304E0,-5.386395417E0,-2.679545045E-2
5.469617500E-1,3.608033774E0,-2.550660717E0,2.316629419E0
5.569567500E-1,5.098758016E0,-3.953325891E-1,3.253719987E0
5.669517500E-1,5.328230240E0,1.037152508E0,5.715829301E0
5.769467500E-1,5.252069086E0,3.465029005E0,8.180461689E0
5.869417500E-1,5.706965507E0,6.084845327E0,1.040080384E1
5.969367500E-1,6.022455536E0,7.165890251E0,1.129979570E1
6.069317500E-1,6.789404992E0,8.188873494E0,1.099502011E1
6.169267500E-1,7.900759544E0,9.419452772E0,9.835051811E0
6.269217500E-1,8.331073685E0,9.874394217E0,6.312463984E0
6.369167500E-1,8.291855240E0,1.074401318E1,3.998178129E0
6.469117500E-1,8.444316126E0,1.233626847E1,1.192228268E-1
6.569067500E-1,7.772480403E0,1.239362030E1,-2.550853676E0
6.669017500E-1,5.794189008E0,1.104726615E1,-4.628185794E0
6.768967500E-1,5.181484423E0,9.603950552E0,-4.199417072E0
6.868917500E-1,5.108181388E0,8.069262266E0,-2.959778118E0
6.968867500E-1,5.205613543E0,7.362951359E0,-2.504733177E0
7.068817500E-1,5.251367421E0,6.476559659E0,-1.421545980E0
7.168767500E-1,4.999261209E0,5.249881643E0,-1.581367925E0
7.268717500E-1,4.160021456E0,3.802779384E0,-1.865706035E0
7.368667500E-1,3.601782516E0,3.120049421E0,-3.933243629E0
7.468617500E-1,3.222623910E0,2.312823759E0,-6.621622063E0
7.568567500E-1,1.522563500E0,8.502921599E-1,-9.977123948E0
7.668517500E-1,-6.672246087E-1,5.928100187E-1,-1.263581431E1
7.768467500E-1,-1.338956836E0,2.528008604E0,-8.768709710E0
7.868417500E-1,-2.681745937E0,1.060268598E0,-7.652818304E0
