"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.074992657E-2,5.236612664E1,4.879448065E0,6.895310402E0,-1.000000000E0,-1.000000000E0,1.077028042E1,1.077028042E1
4.880470037E-1,5.236612664E1,4.879448065E0,5.557632804E0,-1.000000000E0,-1.000000000E0,1.077028042E1,1.077028042E1
4.356610298E0,5.236606198E1,4.879648763E0,2.382603033E0,4.483164847E-1,7.131672518E1,1.817228799E1,1.817228799E1
5.354620218E0,5.236604389E1,4.879629518E0,2.414454331E0,4.355100691E-1,2.026578657E2,1.470530020E1,1.470530020E1
6.354629278E0,5.236605961E1,4.879590164E0,2.468283705E0,4.780176580E-1,1.486740692E2,1.213048686E1,1.213048686E1
7.348638773E0,5.236603818E1,4.879572730E0,2.489972176E0,4.780176580E-1,1.649229484E2,1.022740532E1,1.022740532E1
8.298222542E0,5.236602257E1,4.879589233E0,2.499978773E0,2.443151474E-1,1.890436384E2,1.136032154E1,1.136032154E1
9.248207688E0,5.236602304E1,4.879591461E0,2.520235781E0,9.085927904E-2,1.414034660E1,7.856456071E0,7.856456071E0
1.019821692E1,5.236602264E1,4.879595763E0,2.597966675E0,4.281615093E-2,2.798073512E2,1.029523413E1,1.029523413E1
1.114820075E1,5.236601890E1,4.879604479E0,2.611624855E0,9.491560608E-2,2.489596733E2,8.714118849E0,8.714118849E0
1.209818625E1,5.236602027E1,4.879602290E0,2.606313516E0,1.114095002E-1,2.209934328E2,1.095024788E1,1.095024788E1
1.304819667E1,5.236601994E1,4.879603726E0,2.611852962E0,5.659995228E-2,3.385771007E2,8.018187836E0,8.018187836E0
1.399818146E1,5.236601704E1,4.879605336E0,2.612042189E0,2.037560344E-1,2.081641332E2,9.732693135E0,9.732693135E0
1.494816875E1,5.236601704E1,4.879605336E0,2.612042257E0,2.037560344E-1,-1.000000000E0,9.732693135E0,9.732693135E0
1.589818156E1,5.236602053E1,4.879600007E0,2.587380716E0,6.212839484E-2,-1.000000000E0,1.269097935E1,1.269097935E1
1.684816992E1,5.236602291E1,4.879597049E0,2.573795762E0,5.252240598E-2,-1.000000000E0,6.516639462E0,6.516639462E0
1.779818189E1,5.236602684E1,4.879592764E0,2.599160740E0,1.917853653E-1,-1.000000000E0,5.615183943E0,5.615183943E0
1.874817204E1,5.236603194E1,4.879579694E0,2.634526787E0,1.365365982E-1,-1.000000000E0,6.933218324E0,6.933218324E0
1.969816482E1,5.236604396E1,4.879566923E0,2.703099722E0,7.058268785E-2,-1.000000000E0,1.054980966E1,1.054980966E1
2.064818227E1,5.236606152E1,4.879559239E0,2.751952512E0,1.716054678E-1,-1.000000000E0,8.391007260E0,8.391007260E0
