"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.721675000E-2,4.426184654E0,-2.338398361E1,-4.913658905E1
5.721075000E-2,3.825964928E0,-2.317808151E1,-4.904372406E1
6.720575000E-2,3.107892036E0,-2.287658691E1,-4.894922638E1
7.720075000E-2,5.645933151E-1,-2.182534218E1,-4.882323456E1
8.719575000E-2,-1.962532997E0,-2.049971771E1,-4.930895233E1
9.719075000E-2,-4.641427040E0,-1.918025017E1,-4.982820511E1
1.071857500E-1,-7.467937469E0,-1.785091019E1,-4.990784073E1
1.171807500E-1,-1.034751892E1,-1.635850334E1,-4.956508255E1
1.271757500E-1,-1.316882896E1,-1.473244476E1,-4.926677322E1
1.371707500E-1,-1.592654896E1,-1.293330574E1,-4.907096481E1
1.471647500E-1,-1.823292542E1,-1.129332733E1,-4.873507690E1
1.571597500E-1,-2.015726852E1,-9.864099503E0,-4.821946716E1
1.671547500E-1,-2.173665619E1,-8.523672104E0,-4.780775452E1
1.771497500E-1,-2.287841415E1,-7.295560837E0,-4.747122955E1
1.871447500E-1,-2.360934830E1,-5.902023315E0,-4.723971176E1
1.971397500E-1,-2.376900864E1,-4.434442520E0,-4.724660873E1
2.071347500E-1,-2.335697174E1,-2.810634613E0,-4.754837799E1
2.171297500E-1,-2.242799950E1,-9.107398987E-1,-4.830073929E1
2.271247500E-1,-2.102821159E1,1.152923584E0,-4.926802063E1
2.371197500E-1,-1.953800011E1,3.134101868E0,-5.012266159E1
2.471137500E-1,-1.827207565E1,4.989524841E0,-5.043585968E1
2.571087500E-1,-1.737867546E1,6.561424255E0,-5.055369949E1
2.671037500E-1,-1.677916527E1,7.638961792E0,-5.062035370E1
2.770987500E-1,-1.653079605E1,8.179054260E0,-5.069817352E1
2.870937500E-1,-1.667214966E1,8.078754425E0,-5.085654449E1
2.970887500E-1,-1.706683540E1,7.322212219E0,-5.082319641E1
3.070837500E-1,-1.756023216E1,6.090538025E0,-5.045960236E1
3.170787500E-1,-1.822811890E1,4.691902161E0,-5.010175323E1
3.270737500E-1,-1.906146240E1,3.482986450E0,-4.979444504E1
3.370687500E-1,-1.970085144E1,2.380287170E0,-4.937028885E1
3.470637500E-1,-2.016765785E1,1.548606873E0,-4.902730179E1
3.570577500E-1,-2.035971260E1,1.082405090E0,-4.878159714E1
3.670527500E-1,-2.051040268E1,8.621063232E-1,-4.870698547E1
3.770477500E-1,-2.073088074E1,8.248310089E-1,-4.865346909E1
3.870427500E-1,-2.127539825E1,9.164505005E-1,-4.836296844E1
3.970377500E-1,-2.218781281E1,9.011001587E-1,-4.799977112E1
4.070327500E-1,-2.337928391E1,5.299530029E-1,-4.734307098E1
4.170277500E-1,-2.485634613E1,-1.933822632E-1,-4.633243561E1
4.270227500E-1,-2.631537819E1,-1.071783066E0,-4.492409897E1
