"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.967749999E-3,-4.420457611E0,4.815935211E0,6.693929901E0
1.196275000E-2,-4.536316681E0,5.037175140E0,7.161707153E0
2.195783333E-2,-4.415517883E0,4.602479095E0,7.480993195E0
3.195283333E-2,-3.798650665E0,3.957769775E0,7.709567871E0
4.194783333E-2,-3.340303802E0,3.778143311E0,8.242759094E0
5.194283333E-2,-3.307372284E0,4.121229858E0,8.976682892E0
6.193783333E-2,-3.443738708E0,4.432432709E0,1.012404694E1
7.193283333E-2,-3.458258514E0,4.236041107E0,9.409882050E0
8.192783333E-2,-2.585573273E0,3.454067230E0,9.373657379E0
9.192283333E-2,-1.681752777E0,2.391127625E0,1.002899460E1
1.019178333E-1,-1.642983398E0,2.014660492E0,9.845775604E0
1.119128333E-1,-1.866618347E0,2.009421387E0,1.003812561E1
1.219078333E-1,-1.714085541E0,2.466271362E0,8.982071686E0
1.319028333E-1,-1.721270599E0,2.945424957E0,1.055200699E1
1.418988333E-1,-1.918710022E0,2.698588257E0,1.158755356E1
1.518938333E-1,-2.672392731E0,2.469115448E0,1.205413330E1
1.618888333E-1,-3.089724884E0,2.303709412E0,1.154594009E1
1.718838333E-1,-2.583028564E0,2.217788086E0,1.134535721E1
1.818788333E-1,-2.309547272E0,2.284848633E0,1.097802109E1
1.918738333E-1,-1.806144104E0,1.775906982E0,8.813522186E0
2.018688333E-1,-9.478289795E-1,1.328936462E0,7.653733978E0
2.118638333E-1,-5.493576050E-1,1.012494507E0,8.664282532E0
2.218588333E-1,-7.441026306E-1,5.866300964E-1,1.147932861E1
2.318538333E-1,-1.337019653E0,5.718109131E-1,1.374097549E1
2.418488333E-1,-2.055076447E0,7.975415039E-1,1.420471115E1
2.518438333E-1,-2.101479950E0,4.686753845E-1,1.340372681E1
2.618388333E-1,-1.631307678E0,-1.028361511E-1,1.066666855E1
2.718338333E-1,-9.891430664E-1,-6.170169067E-1,8.155789948E0
2.818298333E-1,-1.549278259E-1,-1.553170166E0,7.304061127E0
2.918248333E-1,2.076182556E-1,-2.095043335E0,7.867489471E0
3.018198333E-1,-5.014572144E-2,-2.114353180E0,8.907526703E0
3.118148333E-1,-7.357200623E-1,-2.284249878E0,1.044303360E1
3.218098333E-1,-1.696272583E0,-2.585423584E0,1.209604614E1
3.318048333E-1,-2.472558289E0,-2.661166077E0,1.235410950E1
3.417998333E-1,-2.725532227E0,-2.474803619E0,1.113938553E1
3.517948333E-1,-2.020648041E0,-2.650687866E0,8.098908234E0
3.617898333E-1,-2.064057770E0,-3.507206726E0,1.100271973E1
3.717848333E-1,-1.702559509E0,-1.745520172E0,1.027178970E1
3.817798333E-1,-2.070195007E-1,5.409750366E-1,9.254056091E0
3.917748333E-1,8.292755127E-1,1.383572845E0,9.925110626E0
4.017698333E-1,2.365231476E0,2.058968353E0,9.639504547E0
4.117658333E-1,2.095342712E0,1.487157440E0,8.621022491E0
4.217608333E-1,7.271878052E-1,-1.002914429E-2,8.994495850E0
4.317558333E-1,1.661544800E-1,-2.833607483E-1,9.670939178E0
4.417508333E-1,4.028123474E-1,2.005828857E-1,9.513167267E0
4.517458333E-1,9.848020935E-1,2.767744446E-1,9.430838470E0
4.617408333E-1,1.156345367E0,1.197509766E-3,9.534722443E0
4.717358333E-1,1.155447235E0,-5.122348022E-1,9.141340485E0
4.817308333E-1,1.382525024E0,-1.653162231E0,9.465566254E0
4.917258333E-1,1.215771790E0,-2.545905762E0,9.873168640E0
5.017208333E-1,9.620494080E-1,-2.815944214E0,9.718091125E0
5.117158333E-1,1.555116119E0,-2.971620483E0,9.620793457E0
5.217108333E-1,2.275418243E0,-3.233575745E0,9.199569397E0
5.317058333E-1,3.182681580E0,-2.969824219E0,8.723858643E0
5.417008333E-1,3.405717773E0,-3.358565826E0,8.281378784E0
5.516968333E-1,2.529889069E0,-4.696782990E0,8.524323578E0
5.616918333E-1,2.465522919E0,-6.048322449E0,9.254654846E0
5.716868333E-1,2.412682800E0,-5.498515778E0,8.366551666E0
5.816818333E-1,2.074535980E0,-5.217100983E0,6.491550751E0
5.916768333E-1,1.003812561E0,-5.801186371E0,5.512287140E0
6.016718333E-1,-3.667373657E-2,-6.180946655E0,5.123395844E0
6.116668333E-1,-4.722679138E-1,-5.892047424E0,4.498595123E0
6.216618333E-1,-9.837542725E-1,-6.271208954E0,3.642974396E0
6.316568333E-1,-5.695655823E-1,-6.282285919E0,3.739822998E0
6.416518333E-1,8.259823608E-1,-5.894891510E0,3.848197632E0
6.516468333E-1,3.323987732E0,-4.485123138E0,3.039130096E0
6.616418333E-1,5.418132935E0,-2.825973358E0,3.380121002E0
6.716378333E-1,6.776857452E0,-1.655557251E0,5.040168915E0
6.816328333E-1,7.086713104E0,-3.164419556E-1,7.036717072E0
6.916278333E-1,7.180268555E0,7.423063660E-1,8.754844208E0
7.016228333E-1,7.417674866E0,1.588945770E0,1.007988876E1
7.116178333E-1,8.077951813E0,2.712808685E0,1.086949677E1
7.216128333E-1,9.600286102E0,3.574716339E0,1.211475723E1
7.316078333E-1,1.190803711E1,4.376299438E0,1.235276230E1
7.416028333E-1,1.334804260E1,5.202730865E0,1.026984375E1
7.515978333E-1,1.408151733E1,5.822442169E0,8.906927948E0
7.615928333E-1,1.404903488E1,6.409970398E0,7.487729187E0
7.715878333E-1,1.288026535E1,6.493945770E0,5.265749817E0
7.815828333E-1,1.138008499E1,6.459667053E0,3.970792694E0
7.915778333E-1,1.031579819E1,6.693929901E0,2.629132690E0
8.015738333E-1,8.808432770E0,5.840853882E0,-1.691482544E-2
8.115688333E-1,8.260422363E0,5.019212494E0,-1.423539734E0
8.215638333E-1,8.278085632E0,3.931873627E0,-2.499502258E0
8.315588333E-1,8.336015167E0,2.715054016E0,-2.896177368E0
8.415538333E-1,8.285121002E0,6.634204102E-1,-4.866380310E-1
8.515488333E-1,9.625134430E0,-3.535647583E-1,1.541344757E0
8.615438333E-1,1.159009827E1,-1.440604248E0,1.728755035E0
8.715388333E-1,1.301513489E1,-3.267704773E0,1.864073639E0
8.815338333E-1,1.392539200E1,-1.534159698E0,1.335223389E0
8.915288333E-1,1.325284058E1,-1.255139923E0,-1.751208344E0
9.015238333E-1,1.278521301E1,-2.124532013E0,-3.124901733E0
9.115188333E-1,1.170520889E1,-2.644850006E0,-3.496578827E0
9.215148333E-1,9.844578094E0,-7.479945374E-1,-5.197940826E0
9.315098333E-1,1.115764755E1,-4.622387695E0,-7.289391632E0
9.415048333E-1,1.358080856E1,-1.031759445E1,-6.791077881E0
9.514998333E-1,1.508263550E1,-5.614674225E0,-1.525926819E0
9.614948333E-1,1.372944946E1,-6.981781311E0,-2.208657074E0
9.714898333E-1,1.253448441E1,-8.547225952E0,-1.951491852E0
9.814848333E-1,1.098326019E1,-8.962312775E0,1.283131714E0
9.914798333E-1,1.048270111E1,-7.986342316E0,4.960384827E0
1.001474833E0,8.260871429E0,-4.620890808E0,9.228309631E0
1.011469833E0,5.509443054E0,-5.776487732E0,8.867410126E0
1.021464333E0,4.069736938E0,-6.310277710E0,7.153623962E0
1.031459333E0,3.406915283E0,-6.346502380E0,5.024002533E0
1.041455333E0,3.350183258E0,-6.088888092E0,4.228406982E0
1.051450333E0,3.614832916E0,-5.299280090E0,4.252955933E0
1.061445333E0,3.743116150E0,-4.355492706E0,4.713847504E0
1.071440333E0,5.139113159E0,-4.546645203E0,8.510552216E0
1.081435333E0,2.629132690E0,-4.697232056E0,7.625293121E0
1.091430333E0,-2.513123932E0,-4.684358826E0,4.677622833E0
1.101425333E0,-4.457879791E0,-5.082231445E0,-3.462300110E-1
1.111420333E0,-4.078119507E0,-7.886949005E0,-1.534010010E1
1.121415333E0,-2.041005707E0,-1.310225372E1,-3.182921082E1
