"Time (s)","X (hPa)"
-5.353771667E-1,1.015577698E3
5.016278333E-1,1.015606689E3
1.538369833E0,1.015577698E3
2.575079833E0,1.015635681E3
3.611561833E0,1.015584259E3
4.647980833E0,1.015652466E3
4.780185833E0,1.015591965E3
5.739622833E0,1.015649033E3
6.699042833E0,1.015594177E3
7.658346833E0,1.015649033E3
8.617559833E0,1.015594940E3
9.576862833E0,1.015651474E3
1.053594883E1,1.015594940E3
1.149506883E1,1.015643234E3
1.245411683E1,1.015592041E3
1.341306583E1,1.015635910E3
1.437183383E1,1.015610504E3
1.533054983E1,1.015635910E3
1.628917983E1,1.015645065E3
1.724783883E1,1.015646515E3
1.820641883E1,1.015656967E3
1.916501183E1,1.015657501E3
2.012329683E1,1.015658188E3
2.108153383E1,1.015657501E3
2.203986983E1,1.015632629E3
