"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.568983333E-2,-1.589076877E0,-1.976191640E0,-9.684999585E-1
6.568483333E-2,-1.357809305E0,-1.603903294E0,-1.192234278E0
7.567983333E-2,-9.807069898E-1,-1.179324150E0,-1.423824549E0
8.567483333E-2,-6.606549025E-1,-9.209437370E-1,-1.614823222E0
9.566983333E-2,-5.082578659E-1,-6.766536236E-1,-1.695492864E0
1.056648333E-1,-9.701250792E-1,-2.820279598E-1,-1.601179600E0
1.156598333E-1,-1.410825491E0,2.793285847E-1,-1.226747155E0
1.256548333E-1,-1.943226576E0,4.646273851E-1,-6.668625474E-1
1.356498333E-1,-2.460732937E0,2.774555981E-1,-1.195613220E-1
1.456458333E-1,-2.956408024E0,-1.718625277E-1,3.323595226E-1
1.556408333E-1,-3.347547293E0,-6.774927974E-1,7.147306800E-1
1.656358333E-1,-3.539564371E0,-1.244477391E0,1.062100649E0
1.756308333E-1,-3.552582741E0,-1.713977933E0,1.278022528E0
1.856258333E-1,-3.494067669E0,-1.593917847E0,1.338267207E0
1.956208333E-1,-3.372000694E0,-1.162249207E0,1.285371900E0
2.056158333E-1,-3.170666695E0,-8.994287848E-1,1.179206848E0
2.156108333E-1,-2.824986458E0,-1.098615885E0,1.026313663E0
2.256058333E-1,-2.335807085E0,-1.658008695E0,9.349401593E-1
2.356008333E-1,-1.737779379E0,-2.176171541E0,9.906982780E-1
2.455958333E-1,-1.038306236E0,-2.432706594E0,1.159429431E0
2.555908333E-1,-3.653979301E-1,-2.107659101E0,1.404057026E0
2.655858333E-1,1.893542260E-1,-1.313586831E0,1.617520332E0
2.755808333E-1,6.055307388E-1,-5.407215357E-1,1.703616619E0
2.855768333E-1,1.014117122E0,-1.745989174E-1,1.695811749E0
2.955718333E-1,1.526288748E0,-3.350972831E-1,1.627677560E0
3.055668333E-1,2.110647917E0,-1.034748554E0,1.480895638E0
3.155618333E-1,2.665330410E0,-2.186344624E0,1.222522616E0
3.255568333E-1,3.120575905E0,-3.377349377E0,8.767499924E-1
3.355518333E-1,3.518226147E0,-4.138238907E0,4.859198034E-1
3.455468333E-1,3.780130863E0,-3.160780668E0,5.418330804E-2
3.555418333E-1,3.527223110E0,-2.840374470E0,-4.684433639E-1
3.655368333E-1,2.897133589E0,-2.601660490E0,-7.617897391E-1
3.755318333E-1,2.188695431E0,-2.163605928E0,-7.867432237E-1
3.855268333E-1,1.453473568E0,-1.828833699E0,-6.639339328E-1
3.955218333E-1,9.927419424E-1,-1.703018665E0,-4.184085429E-1
4.055168333E-1,8.612536788E-1,-1.327299953E0,-2.013667673E-1
4.155128333E-1,5.749940276E-1,-6.320987940E-1,-1.925341487E-1
4.255078333E-1,2.180721164E-1,-4.431781918E-2,-2.072481215E-1
4.355028333E-1,-1.990217250E-3,2.629264593E-1,2.141352370E-2
4.454978333E-1,-3.554311767E-2,2.158007622E-1,4.016021490E-1
4.554928333E-1,5.260214955E-2,-1.399278045E-1,8.298278451E-1
4.654878333E-1,2.938501835E-1,-5.206972361E-1,1.259768486E0
4.754828333E-1,6.390421987E-1,-9.591299295E-1,1.544372559E0
4.854778333E-1,1.012964964E0,-1.438832283E0,1.555872440E0
4.954728333E-1,1.328732729E0,-1.797354221E0,1.332792282E0
5.054678333E-1,1.482020974E0,-1.974442720E0,1.017493725E0
5.154628333E-1,1.386137605E0,-1.919531584E0,9.080123901E-1
5.254578333E-1,1.216352820E0,-1.857904434E0,1.253299832E0
5.354528333E-1,1.042108893E0,-1.710075021E0,1.732243061E0
5.454478333E-1,9.216216207E-1,-1.703150034E0,2.061790228E0
5.554438333E-1,9.166551232E-1,-2.110453129E0,2.162030935E0
5.654388333E-1,1.084702849E0,-2.673580408E0,2.363009691E0
5.754338333E-1,1.333602905E0,-3.244674683E0,2.700056553E0
5.854288333E-1,1.533568144E0,-3.972849607E0,3.007659435E0
5.954238333E-1,1.724012971E0,-4.906111240E0,3.260983706E0
6.054188333E-1,1.882312059E0,-5.761004448E0,3.632740021E0
6.154138333E-1,1.958683014E0,-6.191631317E0,4.010359764E0
6.254088333E-1,1.852524400E0,-6.256977558E0,4.365393162E0
6.354038333E-1,1.578252792E0,-5.922836304E0,4.735445976E0
6.453988333E-1,1.187053561E0,-5.025391102E0,5.112305641E0
6.553938333E-1,6.005045772E-1,-3.814784288E0,5.309207916E0
6.653888333E-1,-2.078665420E-2,-2.972019196E0,5.223581791E0
6.753848333E-1,-4.585716724E-1,-2.688732862E0,5.072868347E0
6.853798333E-1,-5.848729014E-1,-2.843332291E0,5.027604580E0
6.953748333E-1,-3.561916351E-1,-3.304828644E0,5.002130032E0
7.053698333E-1,9.583494812E-2,-3.885034561E0,4.818757534E0
7.153648333E-1,5.727193952E-1,-4.427037716E0,4.570932865E0
7.253598333E-1,1.132199168E0,-4.629166126E0,4.207628727E0
7.353548333E-1,1.740795970E0,-4.129473209E0,3.744433403E0
7.453498333E-1,2.066018820E0,-3.247482300E0,3.314861059E0
7.553448333E-1,2.091355085E0,-2.315394163E0,2.933216095E0
7.653398333E-1,1.999469399E0,-1.473582625E0,2.596183300E0
7.753348333E-1,1.864666104E0,-9.954833984E-1,2.300263405E0
7.853298333E-1,1.902133822E0,-1.154252529E0,2.013445616E0
7.953248333E-1,1.856855989E0,-1.432947278E0,1.780572057E0
8.053208333E-1,1.536691308E0,-1.923662663E0,1.762796521E0
8.153158333E-1,1.015212059E0,-2.444813490E0,1.783308744E0
8.253108333E-1,4.908257425E-1,-2.814128876E0,1.783519626E0
8.353058333E-1,1.158599779E-1,-3.281621933E0,1.776867628E0
8.453008333E-1,2.082658112E-1,-3.482413530E0,1.783256769E0
8.552958333E-1,7.673125863E-1,-3.379261732E0,1.587853909E0
8.652908333E-1,1.429413915E0,-3.237683296E0,1.016861439E0
8.752858333E-1,1.642180800E0,-3.057095289E0,6.336772442E-1
8.852808333E-1,1.435613990E0,-2.214976788E0,6.023821235E-1
8.952758333E-1,7.816129923E-1,-1.157338142E0,8.786669970E-1
9.052708333E-1,-3.554459512E-1,-4.209532738E-1,1.124181151E0
9.152658333E-1,-1.652295589E0,3.744027615E-1,2.029342175E0
9.252618333E-1,-2.520508766E0,1.027725935E0,2.112108946E0
9.352568333E-1,-2.831590652E0,1.893349528E0,1.390344262E0
9.452518333E-1,-3.036422491E0,1.994089961E0,1.356599331E0
9.552468333E-1,-2.985763073E0,2.386277199E0,1.342013001E0
9.652418333E-1,-2.990943670E0,2.909624338E0,1.429659486E0
9.752368333E-1,-3.012581348E0,2.879421473E0,1.193396211E0
9.852318333E-1,-2.824722528E0,2.292449713E0,9.080679417E-1
9.952268333E-1,-2.457785368E0,9.338972569E-1,1.004772425E0
1.005221833E0,-1.832634091E0,3.138602525E-2,1.256244659E0
1.015216833E0,-1.107852459E0,-2.913012207E-1,1.721863389E0
1.025211333E0,-5.115626454E-1,-3.587220907E-1,2.223888159E0
1.035206333E0,-1.407386363E-1,-6.042398810E-1,2.767592907E0
1.045202333E0,-6.504067779E-2,-1.106172800E0,3.379298687E0
1.055197333E0,-3.032768369E-1,-1.977838516E0,3.951919556E0
1.065192333E0,-9.534668326E-1,-5.325844765E0,4.441840649E0
1.075187333E0,-1.184944034E0,-8.700879097E0,4.698953629E0
1.085182333E0,-6.889624000E-1,-1.097639179E1,4.632647038E0
1.095177333E0,2.904393375E-1,-1.181872177E1,4.391511440E0
1.105172333E0,1.800860524E0,-1.032024765E1,3.908294678E0
1.115167333E0,3.664219618E0,-5.322460175E0,2.698859453E0
1.125162333E0,3.260329723E0,-4.083543777E0,1.780377746E0
1.135157333E0,2.552835464E0,-4.322548389E0,1.287884116E0
1.145152333E0,1.915019035E0,-5.072423458E0,1.067674518E0
1.155148333E0,1.469172955E0,-5.775863647E0,9.201225042E-1
1.165143333E0,1.166026950E0,-6.505641937E0,7.957376838E-1
1.175138333E0,9.279364347E-1,-7.024999619E0,6.799109578E-1
1.185133333E0,8.020879030E-1,-6.281244755E0,8.314237595E-1
1.195128333E0,7.706658840E-1,-4.522253036E0,9.106013179E-1
1.205123333E0,6.127420664E-1,-2.065874100E0,1.123950601E0
1.215118333E0,1.953089237E-1,3.609375954E-1,1.701597810E0
1.225113333E0,-6.163429022E-1,2.139813185E0,2.487128973E0
1.235108333E0,-1.395454288E0,2.624361992E0,3.273406744E0
1.245103333E0,-1.483056545E0,1.988735914E0,3.935569525E0
1.255098333E0,-7.974274158E-1,1.110311627E0,4.423784256E0
1.265093333E0,4.000120759E-1,2.443216890E-1,4.804574013E0
1.275089333E0,1.290336847E0,-8.676835895E-1,4.539009094E0
1.285084333E0,1.695765615E0,-1.433237195E0,3.493676901E0
1.295079333E0,1.831329107E0,-1.085619569E0,2.380277872E0
1.305074333E0,1.718021154E0,-2.746814489E-1,1.414932251E0
1.315069333E0,1.509138942E0,2.024872303E-1,7.084050775E-1
1.325064333E0,1.264279127E0,4.252180457E-2,2.598483264E-1
1.335059333E0,9.772815108E-1,-5.188725591E-1,-2.984768152E-2
1.345054333E0,7.329788208E-1,-1.069514394E0,-2.276512980E-1
1.355049333E0,6.539800763E-1,-1.456717849E0,-3.610048592E-1
