"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.568983333E-2,-4.339321062E-1,1.512252228E0,-6.002394909E-1
6.568483333E-2,-6.519414487E-1,2.101946412E0,5.444044286E-1
7.567983333E-2,-9.156891739E-1,2.310685725E0,6.866566604E-1
8.567483333E-2,-5.626845789E-1,1.961985411E0,-1.084997642E-1
9.566983333E-2,4.420176360E-1,9.983566703E-1,4.826052064E-1
1.056648333E-1,9.409216636E-1,3.407611102E-1,6.920162183E-1
1.156598333E-1,7.752057248E-1,3.599914330E-1,5.352751708E-1
1.256548333E-1,7.103288206E-1,7.174888824E-1,1.008633006E-1
1.356498333E-1,9.237463447E-1,1.550857592E0,2.129684579E-1
1.456458333E-1,8.372095996E-1,1.895571274E0,1.772186984E0
1.556408333E-1,3.237153071E-1,1.862654373E0,2.491197458E0
1.656358333E-1,-5.320469230E-1,2.015535235E0,2.386730518E0
1.756308333E-1,-5.615534350E-1,2.114717315E0,1.806511309E0
1.856258333E-1,-2.281704877E-1,2.545475991E0,1.808682380E0
1.956208333E-1,-1.064218099E-1,2.595350110E0,4.190793014E-1
2.056158333E-1,5.847355986E-1,2.328537274E0,-1.627975350E0
2.156108333E-1,1.210896089E0,2.274136534E0,-1.661747113E0
2.256058333E-1,1.156809636E0,2.106459877E0,3.364540511E-1
2.356008333E-1,5.898598060E-1,1.987199775E0,3.329159594E0
2.455958333E-1,-3.638985425E-1,2.337162648E0,4.512057168E0
2.555908333E-1,-1.006886442E0,2.363973740E0,4.460695810E0
2.655858333E-1,-8.595728606E-1,1.817184086E0,2.573730907E0
2.755808333E-1,-3.765925553E-1,1.275374067E0,-4.082911885E-1
2.855768333E-1,4.066295560E-1,4.437890500E-1,-2.117800698E0
2.955718333E-1,1.080742112E0,-5.597650641E-1,-2.205432335E0
3.055668333E-1,1.068975686E0,-9.464296677E-1,-1.339056823E0
3.155618333E-1,4.400357953E-1,-1.234696888E0,-1.322593403E-1
3.255568333E-1,-6.874926661E-1,-1.800886872E0,1.557692987E0
3.355518333E-1,-1.984628461E0,-2.358660521E0,2.692785480E0
3.455468333E-1,-2.898145541E0,-2.620314505E0,1.992262148E0
3.555418333E-1,-3.100375880E0,-2.874423972E0,3.115513444E-1
3.655368333E-1,-2.525606275E0,-3.870993587E0,-1.392479909E0
3.755318333E-1,-3.150922428E0,-4.008863915E0,2.035387702E0
3.855268333E-1,-2.152617067E0,-1.525927111E0,-4.956292945E-1
3.955218333E-1,-9.915728769E-1,-2.959812324E-1,7.557292342E-2
