"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.409802914E-2,5.236612664E1,4.879448065E0,5.811821699E0,-1.000000000E0,-1.000000000E0,1.077028042E1,1.077028042E1
5.646220446E-1,5.236612664E1,4.879448065E0,5.450134277E0,-1.000000000E0,-1.000000000E0,1.077028042E1,1.077028042E1
4.958379030E0,5.236609120E1,4.879548839E0,2.408051313E0,2.385076284E-1,1.620192968E2,1.965252242E1,1.965252242E1
5.957386494E0,5.236609160E1,4.879541470E0,2.393500297E0,1.498772949E-1,2.882535532E2,1.650470342E1,1.650470342E1
6.956393957E0,5.236610036E1,4.879522613E0,2.389669104E0,1.688156426E-1,2.980302212E1,1.495145705E1,1.495145705E1
7.959401846E0,5.236608981E1,4.879546030E0,2.412818051E0,1.612689719E-2,8.665199078E0,1.280894009E1,1.280894009E1
8.909097910E0,5.236608799E1,4.879539638E0,2.433525525E0,1.251315773E-1,8.007439295E1,1.128478713E1,1.128478713E1
9.858747125E0,5.236607571E1,4.879503009E0,2.559829834E0,6.059543788E-2,1.660312260E2,1.035032953E1,1.035032953E1
1.080875635E1,5.236608009E1,4.879514654E0,2.550843576E0,6.485326588E-2,4.160535928E1,1.293050282E1,1.293050282E1
1.175873923E1,5.236607746E1,4.879515336E0,2.595278179E0,9.859326482E-2,3.001797599E2,1.774240290E1,1.774240290E1
1.270872569E1,5.236607777E1,4.879518126E0,2.570344130E0,1.659544259E-1,1.811755298E2,9.231976930E0,9.231976930E0
1.365873325E1,5.236607342E1,4.879519828E0,2.577350752E0,1.652844101E-1,1.915985899E2,1.112074015E1,1.112074015E1
1.464572179E1,5.236607416E1,4.879523522E0,2.564539973E0,1.053929478E-1,2.282139740E2,8.579864810E0,8.579864810E0
1.564571285E1,5.236607416E1,4.879523522E0,2.564540041E0,1.053929478E-1,-1.000000000E0,8.579864810E0,8.579864810E0
1.664572787E1,5.236607279E1,4.879519619E0,2.578468467E0,1.796108186E-1,3.172896936E2,8.138221369E0,8.138221369E0
1.764571905E1,5.236607594E1,4.879532237E0,2.601075281E0,3.739660233E-2,-1.000000000E0,7.962767698E0,7.962767698E0
1.864571202E1,5.236607440E1,4.879530975E0,2.593463597E0,4.178326204E-2,-1.000000000E0,7.821885860E0,7.821885860E0
1.964573085E1,5.236607603E1,4.879530339E0,2.583706493E0,1.471639872E-1,-1.000000000E0,8.086967599E0,8.086967599E0
2.064572871E1,5.236608059E1,4.879527391E0,2.640257858E0,1.628540009E-1,8.480575623E0,7.927530056E0,7.927530056E0
2.164572585E1,5.236607262E1,4.879529634E0,2.569574090E0,4.629542306E-2,-1.000000000E0,1.066476007E1,1.066476007E1
2.264574611E1,5.236607696E1,4.879525363E0,2.548186344E0,3.862520456E-1,3.436119983E2,1.475345053E1,1.475345053E1
2.364576542E1,5.236608168E1,4.879520424E0,2.647937843E0,1.531513631E-1,-1.000000000E0,6.032593732E0,6.032593732E0
