"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.568983333E-2,-5.984840393E-1,-1.385295296E1,-5.103415680E1
6.568483333E-2,-8.839988708E-1,-1.345536995E1,-5.103551483E1
7.567983333E-2,-1.235466957E0,-1.305911446E1,-5.101523590E1
8.567483333E-2,-2.250236511E0,-1.188126755E1,-5.129856873E1
9.566983333E-2,-3.047243118E0,-1.106581497E1,-5.155543518E1
1.056648333E-1,-3.732616425E0,-1.032339478E1,-5.183985901E1
1.156598333E-1,-4.053563118E0,-9.944654465E0,-5.185454559E1
1.256548333E-1,-4.216406822E0,-9.745189667E0,-5.148737335E1
1.356498333E-1,-4.229579926E0,-9.437711716E0,-5.130923462E1
1.456458333E-1,-4.103702545E0,-8.853479385E0,-5.118630219E1
1.556408333E-1,-3.857688904E0,-8.175493240E0,-5.085318756E1
1.656358333E-1,-3.738636017E0,-7.168035507E0,-5.096830750E1
1.756308333E-1,-3.872673035E0,-5.638746262E0,-5.186870575E1
1.856258333E-1,-4.209177971E0,-3.859159470E0,-5.263779449E1
1.956208333E-1,-4.683199883E0,-2.148157120E0,-5.250556183E1
2.056158333E-1,-5.351772308E0,-3.453655243E-1,-5.227958679E1
2.156108333E-1,-6.140622139E0,1.604368210E0,-5.255159760E1
2.256058333E-1,-6.864651680E0,3.587903976E0,-5.274761963E1
2.356008333E-1,-7.491463661E0,5.466577530E0,-5.292453003E1
2.455958333E-1,-8.092832565E0,7.226083755E0,-5.294641876E1
2.555908333E-1,-8.716445923E0,8.643133163E0,-5.264192963E1
2.655858333E-1,-9.497793198E0,9.773305893E0,-5.222454834E1
2.755808333E-1,-1.024556732E1,1.068277359E1,-5.246859741E1
2.855768333E-1,-1.115816689E1,1.129568481E1,-5.222004700E1
2.955718333E-1,-1.174489021E1,1.158872604E1,-5.195043945E1
3.055668333E-1,-1.207134819E1,1.167243576E1,-5.166687012E1
3.155618333E-1,-1.206172752E1,1.142138290E1,-5.127215576E1
3.255568333E-1,-1.204637051E1,1.100537872E1,-5.119599152E1
3.355518333E-1,-1.220366573E1,1.036577606E1,-5.119527435E1
3.455468333E-1,-1.273977375E1,9.383747101E0,-5.100069809E1
3.555418333E-1,-1.375190163E1,8.137840271E0,-5.067301941E1
3.655368333E-1,-1.515314293E1,6.661876678E0,-5.030193710E1
3.755318333E-1,-1.667823029E1,5.044261932E0,-4.998022842E1
3.855268333E-1,-1.815513229E1,3.514469147E0,-5.004434204E1
3.955218333E-1,-1.946704674E1,2.052062988E0,-5.013683701E1
4.055168333E-1,-2.052094460E1,6.702423096E-1,-4.999326706E1
4.155128333E-1,-2.141498566E1,-4.515361786E-1,-4.946233368E1
4.255078333E-1,-2.215933609E1,-1.229768753E0,-4.900935364E1
4.355028333E-1,-2.283135986E1,-1.797744751E0,-4.863669968E1
4.454978333E-1,-2.329326630E1,-2.252927780E0,-4.831570053E1
4.554928333E-1,-2.345786858E1,-2.543205261E0,-4.809326172E1
4.654878333E-1,-2.341176605E1,-2.624717712E0,-4.802400589E1
4.754828333E-1,-2.338615799E1,-2.613759995E0,-4.798069382E1
4.854778333E-1,-2.329202271E1,-2.593471527E0,-4.753185654E1
4.954728333E-1,-2.338103867E1,-2.540409088E0,-4.696366501E1
5.054678333E-1,-2.371375656E1,-2.508245468E0,-4.659578323E1
5.154628333E-1,-2.414469528E1,-2.467401505E0,-4.613974762E1
5.254578333E-1,-2.483593750E1,-2.615587234E0,-4.561618423E1
5.354528333E-1,-2.563902283E1,-2.737033844E0,-4.541988373E1
5.454478333E-1,-2.652698898E1,-2.853326797E0,-4.529378128E1
5.554438333E-1,-2.734716034E1,-3.119318008E0,-4.476247025E1
5.654388333E-1,-2.807155609E1,-3.353216171E0,-4.367853546E1
5.754338333E-1,-2.866984177E1,-3.520988464E0,-4.217071915E1
5.854288333E-1,-2.938443375E1,-3.480405807E0,-4.086508179E1
5.954238333E-1,-3.035787964E1,-3.243047714E0,-3.980662918E1
6.054188333E-1,-3.156314087E1,-2.858732224E0,-3.884755325E1
6.154138333E-1,-3.301309586E1,-2.320091248E0,-3.818866730E1
6.254088333E-1,-3.469407654E1,-1.720565796E0,-3.702688980E1
6.354038333E-1,-3.640214157E1,-1.170068741E0,-3.458711243E1
6.453988333E-1,-3.822917175E1,-4.542102814E-1,-3.175394821E1
6.553938333E-1,-3.998917389E1,6.200809479E-1,-2.897227859E1
6.653888333E-1,-4.166626358E1,2.092567444E0,-2.643764114E1
6.753848333E-1,-4.319644928E1,4.133365631E0,-2.477673340E1
6.853798333E-1,-4.433728027E1,6.570755005E0,-2.348584747E1
6.953748333E-1,-4.497072983E1,8.918327332E0,-2.174871826E1
7.053698333E-1,-4.527605820E1,1.152154922E1,-2.036429214E1
7.153648333E-1,-4.537412643E1,1.419353104E1,-1.950388718E1
7.253598333E-1,-4.530736160E1,1.672803879E1,-1.826949310E1
7.353548333E-1,-4.512408447E1,1.913191986E1,-1.676012802E1
7.453498333E-1,-4.484314728E1,2.143071747E1,-1.502617455E1
7.553448333E-1,-4.448847580E1,2.346540070E1,-1.321778870E1
7.653398333E-1,-4.408112335E1,2.522018814E1,-1.150974655E1
7.753348333E-1,-4.365121841E1,2.676232147E1,-1.014468765E1
7.853298333E-1,-4.308110046E1,2.807538223E1,-9.269653320E0
7.953248333E-1,-4.250529861E1,2.917909622E1,-8.796363831E0
8.053208333E-1,-4.191472626E1,3.003718185E1,-8.560884476E0
8.153158333E-1,-4.140874863E1,3.085757828E1,-8.553148270E0
8.253108333E-1,-4.095538330E1,3.156074142E1,-8.714426041E0
8.353058333E-1,-4.004924393E1,3.274327087E1,-7.664155960E0
8.453008333E-1,-3.940018082E1,3.290742874E1,-5.285619736E0
8.552958333E-1,-3.888141251E1,3.334994888E1,-3.523921967E0
8.652908333E-1,-3.849612427E1,3.407660294E1,-2.651721001E0
8.752858333E-1,-3.822676849E1,3.489287949E1,-2.098981857E0
8.852808333E-1,-3.781615448E1,3.541811752E1,-1.299861908E0
8.952758333E-1,-3.742353821E1,3.567318344E1,9.787940979E-2
9.052708333E-1,-3.715278244E1,3.583215714E1,1.128751755E0
9.152658333E-1,-3.693922043E1,3.600327682E1,1.607621193E0
9.252618333E-1,-3.669106674E1,3.633332443E1,1.656420708E0
9.352568333E-1,-3.630920029E1,3.683426285E1,1.634417534E0
9.452518333E-1,-3.578543854E1,3.748368454E1,2.045943260E0
9.552468333E-1,-3.514948273E1,3.813122940E1,2.485536575E0
9.652418333E-1,-3.457711411E1,3.862705612E1,2.954764366E0
9.752368333E-1,-3.401506805E1,3.912051773E1,3.426226616E0
9.852318333E-1,-3.356967545E1,3.950330734E1,3.633208275E0
9.952268333E-1,-3.314784241E1,3.995847702E1,3.582039833E0
1.005221833E0,-3.272670746E1,4.028291702E1,3.958749771E0
1.015216833E0,-3.233950806E1,4.048887253E1,4.628870010E0
1.025211333E0,-3.193378830E1,4.072903824E1,5.263339043E0
1.035206333E0,-3.148810959E1,4.109654617E1,5.865850449E0
1.045202333E0,-3.077832794E1,4.155049515E1,6.378870487E0
1.055197333E0,-2.997306824E1,4.236175156E1,6.312728882E0
1.065192333E0,-2.900645065E1,4.340722275E1,5.585904121E0
